origins,destinations,n_routes,n_clusters,clusters,n_zero_fft_routes,free_flow_time_min,free_flow_time_max,free_flow_time_spread,total_length_min,total_length_max,total_length_spread,max_pairwise_overlap
-25187895#0,-266565295#5,4,4,"0,1,2,3",0,1.6927285817134627,6.478531371527431,4.785802789813968,1841.4730650463464,5173.217208063159,3331.744143016813,0.6896551724137931
25149001#4,-266565295#5,4,4,"0,1,2,3",0,1.886474849118913,6.655569131926327,4.769094282807414,1920.2228960898024,5338.894819061316,3418.671922971514,0.5454545454545454
-18809673#6,-266565295#5,4,4,"0,1,2,3",0,3.110800979859186,7.61911422023839,4.508313240379204,3076.106495061639,5455.561451279745,2379.4549562181055,0.8235294117647058
-306240162#1,28111977#0,3,3,"1,2,3",0,1.775687189183352,6.2592208238206055,4.483533634637253,1942.6807014941223,3793.02487255962,1850.3441710654974,0.45714285714285713
-32978638#0,-201201945#0.78,4,4,"0,1,2,3",0,2.013105861495066,6.373259715509229,4.360153854014163,1935.093006230324,5728.816614281333,3793.7236080510093,0.5769230769230769
-18809673#6,-24634413#0,4,4,"0,1,2,3",0,3.077602920217762,6.964172473921432,3.88656955370367,2876.484300345084,4500.571556397401,1624.0872560523167,0.5428571428571428
272042143,201950247#6,2,2,"0,2",0,1.1565172649333313,4.980642653029534,3.8241253880962027,884.4612704801168,3857.1149219816425,2972.653651501526,0.08163265306122448
-306240162#1,30482615#1,4,4,"0,1,2,3",0,1.9042463450271143,5.635649797137795,3.7314034521106807,2397.479250503524,3890.004432866033,1492.525182362509,0.6153846153846154
24634517#1,306240162#0,4,4,"0,1,2,3",0,1.1126395728818963,4.731355111909244,3.618715539027348,1593.6426189318558,4070.7852010810766,2477.1425821492207,0.3191489361702128
315358244,30482615#1,4,4,"0,1,2,3",0,3.207159410757605,6.732403302439012,3.525243891681407,3716.107715728636,5304.373267817401,1588.2655520887652,0.48148148148148145
32395327#0,386687235,4,4,"0,1,2,3",0,5.704417595593536,9.066888137881232,3.3624705422876966,3925.501726307946,4828.349173956053,902.8474476481074,0.5
128361109#1,24634411,4,4,"0,1,2,3",0,1.9988451248029808,5.3337656776484295,3.334920552845449,2071.2511879183203,3835.995890700367,1764.7447027820467,0.3870967741935484
-306240162#1,-24634518#0,4,4,"0,1,2,3",0,1.6802411343519583,4.950163694849506,3.2699225604975473,1952.1528637318625,2920.891724328076,968.7388605962137,0.45714285714285713
-18809673#6,386687235,4,4,"0,1,2,3",0,3.703158167514666,6.947648797960406,3.2444906304457404,3316.8803121469555,5232.798401450349,1915.9180893033936,0.27450980392156865
-24634517#3,306240162#0,4,4,"0,1,2,3",0,1.1126395728818963,4.295900261786221,3.1832606889043245,1593.6426189318558,3439.895911832225,1846.2532929003692,0.5666666666666667
272042143,-32395361#1,4,4,"0,1,2,3",0,2.9151684987895234,6.051368076662842,3.136199577873319,2873.899482960299,4436.458208104404,1562.5587251441048,0.7878787878787878
266565295#5,-24634415,4,4,"0,1,2,3",0,0.7127820746729217,3.847343933973878,3.1345618593009563,751.0982857317861,3201.814401074072,2450.716115342286,0.5
