origins,destinations,mask_0,mask_1,mask_2,mask_3,mask_4
-1020078548,-1163710302,1,0,1,1,1
-1020092137#1,-22561653,0,1,1,1,1
-1020092138,-174907152#1,1,1,1,1,1
-1020092139#0,-1157449877,0,1,1,1,1
-1020092139#1,-41231515#0,0,1,1,1,0
-1020092142,-174375407#2,1,1,1,1,1
-1076634450,-174375407#2,1,1,1,1,1
-1116499322,-561133140#1,1,1,0,1,1
-1116499322,57680145#0,1,1,1,1,0
-1157449878#1,41273139,0,1,1,1,1
-1163710302,-561133140#1,1,1,1,1,1
-1238123695#1,-23881168#0,1,0,1,1,1
-1238123695#1,-561133134,1,1,1,1,1
-1264978470#1,-22561653,1,1,1,1,0
-1264978470#1,41273128#1,1,1,1,1,1
-1264978470#1,57680171#0,1,0,1,1,0
-174375407#2,-1163710302,0,1,1,1,0
-174375407#2,-39353757#4,1,0,1,1,1
-174375407#2,-41231513#3,1,1,1,1,1
-174375407#2,-41231514#2,1,1,0,1,1
-174375407#2,-57099630#2,1,1,1,1,1
-174375407#2,-57680180#1,1,1,1,1,1
-174375407#2,174375405,0,1,0,1,0
-174375407#2,57680152#2,1,1,1,1,1
-174375407#2,57680159,1,0,1,1,1
-174375407#3,-1020092143,1,0,1,1,1
-174375407#3,-1163710302,0,1,1,1,0
-174375407#3,-561133140#1,1,0,1,1,1
-174375415#1,-79116549#5,1,0,1,1,1
-174897323#0,57680129,0,1,1,1,0
-174897323#1,-1157449877,0,1,1,1,1
-174897323#2,79119284#5,1,1,1,1,1
-174907151#4,-41231512#0,0,1,0,1,0
-174907152#1,-1238123695#0,1,1,1,0,1
-174907152#1,-22561652#3,0,1,0,1,0
-174907152#1,-57392457#0,1,1,0,0,0
-174907152#1,57392554#0,0,1,0,1,0
-175186741#0,-57680180#1,1,0,1,1,1
-22561651#1,-174375407#2,0,1,0,0,0
-22561651#1,-174375407#3,0,1,0,0,0
-22561651#1,57680095#0,1,1,1,1,1
-22561652#0,-79119286#2,1,1,0,1,1
-22561652#1,-174375407#3,0,1,0,0,0
-22561652#1,-39353757#12,1,0,0,1,1
-22561652#2,-561133140#1,1,1,1,1,0
-22561652#3,-174375407#2,0,1,0,0,0
-22561652#3,-41231513#2,1,1,1,1,1
-22561652#4,41231711#3,1,1,1,1,1
-22561653,32898181#0,1,1,1,1,1
-22561653,79119287#1,1,1,1,1,1
-22561653,79119287#2,1,1,1,1,1
-23881168#0,79119287#1,1,1,1,1,1
-24580169#1,-22561652#3,1,0,1,1,1
-39353757#11,-41231756#3,1,1,1,1,1
-39353757#12,-22561652#1,1,1,1,0,1
-39353757#12,-41273141#1,1,0,1,1,1
-39353757#14,57392486,1,0,1,1,1
-39353757#15,-174375407#2,1,1,1,1,1
-39353757#15,-174375407#3,1,1,1,1,1
-39353757#17,563273548,1,0,1,1,1
-39353757#17,57680181#0,1,1,1,0,0
-39353757#2,-174375407#2,1,0,1,1,1
-39353757#3,-22561499#1,1,1,1,1,1
-39353757#4,-22561653,1,1,1,1,1
-39353757#6,-174375407#2,1,1,1,1,1
-41231359#1,563273548,1,1,1,1,1
-41231511#0,-57680145#1,1,1,1,1,1
-41231513#2,41231711#3,1,1,1,1,1
-41231513#2,79119284#5,0,1,1,1,1
-41231513#3,-1157449877,0,1,1,1,1
-41231513#4,-174375407#2,1,1,1,0,1
-41231513#4,-174897323#3,0,0,1,1,0
-41231514#2,-174375407#2,1,1,1,1,1
-41231514#4,-41231514#1,1,1,1,1,1
-41231514#4,-41231515#0,1,1,0,1,1
-41231514#5,-1157449877,1,1,1,1,1
-41231514#6,1116499315#1,1,0,1,1,1
-41231515#0,41231711#3,1,1,1,1,1
-41231515#3,-174375407#2,1,1,1,1,1
-41231706#0,-174375407#2,1,1,0,1,1
-41231706#1,-41231515#0,1,0,1,1,1
-41231706#2,-561133140#1,1,0,1,1,1
-41231716,-561133140#1,1,1,0,1,1
-41231753#2,-79116549#2,1,1,1,1,1
-41231753#2,-79116549#5,0,1,1,1,1
-41273130,79119284#5,0,1,1,1,1
-41273141#1,-1020092142,0,1,1,1,1
-41273141#1,-41231513#3,0,1,1,1,1
-41273141#1,-41231515#0,0,1,1,1,1
-41273141#1,-561133140#1,0,1,1,1,1
-499933979,-174375415#0,1,1,1,1,1
-561133121,57392486,0,1,1,1,0
-561133130#1,-22561652#0,0,1,1,1,0
-561133132,-1163710302,1,1,0,1,1
-561133132,-57392454#1,1,1,1,1,0
-561133135,-32898141,1,1,0,1,0
-561133135,-561133140#1,1,0,1,1,1
-561133140#1,-41231515#0,0,1,1,1,1
-561133140#1,-561134628#0,1,1,1,1,1
-561133140#1,-979842178#3,1,1,1,1,1
-561133140#1,41273139,1,1,1,1,0
-561133140#1,79119292,1,1,1,1,1
-561133140#1,79559552#0,1,1,1,1,1
-561134628#0,-561133140#1,1,1,1,1,1
-57099585#1,-22561652#3,1,1,1,1,0
-57099585#1,-22561653,1,1,0,1,1
-57099596,-22561653,1,1,0,1,0
-57392407,-561134628#0,1,1,0,1,1
-57392457#0,1116499317#0,0,1,0,0,0
-57392472#1,-22561651#1,1,1,0,0,1
-57392534#2,-1163710302,0,1,0,0,0
-57680089#3,57680095#0,1,1,1,1,0
-57680089#4,-22561652#3,0,1,0,0,0
-57680102,-57680152#1,1,1,1,0,0
-57680105,-41231515#0,1,0,1,1,1
-57680114#1,-1163710302,1,1,1,1,0
-57680115#1,-561133140#1,1,0,1,1,1
-57680130#1,-22561499#0,0,1,1,0,0
-57680132#1,57099580,1,1,1,1,1
-57680143#1,41231709#0,1,0,0,1,1
-57680143#1,57392528#1,1,1,1,1,0
-57680145#1,-22561653,0,1,1,1,0
-57680152#1,-174375407#2,1,1,1,0,1
-57680152#1,-57680125#1,1,1,0,1,1
-57680152#1,-79119285,1,1,1,1,1
-57680160#1,-22561653,1,0,1,1,1
-57680160#1,57392486,1,1,0,1,0
-57680164,1116499317#2,0,1,1,1,0
-57680166#1,-39353757#3,1,1,1,1,1
-57680175,-174375407#3,1,0,1,1,1
-57680180#1,-39353757#6,1,1,1,1,1
-79119285,-57680152#1,1,0,1,1,1
-904395706#1,-1264978470#1,1,1,1,1,1
-979838980#5,-174375407#2,0,1,1,1,0
-979838980#5,-22561651#1,0,1,0,1,0
-979838980#5,-57392538#7,0,1,0,0,0
-979838980#5,57680181#1,1,1,1,1,1
-979842178#3,-561133140#1,1,1,0,1,1
1004094802,174375408#0,1,0,0,1,1
1004094803#0,-561133134,0,1,1,0,0
1004094803#1,-57392538#7,1,1,1,1,0
1020078537#1,-561133140#1,1,1,1,1,1
1020078546#2,-41273141#1,0,1,1,1,0
1123308755,-57099630#2,1,1,1,1,1
1157449879,-1157449877,0,1,1,1,1
174375405,41231718#1,1,1,0,1,1
174375405,57680152#2,1,1,1,1,1
174375408#0,-22561652#0,0,1,0,0,0
174375408#0,-561133130#1,1,0,1,1,1
174375408#1,57680152#2,1,1,1,0,1
174375412,57099589,1,1,1,1,1
32897986,-22561653,1,1,1,0,0
41231357#0,-57680180#1,1,1,1,1,1
41231509,-561133140#1,0,1,1,1,1
41231709#0,-41231513#2,1,1,1,1,0
41231709#0,-561133140#1,1,1,1,1,1
41231709#0,-57680143#1,1,0,1,1,1
41231709#0,41273141#3,1,1,1,1,0
41231711#3,-41231515#0,1,1,1,1,1
41231711#3,79119287#2,1,0,1,1,1
41231718#0,41273128#1,1,1,1,1,1
41231757,-561133140#1,1,1,1,1,1
41273126,-174375407#3,1,1,1,1,1
41273126,1116499317#2,1,1,1,1,1
41273131,-41273141#1,0,1,1,1,1
41273137#2,-41231515#0,0,1,1,1,1
41273141#3,41231709#0,1,1,1,1,1
57099589,-57392457#1,1,1,1,1,1
57392414#0,79119284#5,1,1,1,1,1
57392420,-174375407#3,1,1,0,1,1
57392420,-22561653,1,1,0,1,1
