agent_id,origins,destinations,free_flow_time,total_length,mean_speed,speed_std,speed_range,pct_high_speed,pct_motorway,pct_trunk,pct_primary,pct_secondary,pct_tertiary,pct_unclassified,pct_residential,lane_changes_per_km,priority_changes_per_km,yield_priority_changes_per_km,traffic_lights_per_km,bearing_std,turns_per_km,left_yield_turns_per_km,mean_circuity,edge_length_std,edges_per_km,h3_sequence,cluster
0,-147985326#0,-31096642#3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"8a755827105ffff,8a75582710effff,8a75582710cffff,8a75582710dffff,8a7558271777fff,8a7558271757fff,8a755827175ffff,8a7558271667fff,8a7558271647fff,8a755827164ffff,8a755827165ffff,8a75582716f7fff,8a7558271687fff,8a7558271697fff,8a7558273b5ffff,8a7558273a0ffff,8a7558273a1ffff,8a7558273af7fff",3
1,-207236707#0,321134214,0.625,0.75,0.6875,0.0625,0.4375,0.25,0.5625,0.5625,0.875,0.375,0.75,0.875,0.5,0.125,0.375,0.375,0.125,0.75,0.375,0.625,0.75,0.5,0.25,"8a7558246c97fff,8a755827326ffff,8a7558246c87fff,8a7558246ca7fff,8a7558246c17fff,8a755827165ffff,8a755827164ffff,8a7558271647fff,8a7558271667fff,8a755827175ffff,8a7558271757fff,8a7558271707fff,8a7558271727fff,8a75582710d7fff,8a75582710c7fff,8a75582710f7fff,8a75582710e7fff,8a7558271057fff,8a7558271077fff,8a7558271067fff,8a7558271a97fff,8a7558271a9ffff,8a7558271a8ffff,8a7558244c9ffff,8a7558244ccffff,8a7558244187fff,8a7558244017fff,8a755824400ffff,8a755824402ffff,8a7558244147fff,8a7558244167fff,8a75582448dffff,8a75582448d7fff,8a75582448f7fff,8a75582448c7fff",2
1,-207236707#0,321134214,0.5,0.5,0.6875,0.0625,0.4375,0.5,0.5625,0.5625,0.625,0.875,0.625,0.625,0.375,0.375,0.625,0.625,0.375,0.25,0.625,0.875,0.5,0.625,0.375,"8a7558246c97fff,8a755827326ffff,8a7558246c87fff,8a7558246ca7fff,8a7558246c17fff,8a755827165ffff,8a755827164ffff,8a7558271647fff,8a7558271667fff,8a755827175ffff,8a7558271757fff,8a7558271707fff,8a7558271727fff,8a75582710d7fff,8a75582710c7fff,8a75582710f7fff,8a75582710e7fff,8a7558271057fff,8a755827100ffff,8a7558271077fff,8a7558271067fff,8a7558271a97fff,8a7558271a9ffff,8a7558271a8ffff,8a7558244c9ffff,8a7558244ccffff,8a7558244187fff,8a7558244017fff,8a755824400ffff,8a755824402ffff,8a7558244147fff,8a7558244167fff,8a75582448dffff,8a75582448d7fff,8a75582448f7fff,8a75582448c7fff",1
1,-207236707#0,321134214,0.75,0.625,0.9375,0.5625,0.4375,0.375,0.5625,0.5625,0.75,1.0,0.875,0.75,0.125,0.25,0.5,0.5,0.25,0.375,0.5,0.75,0.625,0.875,0.125,"8a7558246c97fff,8a755827326ffff,8a7558246c87fff,8a7558246ca7fff,8a7558246c17fff,8a755827165ffff,8a755827164ffff,8a7558271647fff,8a7558271667fff,8a755827175ffff,8a7558271757fff,8a7558271707fff,8a7558271727fff,8a75582710d7fff,8a75582710c7fff,8a75582710f7fff,8a75582710e7fff,8a7558271057fff,8a755827100ffff,8a7558271077fff,8a7558271067fff,8a7558271a97fff,8a7558271a9ffff,8a7558271a8ffff,8a7558244c9ffff,8a7558244ccffff,8a7558244187fff,8a7558244017fff,8a755824400ffff,8a755824402ffff,8a7558244147fff,8a7558244167fff,8a75582448dffff,8a75582448d7fff,8a75582448f7fff,8a75582448c7fff",1
1,-207236707#0,321134214,0.25,0.25,0.1875,0.3125,0.4375,0.75,0.5625,0.5625,0.375,0.75,0.125,0.375,0.625,0.625,0.875,0.875,0.625,0.0,0.875,0.375,0.25,0.125,0.875,"8a7558246c97fff,8a755827326ffff,8a7558246c87fff,8a7558246ca7fff,8a7558246c17fff,8a755827165ffff,8a755827164ffff,8a7558271647fff,8a7558271667fff,8a755827175ffff,8a7558271757fff,8a7558271707fff,8a75582717affff,8a7558271727fff,8a75582710d7fff,8a75582710c7fff,8a75582710f7fff,8a75582710e7fff,8a7558271057fff,8a755827100ffff,8a7558271077fff,8a7558271067fff,8a7558271a97fff,8a7558271a9ffff,8a7558271a8ffff,8a7558244c9ffff,8a7558244ccffff,8a7558244187fff,8a7558244017fff,8a755824400ffff,8a755824402ffff,8a7558244147fff,8a7558244167fff,8a75582448dffff,8a75582448d7fff,8a75582448f7fff,8a75582448c7fff",0
1,-207236707#0,321134214,0.875,0.875,0.9375,0.5625,0.4375,0.125,0.5625,0.5625,1.0,0.5,1.0,1.0,0.25,0.0,0.25,0.25,0.0,0.875,0.25,0.5,0.875,0.75,0.0,"8a7558246c97fff,8a755827326ffff,8a7558246c87fff,8a7558246ca7fff,8a7558246c17fff,8a755827165ffff,8a755827164ffff,8a7558271647fff,8a7558271667fff,8a755827175ffff,8a7558271757fff,8a7558271707fff,8a7558271727fff,8a75582710d7fff,8a75582710c7fff,8a75582710f7fff,8a75582710e7fff,8a7558271057fff,8a7558271077fff,8a7558271067fff,8a7558271a97fff,8a7558271a9ffff,8a7558271a8ffff,8a7558244c9ffff,8a7558244ccffff,8a7558244187fff,8a7558244017fff,8a755824400ffff,8a755824402ffff,8a7558244147fff,8a7558244167fff,8a75582448dffff,8a75582448d7fff,8a75582448f7fff,8a75582448c7fff",4
1,-207236707#0,321134214,0.0,0.0,0.4375,0.8125,0.4375,1.0,0.5625,0.5625,0.125,0.625,0.375,0.125,0.75,0.875,0.125,0.125,0.875,0.125,0.125,0.125,0.0,0.375,0.625,"8a7558246c97fff,8a755827326ffff,8a7558246c87fff,8a7558246ca7fff,8a7558246c17fff,8a755827165ffff,8a755827164ffff,8a7558271647fff,8a7558271667fff,8a755827175ffff,8a7558271757fff,8a7558271707fff,8a75582717affff,8a7558271727fff,8a75582710d7fff,8a75582710c7fff,8a75582710f7fff,8a75582710e7fff,8a7558271057fff,8a755827100ffff,8a7558271077fff,8a7558271067fff,8a7558271a97fff,8a7558271a9ffff,8a7558271a8ffff,8a7558244c9ffff,8a7558244ccffff,8a7558244187fff,8a7558244017fff,8a755824400ffff,8a755824402ffff,8a7558244147fff,8a7558244167fff,8a75582448dffff,8a75582448d7fff,8a75582448f7fff,8a75582448c7fff",0
1,-207236707#0,321134214,0.375,0.375,0.1875,0.3125,0.4375,0.625,0.5625,0.5625,0.5,0.25,0.25,0.5,0.875,0.5,0.75,0.75,0.5,0.625,0.75,0.25,0.375,0.0,0.75,"8a7558246c97fff,8a755827326ffff,8a7558246c87fff,8a7558246ca7fff,8a7558246c17fff,8a755827165ffff,8a755827164ffff,8a7558271647fff,8a7558271667fff,8a755827175ffff,8a7558271757fff,8a7558271707fff,8a75582717affff,8a7558271727fff,8a75582710d7fff,8a75582710c7fff,8a75582710f7fff,8a75582710e7fff,8a7558271057fff,8a7558271077fff,8a7558271067fff,8a7558271a97fff,8a7558271a9ffff,8a7558271a8ffff,8a7558244c9ffff,8a7558244ccffff,8a7558244187fff,8a7558244017fff,8a755824400ffff,8a755824402ffff,8a7558244147fff,8a7558244167fff,8a75582448dffff,8a75582448d7fff,8a75582448f7fff,8a75582448c7fff",0
1,-207236707#0,321134214,0.125,0.125,0.4375,0.8125,0.4375,0.875,0.5625,0.5625,0.25,0.125,0.5,0.25,1.0,0.75,0.0,0.0,0.75,0.5,0.0,0.0,0.125,0.25,0.5,"8a7558246c97fff,8a755827326ffff,8a7558246c87fff,8a7558246ca7fff,8a7558246c17fff,8a755827165ffff,8a755827164ffff,8a7558271647fff,8a7558271667fff,8a755827175ffff,8a7558271757fff,8a7558271707fff,8a75582717affff,8a7558271727fff,8a75582710d7fff,8a75582710c7fff,8a75582710f7fff,8a75582710e7fff,8a7558271057fff,8a7558271077fff,8a7558271067fff,8a7558271a97fff,8a7558271a9ffff,8a7558271a8ffff,8a7558244c9ffff,8a7558244ccffff,8a7558244187fff,8a7558244017fff,8a755824400ffff,8a755824402ffff,8a7558244147fff,8a7558244167fff,8a75582448dffff,8a75582448d7fff,8a75582448f7fff,8a75582448c7fff",0
2,-147969307#2,203162006#1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"8a7558271d87fff,8a7558271db7fff,8a7558270aeffff,8a7558270adffff,8a755827036ffff,8a7558271cb7fff,8a755827034ffff,8a7558271c97fff,8a7558270267fff",3
