origins,destinations,path,free_flow_time,total_length,mean_speed,speed_std,speed_range,pct_high_speed,pct_motorway,pct_trunk,pct_primary,pct_secondary,pct_tertiary,pct_unclassified,pct_residential,lane_changes_per_km,priority_changes_per_km,yield_priority_changes_per_km,traffic_lights_per_km,bearing_std,turns_per_km,left_yield_turns_per_km,mean_circuity,edge_length_std,edges_per_km,h3_sequence,cluster,cluster_id
-100468675#0,-101604513#1,"-100468675#0,100468664,100468672#2,100468667,100468681#0,100468681#1,100468681#2,-101600741#4,101601553#0,101601553#1,-100525438#0,100468681#7,100468681#8,120511932#0,120511932#1,120511932#2,-101604499,100475363,282479151#1,100475362,-659278038#3,-659278038#2,101604503,101604513#1",2.543238072766904,1918.2655677309929,45.831,19.324762550990734,70.02,0.5402412813759369,0.0,0.0,0.0,0.4227842273411729,0.0,0.0,0.577215772658827,1.042608507207731,16.68173611532369,1.042608507207731,0.0,101.16345174858677,2.0852170144154614,0.0,2.7484197302263635,96.91644821760582,12.511302086492767,"8a7558242c1ffff,8a7558242c0ffff,8a755824288ffff,8a7558242127fff,8a755824212ffff,8a75582428dffff,8a7558242177fff,8a7558242167fff,8a7558242147fff,8a7558242077fff,8a755824200ffff,8a7558242007fff,8a7558242037fff",0,0
-100468675#0,-101604513#1,"100468675#0,100468675#1,100468675#2,100468675#3,101600741#0,101600741#1,101600741#2,101600741#3,101601553#0,101601553#1,-100525438#0,100468681#7,100468681#8,120511932#0,120511932#1,120511932#2,-101604499,100475363,282479151#1,100475362,-659278038#3,-659278038#2,101604503,101604513#1",2.9413985320550107,1879.046647727192,36.66,9.638572941459028,20.016000000000005,0.187688897176883,0.0,0.0,0.0,0.0798244291331329,0.0,0.0,0.9201755708668672,0.0,8.514956251540037,0.5321847657212523,0.0,88.04920594982542,1.0643695314425046,0.0,2.6329115372508536,52.99212519992133,12.772434377310054,"8a7558242c1ffff,8a7558242ce7fff,8a75582421b7fff,8a75582421a7fff,8a7558242137fff,8a7558242127fff,8a755824212ffff,8a75582428dffff,8a7558242177fff,8a7558242167fff,8a7558242147fff,8a7558242077fff,8a755824200ffff,8a7558242007fff,8a7558242037fff",1,1
-100468675#0,-101604513#1,"-100468675#0,100468664,100468672#2,100468667,100468681#0,100468681#1,100468681#2,100468681#3,100468681#4,100468681#5,100468681#6,100525438#0,100525438#1,100525438#2,659278038#0,659278038#1,101604503,101604513#1",1.691343578468104,1426.8311092963502,48.888000000000005,20.83862838435333,70.02,0.6841848765990739,0.0,0.0,0.0,0.6048311640050205,0.0,0.0,0.3951688359949795,1.401707593119631,11.213660744957048,0.7008537965598155,0.0,82.77848793051824,1.401707593119631,0.0,2.044310672337936,109.30120723986649,12.615368338076678,"8a7558242c1ffff,8a7558242c0ffff,8a755824288ffff,8a75582428d7fff,8a75582428dffff,8a755824212ffff,8a755824211ffff,8a75582421affff,8a7558242037fff,8a7558242007fff",3,3
-100468675#0,-101604513#1,"100468675#0,100468675#1,100468675#2,100468675#3,101600741#0,101600741#1,101600741#2,101600741#3,101600741#4,100468681#3,100468681#4,100468681#5,100468681#6,100525438#0,100525438#1,100525438#2,659278038#0,659278038#1,101604503,101604513#1",2.2635936736105533,1505.7217132848557,35.99280000000001,9.410769517168251,20.016000000000005,0.1943029768288931,0.0,0.0,0.0,0.1341372173711241,0.0,0.0,0.8658627826288758,0.0,10.626133540370276,0.6641333462731422,0.0,59.23421705518295,1.3282666925462845,0.0,2.1098103528148235,52.39558248193472,13.282666925462845,"8a7558242c1ffff,8a7558242ce7fff,8a75582421b7fff,8a75582421a7fff,8a7558242137fff,8a7558242127fff,8a755824288ffff,8a75582428d7fff,8a75582428dffff,8a755824212ffff,8a755824211ffff,8a75582421affff,8a7558242037fff,8a7558242007fff",4,4
-100468681#0,-101608828,"100468681#0,100468681#1,100468681#2,-101600741#4,101601553#0,101601553#1,-100525438#0,-100468681#6,-100468681#5,101607105,101607099,101607107,101607098#1,101607098#2,-120512823#1,-120512823#0,-101609498#5,-101609498#4,-101608824,-101607967#0,101607962,101607963,-659279347,101607969#0,101607966#0,-101608828",3.36259317261822,2454.430309010916,38.456307692307696,10.084690776694076,20.016000000000005,0.4747946320428085,0.0,0.0,0.0,0.2863023134400491,0.0,0.0,0.7136976865599509,0.0,9.778236486034718,0.8148530405028932,0.0,93.68292328669934,1.2222795607543395,0.0,3.423323805169164,92.87889314197102,10.59308952653761,"8a7558242c1ffff,8a7558242c0ffff,8a755824288ffff,8a7558242127fff,8a755824212ffff,8a75582428dffff,8a75582428d7fff,8a75582428c7fff,8a75582428effff,8a7558242857fff,8a7558242847fff,8a755824295ffff,8a755824282ffff,8a755824280ffff,8a75582428e7fff,8a75582428f7fff,8a755824281ffff",0,0
-100468681#0,-101608828,"100468681#0,100468681#1,100468681#2,100468681#3,100468681#4,101607105,101607099,101607107,101607098#1,101607098#2,-120512823#1,-120512823#0,-101609498#5,-101609498#4,-101608824,101607967#1,101607964#0,101607964#1,101607969#0,101607966#0,-101608828",3.0513063396704974,2243.464346073319,38.566285714285726,10.149964537587596,20.016000000000005,0.5154635621169016,0.0,0.0,0.0,0.3356658193404275,0.0,0.0,0.6643341806595726,0.0,3.5659135898469723,0.4457391987308715,0.0,84.34184797959519,0.4457391987308715,0.4457391987308715,3.129078415372073,96.84061545186884,9.360523173348302,"8a7558242c1ffff,8a7558242c0ffff,8a755824288ffff,8a75582428d7fff,8a75582428c7fff,8a75582428effff,8a7558242857fff,8a7558242847fff,8a755824295ffff,8a755824282ffff,8a755824280ffff,8a7558242877fff,8a75582428e7fff,8a75582428f7fff,8a755824281ffff",1,1
-100468681#0,-101608828,"-100468681#0,100468665,100468672#4,100468672#5,100468672#0,100468678,100468675#0,100468675#1,100468675#2,100468675#3,101600741#0,101600741#1,101600741#2,101600741#3,101600741#4,100468681#3,100468681#4,101607105,101607099,101607107,101607098#1,101607098#2,-120512823#1,-120512823#0,-101609498#5,-101609498#4,-101608824,-101607967#0,101607962,-101607966#1,-101608828",3.025433405903758,2132.639252324252,44.83393548387097,23.369858145248383,70.02,0.311582768587703,0.0,0.0,0.0,0.137521911739867,0.0,0.0,0.8624780882601332,0.9378051153378636,11.253661384054364,0.9378051153378636,0.0,89.92115909286169,0.9378051153378636,0.9378051153378636,3.4253692564966234,45.78898006136187,14.535979287736888,"8a7558242c0ffff,8a7558242c1ffff,8a7558242caffff,8a7558242ce7fff,8a75582421b7fff,8a75582421a7fff,8a7558242137fff,8a7558242127fff,8a755824288ffff,8a75582428d7fff,8a75582428c7fff,8a75582428effff,8a7558242857fff,8a7558242847fff,8a755824295ffff,8a755824282ffff,8a755824280ffff,8a755824281ffff",2,2
-100468681#0,-101608828,"100468681#0,100468681#1,100468681#2,100468681#3,100468681#4,101607105,-101607101,101607107,101607098#1,101607098#2,-120512823#1,-120512823#0,-101609498#5,-101609498#4,-101608824,-101607967#0,101607962,-101607966#1,-101608828",2.255201375006446,1785.0823597398314,40.52273684210527,10.267991347668223,20.016000000000005,0.6132520383716064,0.0,0.0,0.0,0.421859693910981,0.0,0.0,0.578140306089019,0.0,4.481585937113831,0.5601982421392289,0.0,91.80158051394172,0.5601982421392289,0.5601982421392289,2.4897488080431507,100.00828633551043,10.643766600645348,"8a7558242c1ffff,8a7558242c0ffff,8a755824288ffff,8a75582428d7fff,8a75582428c7fff,8a75582428effff,8a7558242857fff,8a7558242847fff,8a755824295ffff,8a755824282ffff,8a755824280ffff,8a755824281ffff",3,3
-100468681#0,-101749458#0,"100468681#0,100468681#1,100468681#2,-101600741#4,101601553#0,101601553#1,100525438#1,100525438#2,659278038#0,659278038#1,659278038#2,659278038#3,100475365#0,100475365#1,282479151#3,282479151#4,100488713,-100488715#7,-100488715#6,-100488715#5,-100488715#4,101418592,101418584#2,101418584#3,101418584#4,416373452,184568063,76867740,-16648700,42762427,659281081#0,659281081#1,526438862#0,526438862#1,526438862#2,101418589,625955757,71324347#2,71324347#3,71324347#4,71324347#5,-47374665#1,-47374680#3,-47374680#2,-47374680#1,101749458#0",7.287145444464697,3928.0523647846544,32.60426086956522,11.24232616189527,39.99600000000001,0.230496675637969,0.0,0.0,0.1796412056934832,0.1595943659022937,0.0,0.0,0.5318533923240164,1.018316363564896,11.710638180996304,0.7637372726736721,0.0,72.30316144097303,1.27289545445612,0.0,2.3451363819743083,88.02633826667909,11.710638180996304,"8a7558242c1ffff,8a7558242c0ffff,8a755824288ffff,8a7558242127fff,8a755824212ffff,8a755824211ffff,8a75582421affff,8a7558242037fff,8a7558242007fff,8a755824200ffff,8a75582420e7fff,8a75582420c7fff,8a75582420dffff,8a75582420cffff,8a75582420effff,8a75582423b7fff,8a7558242397fff,8a755824274ffff,8a755824239ffff,8a75582423a7fff,8a755824204ffff,8a7558242317fff,8a75582423affff,8a7558242387fff,8a7558242217fff,8a75582422a7fff,8a7558242297fff,8a755824229ffff",0,0
-100468681#0,-101749458#0,"100468681#0,100468681#1,100468681#2,-101600741#4,101601553#0,101601553#1,-100525438#0,100468681#7,100468681#8,282479126,133906980,133906979,282479125#0,282479125#1,120511930,42762428#1,1164653913,463830226#0,463830226#1,-679068326#3,416375814,71324343#1,101415864#0,101415864#1,-679068326#1,-679068326#0,101749453,224715836,224715833,282689986,-352797377,-120511301,101411571#0,-47374680#8,-47374680#7,-47374680#6,-47374680#5,-47374680#4,-47374680#3,-47374680#2,-47374680#1,101749458#0",6.813724064139696,4417.911243639619,36.66,9.55000837185178,20.016000000000005,0.2773866808675255,0.0,0.0,0.0277214237663262,0.255722268421218,0.0,0.0,0.7165563078124558,0.0,5.885134074939078,0.4527026211491598,0.0,69.11208994384876,0.9054052422983196,0.0,2.6375932466370333,105.86932984762858,9.506755044132357,"8a7558242c1ffff,8a7558242c0ffff,8a755824288ffff,8a7558242127fff,8a755824212ffff,8a75582428dffff,8a7558242177fff,8a7558242167fff,8a7558242147fff,8a755824214ffff,8a7558242a97fff,8a7558242a87fff,8a7558242aa7fff,8a7558242aaffff,8a7558242af7fff,8a7558242a0ffff,8a7558242a1ffff,8a7558242a07fff,8a7558242a2ffff,8a7558242b5ffff,8a7558242a77fff,8a7558242a67fff,8a7558242a6ffff,8a7558240697fff,8a7558242acffff,8a755824230ffff,8a7558242227fff,8a7558242237fff,8a7558242217fff,8a75582422a7fff,8a7558242297fff,8a755824229ffff",1,1
