origins,destinations,path,free_flow_time,total_length,mean_speed,speed_std,speed_range,pct_high_speed,pct_motorway,pct_trunk,pct_primary,pct_secondary,pct_tertiary,pct_unclassified,pct_residential,lane_changes_per_km,priority_changes_per_km,yield_priority_changes_per_km,traffic_lights_per_km,bearing_std,turns_per_km,left_yield_turns_per_km,mean_circuity,edge_length_std,edges_per_km,h3_sequence
-83674624#0,-44419470#10,"83674624#0,83674624#1,83674624#2,83674624#3,-44419782#1,-44419782#0,-44419760#0,23748860#2,23748860#3,23748860#4,-23748877#4,-23748877#3,-23748877#2,-23748877#1,-23748877#0,23748847#3,23748847#4,-44419470#10",0.6653846239752204,581.2845383482985,49.992,23.01079104399908,50.004000000000005,0.43841134207153515,0.0,0.0,0.0,0.0,0.5842047846767576,0.0,0.41579521532324226,0.0,12.042295189702235,0.0,0.0,123.22039114346187,1.7203278842431766,0.0,2.000022598518646,24.037245478746176,30.965901916377177,"8a755824044ffff,8a7558240737fff,8a755824046ffff,8a7558240447fff,8a7558240467fff,8a7558240457fff,8a75582404e7fff"
-83674624#0,-44419470#10,"-83674624#0,83674624#0,83674624#1,83674624#2,83674624#3,-44419782#1,-44419782#0,-44419760#0,23748860#2,23748860#3,23748860#4,-23748877#4,-23748877#3,-23748877#2,-23748877#1,-23748877#0,23748847#3,23748847#4,-44419470#10",0.6909548520664569,601.2861007872682,48.93915789473684,22.828514745240966,50.004000000000005,0.42382774896849296,0.0,0.0,0.0,0.0,0.5647714259768679,0.0,0.4352285740231319,0.0,11.641712640346833,0.0,0.0,120.68193099494728,1.6631018057638334,0.0,1.989590924747209,23.5296000540832,31.598934309512835,"8a755824044ffff,8a7558240737fff,8a755824046ffff,8a7558240447fff,8a7558240467fff,8a7558240457fff,8a75582404e7fff"
-83674624#0,-44419470#10,"83674624#0,83674624#1,83674624#2,83674624#3,-44419782#1,-44419782#0,44419760#1,44419760#2,44419760#3,44419760#4,-105321647#3,-105321647#2,-105321647#1,-105321647#0,105321654#1,105321654#2,105321654#3,-105196544#2,-105196544#1,-105196544#0,105321674,157989175#3,157989542#3,157989542#4,157989542#5,157989542#6,157989542#7,157989542#1,157989173#0,157989173#1,157989173#2,157986566#5,157986566#6,157986566#1,157989171,-28866079#1,-28866079#0,23748860#3,23748860#4,-23748877#4,-23748877#3,-23748877#2,-23748877#1,-23748877#0,23748847#3,23748847#4,-44419470#10",1.693878558681866,1871.9581508664323,59.570042553191485,19.885385901031256,50.004000000000005,0.8256142619350252,0.0,0.0,0.0,0.0,0.504780158860948,0.0,0.4952198411390523,0.0,3.7393998347452713,0.0,0.0,105.88723239626023,0.5341999763921815,0.0,6.440836386001907,49.109863565911326,25.107398890432535,"8a755824044ffff,8a7558240737fff,8a755824046ffff,8a755824009ffff,8a75582400affff,8a755824001ffff,8a755824000ffff,8a7558240007fff,8a7558240467fff,8a7558240447fff,8a7558240457fff,8a75582404e7fff"
-83674624#0,-44419470#10,"83674624#0,83674624#1,83674624#2,83674624#3,-44419782#1,-44419782#0,-44419760#0,23748860#2,23748860#3,-292643664#11,-292643664#10,-83675534#1,-83675534#0,-83675540#4,-83675540#3,-83675540#2,-83675533#1,-83675533#0,83675527#2,83675527#3,534491433#0,534491433#1,24526908#1,24526908#2,24526908#3,24526908#4,24526908#5,24526908#6,23748847#4,-44419470#10",1.303947851251513,1106.2947190856755,43.9944,17.14367848830422,50.004000000000005,0.4502907336966607,0.0,0.0,0.0,0.0,0.0668408800467818,0.0,0.933159119953218,0.0,18.982283507016977,0.9039182622389037,0.0,111.4764967423343,2.7117547867167113,0.0,3.8064223161349893,29.085648804208848,27.11754786716711,"8a755824044ffff,8a7558240737fff,8a755824046ffff,8a7558240447fff,8a7558240467fff,8a755824054ffff,8a755824055ffff,8a7558240477fff,8a755824040ffff,8a755824042ffff,8a7558240407fff,8a75582404e7fff"
-83674624#0,-44419470#10,"83674624#0,83674624#1,83674624#2,83674624#3,-44419782#1,-44419782#0,-44419760#0,23748860#2,23748860#3,-292643664#11,-292643664#10,-83675534#1,-83675534#0,-83675540#4,-83675540#3,-83675540#2,-83675540#1,-83675540#0,83675527#3,534491433#0,534491433#1,24526908#1,24526908#2,24526908#3,24526908#4,24526908#5,24526908#6,23748847#4,-44419470#10",1.017993469498812,933.5459537169744,44.47737931034482,17.238165307607822,50.004000000000005,0.5336151463764544,0.0,0.0,0.0,0.0,0.0792095047066233,0.0,0.9207904952933769,0.0,22.49487549743762,1.0711845474970294,0.0,112.6484043934546,3.2135536424910884,0.0,3.2120465641404,25.767057942866142,31.064351877413856,"8a755824044ffff,8a7558240737fff,8a755824046ffff,8a7558240447fff,8a7558240467fff,8a755824054ffff,8a755824055ffff,8a7558240477fff,8a755824040ffff,8a755824042ffff,8a7558240407fff,8a75582404e7fff"
-83674624#0,-44419470#10,"83674624#0,83674624#1,83674624#2,83674624#3,159693935#0,159693935#1,159693925#0,159693925#1,-159693929#0,44419782#4,617257215#1,617257214#1,617257214#2,570426919,-83675537,-227916164#5,-83675531#1,83675519#1,-227916164#3,-227916164#2,-227916164#1,-227916164#0,-227916164#12,-227916164#11,-227916164#10,-227916164#9,-227916164#8,83674621,-44419735#1,-44419735#0,44419710#4,-44419872#6,-44419872#5,-44419872#4,-44419872#3,-44419872#2,-44419872#1,-44419872#0,44419839#2,44419839#3,44419843#0,44419843#1,23748847#2,23748847#3,23748847#4,-44419470#10",1.641257564691438,1734.7856616669585,49.56573913043479,11.918955051951274,50.004000000000005,0.8500176130967931,0.0,0.0,0.0,0.0,0.04746548836978047,0.0,0.9525345116302196,0.0,4.035080618128748,0.0,0.0,118.5093832341549,0.5764400883041069,0.0,5.968867736924204,23.69485305781348,26.516244061988914,"8a755824044ffff,8a7558240737fff,8a7558240707fff,8a7558240717fff,8a755824071ffff,8a755824070ffff,8a7558240627fff,8a7558240637fff,8a7558240617fff,8a755824078ffff,8a75582407affff,8a7558240787fff,8a75582407b7fff,8a75582404cffff,8a75582404effff,8a75582404e7fff"
-83674624#0,-44419470#10,"83674624#0,83674624#1,83674624#2,83674624#3,159693935#0,159693935#1,159693925#0,159693925#1,-159693929#0,44419782#4,617257215#1,617257214#1,617257214#2,-44419735#2,-44419735#1,-44419735#0,44419710#4,-44419872#6,-44419872#5,-44419872#4,-44419872#3,-44419872#2,-44419872#1,-44419872#0,44419839#2,44419839#3,44419843#0,44419843#1,23748847#2,23748847#3,23748847#4,-44419470#10",1.2795944977367943,1279.4228494569838,49.374,14.355960398654698,50.004000000000005,0.7966369801721935,0.0,0.0,0.0,0.0,0.0643590574319217,0.0,0.9356409425680782,0.0,5.4712169655020295,0.0,0.0,122.33232626898678,0.7816024236431471,0.0,4.402103347262681,30.322211840043618,25.01127755658071,"8a755824044ffff,8a7558240737fff,8a7558240707fff,8a7558240717fff,8a755824071ffff,8a75582407affff,8a755824078ffff,8a7558240787fff,8a75582407b7fff,8a75582404cffff,8a75582404effff,8a75582404e7fff"
-83674624#0,-44419470#10,"-83674624#0,83674624#0,83674624#1,83674624#2,83674624#3,-44419782#1,-44419782#0,-44419760#0,23748860#2,23748860#3,-292643664#11,-292643664#10,-83675534#1,-83675534#0,-83675540#4,-83675540#3,-83675540#2,-83675540#1,-83675540#0,83675527#3,534491433#0,534491433#1,24526908#1,24526908#2,24526908#3,24526908#4,24526908#5,24526908#6,23748847#4,-44419470#10",1.0435636975900484,953.5475161559441,43.9944,17.14367848830422,50.004000000000005,0.5224220631920364,0.0,0.0,0.0,0.0,0.07754801031089956,0.0,0.9224519896891005,0.0,22.023024174671164,1.048715436889103,0.0,111.65463642084516,3.146146310667309,0.0,3.155185995443985,25.41652394469286,31.46146310667309,"8a755824044ffff,8a7558240737fff,8a755824046ffff,8a7558240447fff,8a7558240467fff,8a755824054ffff,8a755824055ffff,8a7558240477fff,8a755824040ffff,8a755824042ffff,8a7558240407fff,8a75582404e7fff"
-83674624#0,-44419470#10,"83674624#0,83674624#1,83674624#2,83674624#3,-44419782#1,-44419782#0,-44419760#0,23748860#2,23748860#3,-292643664#11,-292643664#10,-83675534#1,-83675534#0,83675540#5,83675520#1,83675530#0,83675530#1,83675530#2,534491433#0,534491433#1,24526908#1,24526908#2,24526908#3,24526908#4,24526908#5,24526908#6,23748847#4,-44419470#10",1.0664528532523134,948.9997453019315,44.994857142857136,17.323588674735632,50.004000000000005,0.524925600041482,0.0,0.0,0.0,0.0,0.07791963378374504,0.0,0.9220803662162551,0.0,22.128562314122316,1.0537410625772532,0.0,115.1993250636119,3.1612231877317596,0.0,3.265218342097088,25.903403401579187,29.50474975216309,"8a755824044ffff,8a7558240737fff,8a755824046ffff,8a7558240447fff,8a7558240467fff,8a755824054ffff,8a755824055ffff,8a755824042ffff,8a7558240407fff,8a755824040ffff,8a75582404e7fff"
44420943,102067746#1,"44420943,102077243#6,102077243#7,102077243#0,102077243#1,102077243#2,1118041382,102067746#0,102067746#1",0.1667347331637929,299.11710426011655,26.68,13.223465052700826,29.988000000000007,0.7277952068172581,0.0,0.0,0.0,0.0,0.0,0.0,0.7277952068172581,0.0,3.3431722417665073,0.0,0.0,64.7876767229443,0.0,0.0,1.2616389904065077,44.374037206363795,30.088550175898565,"8a7558245427fff,8a7558245407fff,8a75582454e7fff"
