sumo_id,from,to,priority,type,speed,lanes,allow,disallow,osmid,has_traffic_light,surface,bridge,tunnel,lit,bearing,length
-1001978800#0,281070966,281070673,1,highway.service,20.016,1,pedestrian delivery bicycle,,1001978800.0,0,asphalt,,,,305.21889750919746,25.06324858974235
-1001978800#1,9247830400,281070966,1,highway.service,20.016,1,pedestrian delivery bicycle,,1001978800.0,0,asphalt,,,,305.21889750919746,
-1001978801,9247830400,9247830399,1,highway.service,20.016,1,pedestrian delivery bicycle,,1001978801.0,0,asphalt,,,,131.58293001802974,
-1001978802#0,13017628463,3415604309,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1001978802.0,0,asphalt,,,no,135.68096244311292,40.96611957872201
-1001978802#1,6712795807,13017628463,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1001978802.0,0,asphalt,,,no,135.68096244311292,
-1005048646#0,9273021916,3566333088,1,highway.path,20.016,1,pedestrian bicycle,,1005048646.0,0,,,,,242.10518381165915,1073.111612914932
-1005048646#1,9856963487,9273021916,1,highway.path,20.016,1,pedestrian bicycle,,1005048646.0,0,,,,,242.10518381165915,24.393772335355038
-1005048646#2,2341179115,9856963487,1,highway.path,20.016,1,pedestrian bicycle,,1005048646.0,0,,,,,242.10518381165915,277.6816174910025
-1005048646#3,9273021915,2341179115,1,highway.path,20.016,1,pedestrian bicycle,,1005048646.0,0,,,,,242.10518381165915,222.52739466763194
-1005048661#0,9273011184,9273011145,1,highway.path,20.016,1,pedestrian bicycle,,1005048661.0,0,,,,,88.53062425240935,192.32179716905188
-1005048662,9273011199,9273011184,1,highway.path,20.016,1,pedestrian bicycle,,1005048662.0,0,,,,,27.0954856328878,132.78461716180925
-1005493675#0,8709698711,51414021,3,highway.residential,50.004000000000005,1,emergency authority pedestrian bus bicycle,,1005493675.0,0,,,,,214.21153777835832,72.38093920332622
-1005493675#1,9277006597,8709698711,3,highway.residential,50.004000000000005,1,emergency authority pedestrian bus bicycle,,1005493675.0,0,,,,,214.21153777835832,146.49350679936242
-1005814137,9742837617,9280041932,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1005814137.0,0,,,,,148.95447258597173,25.668100249318982
-1013181532#0,9347396839,9273011184,1,highway.path,20.016,1,pedestrian bicycle,,1013181532.0,0,,,,,285.4589840866033,125.21433925657726
-1013181532#1,3566333088,9347396839,1,highway.path,20.016,1,pedestrian bicycle,,1013181532.0,0,,,,,285.4589840866033,267.18246723489983
-1013181749#0,9347379595,9273011184,1,highway.path,20.016,1,pedestrian bicycle,,1013181749.0,0,,,,,180.0297505277567,96.87321031041212
-1013181749#1,9347379609,9347379595,1,highway.path,20.016,1,pedestrian bicycle,,1013181749.0,0,,,,,180.0297505277567,203.42782891638052
