sumo_id,from,to,priority,type,speed,lanes,allow,disallow,osmid,has_traffic_light,surface,bridge,tunnel,lit,bearing,length
-1000349817,7475872875,7460214009,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1000349817.0,0,asphalt,,,,141.07730704627434,
-1000349826,9233804483,5275591237,11,highway.secondary,69.98400000000001,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1000349826.0,0,asphalt,,,yes,229.34544846073987,175.95669221928648
-1000349841#0,2514890979,83070401,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1000349841.0,0,asphalt,,,yes,248.31796523870645,32.024538440389684
-1000349841#1,6449343445,2514890979,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1000349841.0,0,asphalt,,,yes,248.31796523870645,
-1000349841#2,2514890996,6449343445,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1000349841.0,0,asphalt,,,yes,248.31796523870645,116.33332156851104
-1000459044,1427032952,4685387436,2,highway.living_street,20.016,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1000459044.0,0,asphalt,,,yes,333.11257140269646,
-1001690036,9245539897,9245539896,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1001690036.0,0,asphalt,,,,148.3917085033605,67.16926329156078
-1003499110,9226886921,6234248278,11,highway.secondary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1003499110.0,0,asphalt,,,,220.48712867067675,
-1003499111,30254861,5924268032,11,highway.secondary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1003499111.0,0,asphalt,,,,36.242732071379734,22.246944775881392
-1003522315,2792002698,195802404,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1003522315.0,0,asphalt,,,yes,251.06278575748462,50.167223787184724
