sumo_id,from,to,priority,type,speed,lanes,allow,disallow,has_traffic_light,type_clean,length,bearing,start_x,start_y,end_x,end_y
-1008296837#0,5599822593,1025173283,11,highway.secondary,90.0,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,secondary,185.90209390624136,234.80670266776718,6011.25,3518.34,5859.36,3411.22
-1008296837#1,254845503,5599822593,11,highway.secondary,90.0,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,secondary,341.5705269103723,234.3946578128265,6288.96,3717.2,6011.25,3518.34
-1008296838#0,5537640621,1583653976,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,secondary,10.110904648211665,259.4569293522313,4472.35,3086.93,4462.41,3085.08
-1008296838#1,2902747609,5537640621,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,secondary,10.030004985043064,260.4155922311802,4482.24,3088.6,4472.35,3086.93
-1008296838#2,5522747354,2902747609,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,secondary,135.652818990245,259.9467557273995,4615.81,3112.28,4482.24,3088.6
-1008296839#0,1583941386,5522747357,10,highway.tertiary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,tertiary,13.632916049033685,169.86055225159703,4646.52,3024.21,4648.92,3010.79
-1008296839#1,1583941414,1583941386,10,highway.tertiary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,tertiary,64.39739202793876,169.90285559166944,4635.23,3087.61,4646.52,3024.21
-1008296839#2,5522747356,1583941414,10,highway.tertiary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,tertiary,5.180212350859347,170.55586115522624,4634.38,3092.72,4635.23,3087.61
-1008296839#3,1583653986,5522747356,10,highway.tertiary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1,tertiary,4.775793127848011,170.4785083333054,4633.59,3097.43,4634.38,3092.72
-1008296839#4,625195119,1583653986,10,highway.tertiary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,tertiary,8.741104049260906,170.4514701767389,4632.14,3106.05,4633.59,3097.43
-1008296839#5,276095617,625195119,10,highway.tertiary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,tertiary,8.99262475587631,170.52720324373092,4630.66,3114.92,4632.14,3106.05
-1008296840,3089404552,1547257623,11,highway.secondary,100.00800000000001,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,secondary,555.0303918784815,83.573852907385,5951.93,2878.9,6503.47,2941.02
-1012821130#0,8656149585,275865802,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,tertiary,8.81045969362816,179.41470592665723,2914.98,2539.93,2915.07,2531.12
-1012821150,276171945,276083054,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,tertiary,59.33367087918959,180.63734459360364,2916.47,3019.1,2915.81,2959.77
-1012821155,275598736,8656149585,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,tertiary,171.36784831380476,180.40459142621768,2916.19,2711.28,2914.98,2539.93
-103482562#0,1194795170,1194795166,3,highway.residential,50.004000000000005,1,,pedestrian tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,residential,112.89909936334342,171.07687534222305,4460.97,2477.03,4476.09,2380.73
-103482562#1,1194795165,1194795170,3,highway.residential,50.004000000000005,1,,pedestrian tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,residential,136.62588480510195,167.75172786419046,4433.43,2603.89,4460.97,2477.03
-1034989096,603028250,603028237,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,residential,46.89043071797201,278.9316333530005,3607.47,3172.45,3561.53,3179.67
