sumo_id,from,to,priority,type,speed,lanes,allow,disallow,osmid,has_traffic_light,type_clean,length,bearing,start_x,start_y,end_x,end_y,surface,bridge,tunnel,lit
-1002435620,1478257749,1478257773,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1002435620.0,0,unclassified,361.8375623980855,115.22912807727505,3442.35,885.09,3762.5,734.24,,,,
-1004099259,4153936690,4153936457,12,highway.primary,100.00800000000001,2,,tram rail_urban rail rail_electric rail_fast ship,1004099259.0,0,primary,18.10156744960591,126.39804550824726,4872.29,2244.43,4886.56,2233.91,asphalt,,,
-1004099260,3739728269,1247130467,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1004099260.0,0,residential,151.69697200830058,195.73154260185385,5263.66,2875.51,5222.65,2729.92,asphalt,,,
-1064567685,9776973061,9776973063,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1064567685.0,0,residential,49.75460499866492,346.67948822524676,5021.64,3019.64,5013.23,3055.16,,,,
-1064567689,473419095,473419138,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1064567689.0,0,residential,92.49188342768255,255.09531813692638,5013.36,2333.48,4923.98,2309.69,,,,
-1064567692#0,9776973082,1830045478,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1064567692.0,0,residential,39.34641029972292,265.12913862573134,5085.85,2485.33,5055.34,2482.73,,,,
-1064567692#1,9776973081,9776973082,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1064567692.0,0,residential,20.534587894573974,232.22045620429338,5102.08,2497.91,5085.85,2485.33,,,,
-1064567695,9776973089,9776973090,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1064567695.0,0,unclassified,84.031675575345,34.50325554043718,4368.45,1595.87,4416.05,1665.12,,,,
-107234406#0,4947019305,1232869898,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107234406.0,0,unclassified,27.038425972875924,318.4159159927539,5695.91,3071.79,5678.03,3091.94,asphalt,,,
-107234406#1,4947019300,4947019305,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107234406.0,0,unclassified,70.81015322677976,320.6160870686036,5740.84,3017.06,5695.91,3071.79,asphalt,,,
-107234406#2,1927872492,4947019300,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107234406.0,0,unclassified,98.59649689517377,320.0277637334348,5804.18,2941.5,5740.84,3017.06,asphalt,,,
-107234409#0,1927872589,473436654,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107234409.0,0,residential,169.3802556499886,18.23918178379887,5850.45,3665.57,5903.46,3826.43,asphalt,,,
-107234409#1,473436652,1927872589,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107234409.0,0,residential,41.28438445707997,19.23371979656855,5836.85,3626.59,5850.45,3665.57,asphalt,,,
-107234409#2,1232869816,473436652,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107234409.0,0,residential,173.38583812029216,14.175902857857011,5794.45,3458.73,5836.85,3626.59,asphalt,,,
-107234423#0,473422694,473422689,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107234423.0,0,residential,52.12209736524839,257.5500034921934,5128.56,2545.07,5080.05,2534.36,asphalt,,,
-107234423#1,473422697,473422694,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107234423.0,0,residential,44.16860295825111,214.4830879470323,5153.52,2581.41,5128.56,2545.07,asphalt,,,
-107234423#2,1247130467,473422697,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107234423.0,0,residential,165.53484320525325,204.96153239606275,5222.65,2729.92,5153.52,2581.41,asphalt,,,
-107234427#0,473436657,1236534718,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107234427.0,0,residential,146.42491924043657,156.32328809298087,5514.92,3367.27,5573.37,3233.97,asphalt,,,
-107234427#1,8804316160,473436657,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107234427.0,0,residential,35.867291506329096,154.41371902210562,5499.43,3399.62,5514.92,3367.27,asphalt,,,
-107234427#2,473436659,8804316160,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107234427.0,0,residential,70.98838003504538,153.88253479520893,5468.18,3463.36,5499.43,3399.62,asphalt,,,
-107234427#3,1650432521,473436659,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107234427.0,0,residential,45.367685636364804,152.8531997604249,5447.48,3503.73,5468.18,3463.36,asphalt,,,
-107234427#4,5912741315,1650432521,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107234427.0,0,residential,42.08481555145473,149.84646110864662,5426.34,3540.12,5447.48,3503.73,asphalt,,,
-107234427#5,473436660,5912741315,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107234427.0,0,residential,31.51175653625179,148.68076098975166,5409.96,3567.04,5426.34,3540.12,asphalt,,,
-107234439#0,1232870152,473436654,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107234439.0,0,residential,223.30958432886487,290.77589500973863,6112.22,3747.23,5903.46,3826.43,,,,
-107234439#1,1232870072,1232870152,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107234439.0,0,residential,61.64231273293977,297.38861608446655,6166.92,3718.89,6112.22,3747.23,,,,
-107234439#2,5768557515,1232870072,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107234439.0,0,residential,164.29718169736563,300.18472984912273,6300.16,3641.39,6166.92,3718.89,,,,
-107234439#3,1232870126,5768557515,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107234439.0,0,residential,11.957278118367805,351.63271954667067,6301.9,3629.56,6300.16,3641.39,,,,
-107234439#4,1232869649,1232870126,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107234439.0,0,residential,14.79118656497825,356.27868673525006,6302.86,3614.8,6301.9,3629.56,,,,
-107234439#5,473436638,1232869649,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107234439.0,0,residential,27.57592950084571,357.69110477825944,6303.97,3587.27,6302.86,3614.8,,,,
-107234465#0,1650432451,1232869687,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107234465.0,0,residential,138.67692957514853,109.21235134096929,5337.47,2979.32,5434.09,2945.65,asphalt,,,
-107234465#1,473422708,1650432451,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107234465.0,0,residential,50.96007309847912,57.0419956894163,5299.22,2954.52,5337.47,2979.32,asphalt,,,
-107619765,1236534693,473409015,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107619765.0,0,residential,150.34769091408035,160.4075955901801,4284.08,2101.39,4334.16,1960.69,asphalt,,,
-107619767#0,1236534687,1236534693,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107619767.0,0,residential,69.74162268047101,251.52087556554392,4350.21,2123.49,4284.08,2101.39,,,,
-107619769#0,4153826720,473411439,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107619769.0,0,residential,64.6557213729609,93.57357049527286,4300.3,2641.46,4364.83,2637.43,,yes,,
-107619769#1,6985147710,4153826720,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107619769.0,0,residential,14.927591902246371,97.19642775294551,4285.49,2643.33,4300.3,2641.46,,yes,,
-107619770#0,1236534687,1236534666,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107619770.0,0,residential,68.46419502192397,341.27394348588695,4350.21,2123.49,4328.23,2188.33,asphalt,,,
-107619770#1,4947019522,1236534687,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107619770.0,0,residential,36.102405737014,343.35699961512637,4360.55,2088.9,4350.21,2123.49,asphalt,,,
-107619770#2,4947019530,4947019522,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107619770.0,0,residential,32.646361206112715,340.90459435543625,4371.23,2058.05,4360.55,2088.9,asphalt,,,
-107619772#0,342014763,1236534651,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107619772.0,0,residential,40.61659195294207,44.95913283181454,4130.33,2620.35,4158.35,2648.41,,,,
-107619772#1,2210243445,342014763,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107619772.0,0,residential,13.274671370696824,28.82403039146834,4123.93,2608.72,4130.33,2620.35,,,,
-107619772#2,4153826721,2210243445,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107619772.0,0,residential,238.18999504403112,17.742549378024307,4051.84,2383.41,4123.93,2608.72,,,,
-107619772#3,4153826708,4153826721,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,107619772.0,0,residential,39.893775203657675,6.5923708494730135,4047.26,2343.78,4051.84,2383.41,,,,
