sumo_id,from,to,priority,type,speed,lanes,allow,disallow,osmid,has_traffic_light,type_clean,length,bearing,start_x,start_y,end_x,end_y,surface,bridge,tunnel,lit
-102015882#0,10135224334,2854011838,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,102015882.0,0,tertiary,3.7431804658611663,347.18894935457377,2972.76,4474.69,2971.93,4478.34,asphalt,,,yes
-102015882#1,207146561,10135224334,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,102015882.0,0,tertiary,269.17967623085985,333.7226207711643,3091.85,4233.49,2972.76,4474.69,asphalt,,,yes
-102015882#2,9733115858,207146561,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,102015882.0,0,tertiary,67.48536508014188,333.71971675400385,3121.73,4172.98,3091.85,4233.49,asphalt,,,yes
-102015882#3,472320072,9733115858,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,102015882.0,0,tertiary,102.20299457452259,333.72076095640483,3166.98,4081.34,3121.73,4172.98,asphalt,,,yes
-102015882#4,5338546424,472320072,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,102015882.0,0,tertiary,144.02357341768771,332.85494739136277,3232.69,3953.18,3166.98,4081.34,asphalt,,,yes
-1062638165,168834870,242160172,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1062638165.0,0,residential,74.9873382645358,142.78779573926533,2987.77,4563.4,3033.12,4503.68,,,,
-1067896659#0,1792988815,168854344,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1067896659.0,0,residential,40.81478264545488,345.39624583741136,4400.82,4608.38,4390.88,4646.53,asphalt,,,yes
-1067896659#1,2573734586,1792988815,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1067896659.0,0,residential,6.814220424964467,356.2977871467964,4401.26,4601.58,4400.82,4608.38,asphalt,,,yes
-1067896659#2,303408316,2573734586,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1067896659.0,0,residential,42.62231714551531,355.57242300244286,4404.55,4559.09,4401.26,4601.58,asphalt,,,yes
-1079423258#0,168837595,9743519568,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,1079423258.0,0,tertiary,31.34377474226322,15.526067986917269,3570.18,4874.4,3578.57,4904.6,asphalt,,,yes
-1079423259#0,9743519568,168837592,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,1079423259.0,0,tertiary,21.898244541456094,35.9000496402154,3578.57,4904.6,3591.18,4922.02,asphalt,,,yes
-1079423260#0,168836510,168837595,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,1079423260.0,0,tertiary,49.757253409416236,17.37875721898922,3555.32,4826.92,3570.18,4874.4,asphalt,,,yes
-1079423260#1,6711008671,168836510,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,1079423260.0,0,tertiary,12.791657437564332,18.78905914429481,3551.2,4814.81,3555.32,4826.92,asphalt,,,yes
-1079423260#2,3813952568,6711008671,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,1079423260.0,0,tertiary,13.5877791289499,8.736479559934367,3549.15,4801.47,3551.2,4814.81,asphalt,,,yes
-1087941520,1792988838,7855333225,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1087941520.0,0,secondary,9.415609380172768,348.9168148968427,4598.35,4909.27,4596.54,4918.51,asphalt,,,
-1105322615#0,162596168,162596167,11,highway.secondary,100.00800000000001,1,,tram rail_urban rail rail_electric rail_fast ship,1105322615.0,0,secondary,11.170161144763524,223.2950558833719,2280.21,5811.4,2272.55,5803.27,asphalt,,,
-1105322615#1,3138673062,162596168,11,highway.secondary,100.00800000000001,1,,tram rail_urban rail rail_electric rail_fast ship,1105322615.0,0,secondary,8.402404417784687,219.10708963983546,2285.51,5817.92,2280.21,5811.4,asphalt,,,
-1105466452,5202608698,161616233,11,highway.secondary,100.00800000000001,1,,tram rail_urban rail rail_electric rail_fast ship,1105466452.0,0,secondary,19.94869669928345,200.29720075769575,2379.32,5970.1,2372.4,5951.39,asphalt,,,
-1107704947,159956171,10135218601,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,1107704947.0,0,tertiary,14.886063952569748,118.35549943057782,907.59,3987.68,920.69,3980.61,asphalt,,,yes
-1107704956,159953822,287571045,11,highway.secondary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,1107704956.0,0,secondary,91.86388747143702,296.6961498060458,1298.97,3460.57,1216.9,3501.84,asphalt,,,
-1113035639#0,3668201674,6039889828,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,1113035639.0,0,tertiary,12.167682605985542,297.9339912435114,785.87,4050.33,775.12,4056.03,asphalt,,,
-1113035639#1,6039889829,3668201674,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,1113035639.0,0,tertiary,22.16235547048191,298.0451134367352,805.43,4039.91,785.87,4050.33,asphalt,,,
-1113035639#2,159956169,6039889829,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,1113035639.0,0,tertiary,17.40155452825987,298.45016644307276,820.73,4031.62,805.43,4039.91,asphalt,,,
-1113035639#3,3668201668,159956169,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,1113035639.0,0,tertiary,11.76248273112429,295.9115154963998,831.31,4026.48,820.73,4031.62,asphalt,,,
-1113035639#4,9529323066,3668201668,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,1113035639.0,0,tertiary,18.559623545658066,295.1288137280786,848.11,4018.6,831.31,4026.48,asphalt,,,
-1113035639#5,2295326145,9529323066,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,1113035639.0,0,tertiary,38.066888499061804,296.45735247024953,882.19,4001.64,848.11,4018.6,asphalt,,,
-1126081369#0,1793006511,1793006501,10,highway.tertiary,69.98400000000001,1,,tram rail_urban rail rail_electric rail_fast ship,1126081369.0,0,tertiary,10.376246913021797,240.94003263411088,3841.35,3561.63,3832.28,3556.59,asphalt,,,
-1126081369#1,10297202737,1793006511,10,highway.tertiary,69.98400000000001,1,,tram rail_urban rail rail_electric rail_fast ship,1126081369.0,0,tertiary,162.67547221892136,240.19788934612774,3982.51,3642.48,3841.35,3561.63,asphalt,,,
-1160173926,1719803047,168836484,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1160173926.0,0,residential,83.70825289572025,149.90521997624035,3103.27,4673.19,3145.23,4600.79,asphalt,,,
-1173410294#0,161496374,161496380,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,1173410294.0,0,residential,41.26717945292624,36.436709486300515,1131.46,3233.89,1155.97,3267.09,asphalt,,,
-1173410294#1,8818793141,161496374,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,1173410294.0,0,residential,29.846589419898283,35.495277807085415,1114.13,3209.59,1131.46,3233.89,asphalt,,,
-1173410294#2,161496466,8818793141,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,1173410294.0,0,residential,135.6077552632246,36.80313415287361,1032.9,3101.02,1114.13,3209.59,asphalt,,,
-11897717#0,10781078103,168816696,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,11897717.0,0,secondary,59.53127434717379,337.6869388133,4393.21,5297.08,4370.63,5352.1,asphalt,,,
-11897717#1,1446640052,10781078103,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,11897717.0,0,secondary,33.53552444796433,337.8020094148043,4405.88,5266.03,4393.21,5297.08,asphalt,,,
-11897717#2,1446640047,1446640052,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,11897717.0,0,secondary,60.5891466053351,336.5964765062545,4429.94,5210.44,4405.88,5266.03,asphalt,,,
-1201075195,168851586,168851316,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1201075195.0,0,residential,118.21776693343597,314.06069667720743,3789.34,4527.05,3704.41,4609.24,,,,
-128189026#0,7581231155,159953828,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,128189026.0,0,secondary,14.594194051060018,148.24846772752517,820.23,3901.31,827.91,3888.9,asphalt,,,yes
-128189026#1,162765762,7581231155,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,128189026.0,0,secondary,93.5834355000928,147.07238205606967,769.36,3979.86,820.23,3901.31,asphalt,,,yes
-128189026#2,6039889832,162765762,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,128189026.0,0,secondary,11.21688905178262,149.75459327582257,763.71,3989.55,769.36,3979.86,asphalt,,,yes
-128189026#3,6039889825,6039889832,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,128189026.0,0,secondary,39.05805166671778,148.63371541407946,743.38,4022.9,763.71,3989.55,asphalt,,,yes
-128189026#4,48001958,6039889825,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,128189026.0,0,secondary,56.78596612491493,145.67140979751832,711.38,4069.76,743.38,4022.9,asphalt,,,yes
-128189027#0,7831925873,3668201656,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,128189027.0,0,tertiary,12.885592729867088,301.64245823124384,769.6,4058.74,758.63,4065.5,asphalt,,,
-128189027#1,6039889828,7831925873,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,128189027.0,0,tertiary,6.149349559099526,296.148361945281,775.12,4056.03,769.6,4058.74,asphalt,,,
-130456183#0,7556413013,207146581,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,130456183.0,0,residential,59.702370137206465,349.8608197528947,3397.4,3628.83,3386.89,3687.6,asphalt,,,
-130456183#1,7556413009,7556413013,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,130456183.0,0,residential,42.70532519487467,349.7215537963889,3405.02,3586.81,3397.4,3628.83,asphalt,,,
-130456183#2,11136690264,7556413009,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,130456183.0,0,residential,7.720239633586668,350.30586052822974,3406.32,3579.2,3405.02,3586.81,asphalt,,,
-130456183#3,7556413004,11136690264,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,130456183.0,0,residential,44.75357527617167,350.8975870356168,3413.4,3535.01,3406.32,3579.2,asphalt,,,
-130456183#4,1436917730,7556413004,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,130456183.0,0,residential,26.972106125992152,350.09415599165567,3418.04,3508.44,3413.4,3535.01,asphalt,,,
-130456965,207146581,207146574,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,130456965.0,0,residential,131.9640739421003,270.8626741719909,3386.89,3687.6,3259.38,3689.52,asphalt,,,
-131117191,1443536562,1443536565,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,131117191.0,0,residential,89.2920601239691,316.9182368592239,3737.11,4472.56,3676.22,4537.67,,,,
-131117192,168851586,1443536562,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,131117192.0,0,residential,75.48675788856745,223.7868336765409,3789.34,4527.05,3737.11,4472.56,,,,
-131117193#0,7850660582,1443536562,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,131117193.0,0,residential,42.470668702058816,43.82657859269898,3707.7,4441.92,3737.11,4472.56,,,,
-131117193#1,1443569324,7850660582,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,131117193.0,0,residential,10.09920234061801,29.357753542789794,3702.93,4433.44,3707.7,4441.92,,,,
-131117193#2,1443536562,1443569324,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,131117193.0,0,residential,144.62192336172407,221.14442303286918,3737.11,4472.56,3702.93,4433.44,,,,
-131117194,1443569284,910372790,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,131117194.0,0,residential,14.102357958866095,327.2452446827567,3612.67,4202.89,3605.04,4214.75,asphalt,,,
-131447917#0,7611824782,168815290,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,131447917.0,0,secondary,168.77514837678888,233.45239158842935,4792.09,5960.34,4658.41,5861.25,asphalt,,,
-131447917#1,1446640229,7611824782,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,131447917.0,0,secondary,96.14272074342134,236.0478676625484,4871.06,6013.51,4792.09,5960.34,asphalt,,,
-131447930#0,10209050224,1446640044,10,highway.tertiary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,131447930.0,0,tertiary,41.55122621536002,194.0964421401043,3852.53,5194.28,3842.41,5153.98,asphalt,,,
