sumo_id,from,to,priority,type,speed,lanes,allow,disallow,osmid,has_traffic_light,type_clean,length,bearing,start_x,start_y,end_x,end_y,surface,bridge,tunnel,lit
-1007133850#0,9291337554,9291337558,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1007133850.0,0,residential,50.32877100524007,229.03012623215503,4134.45,3094.08,4097.53,3062.02,,,,
-1007133850#1,9291337555,9291337554,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1007133850.0,0,residential,51.67626320051444,238.83848900729137,4178.67,3120.82,4134.45,3094.08,,,,
-1011280619#0,196249032,11635179715,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1011280619.0,0,residential,30.619001629525336,322.52728702742405,4545.2,3177.32,4526.58,3201.61,,,,
-1011280619#1,196195585,196249032,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1011280619.0,0,residential,15.141069975401319,325.1133825882557,4553.86,3164.9,4545.2,3177.32,,,,
-1011280620,8968723963,195449380,3,highway.residential,29.988,2,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1011280620.0,0,residential,31.432465788396158,144.41358149674465,4570.54,3140.78,4588.83,3115.22,,,,
-1011280621#0,345242741,196248187,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1011280621.0,0,residential,10.091461737528439,325.333573355061,4567.42,3144.91,4561.68,3153.21,,,,
-1011280621#1,8968723963,345242741,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1011280621.0,0,residential,5.176031298204877,322.93085199214073,4570.54,3140.78,4567.42,3144.91,,,,
-1015402481,3465448355,4241276202,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1015402481.0,0,residential,108.68909060758476,282.5631456840723,3082.43,5026.24,2976.44,5049.86,asphalt,,,
-1021621426#0,197947277,197953837,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1021621426.0,0,residential,51.49294465083234,120.71377486712117,5570.56,2548.35,5614.83,2522.05,,,,
-1021621426#1,3126825257,197947277,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1021621426.0,0,residential,10.273150358056833,124.01587267117156,5562.07,2554.08,5570.56,2548.35,,,,
