sumo_id,from,to,priority,type,speed,lanes,allow,disallow,osmid,has_traffic_light,type_clean,length,bearing,start_x,start_y,end_x,end_y,surface,bridge,tunnel,lit
-101189389#0,2074632438,1168300720,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,101189389.0,0,residential,270.5150175580744,18.185496275893627,8516.16,5489.89,8600.26,5745.9,,,,
-101189389#1,1168300754,2074632438,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,101189389.0,0,residential,165.49428143731333,345.70761734062484,8557.01,5329.54,8516.16,5489.89,,,,
-101191518#0,1168307346,1168307397,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,101191518.0,0,residential,100.3110876253589,266.938019664852,8652.47,5325.25,8552.83,5319.92,,,,
-101191518#1,1168307354,1168307346,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,101191518.0,0,residential,312.5497595666799,201.6855678361285,8745.8,5559.95,8652.47,5325.25,,,,
-101191522#0,8696291562,2074632438,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,101191522.0,0,unclassified,270.4969699062922,350.2819046472027,8544.88,5322.19,8516.16,5489.89,,,,
-101191522#1,1168307397,8696291562,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,101191522.0,0,unclassified,8.267732458177964,285.93587674840364,8552.83,5319.92,8544.88,5322.19,,,,
-101191524,1168307346,1168307384,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,101191524.0,0,residential,83.38008455260731,358.742389184136,8652.47,5325.25,8650.64,5408.61,,,,
-101191527#0,1168307354,905945093,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,101191527.0,0,residential,57.801276855549936,303.5085609118879,8745.8,5559.95,8697.62,5591.85,,,,
-101191527#1,1168307334,1168307354,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,101191527.0,0,residential,85.63342374306067,316.69793737334163,8803.74,5498.47,8745.8,5559.95,,,,
-101789023#0,1175185448,884526225,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,101789023.0,0,unclassified,1136.0297425582783,59.97076598381801,11274.32,5149.5,12251.05,5714.08,,yes,,
-101789023#1,11478387760,1175185448,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,101789023.0,0,unclassified,49.68315732438997,24.75401260888549,11253.7,5104.78,11274.32,5149.5,,yes,,
