sumo_id,from,to,priority,type,speed,lanes,allow,disallow,osmid,has_traffic_light,type_clean,length,bearing,start_x,start_y,end_x,end_y,surface,bridge,tunnel,lit
-1005516397,619156150,619156096,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1005516397.0,0,unclassified,233.27232524797313,293.9584525148833,5311.1,8019.69,5100.37,8113.33,,,,
-1005516406#0,2214912643,3729524626,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1005516406.0,0,residential,84.67775712276142,268.0735543004263,5439.74,7939.41,5355.9,7936.59,asphalt,,,
-1026653331#0,4920616351,456815973,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1026653331.0,0,tertiary,3.675350323439027,60.8545464323667,6584.66,8324.05,6587.87,8325.84,asphalt,,,yes
-1026653331#1,11862798888,4920616351,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1026653331.0,0,tertiary,38.87118470023668,61.96479637056518,6550.35,8305.78,6584.66,8324.05,asphalt,,,yes
-1026653331#2,538418804,11862798888,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1026653331.0,0,tertiary,7.27000687757665,61.848701862802955,6543.94,8302.35,6550.35,8305.78,asphalt,,,yes
-1026653332,442019079,9465660038,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1026653332.0,0,residential,42.33113511353073,306.4503045883074,6948.56,8769.01,6914.51,8794.16,asphalt,,,yes
-1026653333,9465660039,457351456,10,highway.tertiary,39.996,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1026653333.0,0,tertiary,27.69088960594471,116.5743103527414,7808.8,8628.22,7833.55,8615.84,asphalt,,,yes
-1026653334#0,456815938,456815934,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1026653334.0,0,tertiary,53.284834615489245,24.621935630386872,7261.93,8620.08,7284.13,8668.52,asphalt,,,yes
-1026653334#1,2927179856,456815938,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1026653334.0,0,tertiary,10.864342437222728,39.43413972396888,7255.03,8611.69,7261.93,8620.08,asphalt,,,yes
-1026653334#2,456976452,2927179856,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1026653334.0,0,tertiary,243.92171851145963,70.99434355489711,7029.3,8533.94,7255.03,8611.69,asphalt,,,yes
-1026653334#3,9465660040,456976452,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1026653334.0,0,tertiary,72.65229910329468,75.493358402475,6959.23,8515.81,7029.3,8533.94,asphalt,,,yes
-1026653335#0,457351766,457351746,10,highway.tertiary,39.996,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1026653335.0,0,tertiary,48.67331483820623,268.2282802118302,7098.85,8887.78,7051.65,8886.32,asphalt,,,yes
-1026653335#1,457351767,457351766,10,highway.tertiary,39.996,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1026653335.0,0,tertiary,85.28680581705204,254.49675221567253,7181.01,8910.57,7098.85,8887.78,asphalt,,,yes
-1047497681,9632091334,522062060,4,highway.unclassified,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1047497681.0,0,unclassified,61.6405797711722,344.1746914006409,7132.76,3325.64,7115.96,3384.91,,,,
-1047497682#0,428232550,2178448022,3,highway.residential,79.992,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1047497682.0,0,residential,8.795345359904987,250.6792107567129,5621.18,3181.35,5612.88,3178.44,asphalt,,,
-1047497682#1,9632091335,428232550,3,highway.residential,79.992,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1047497682.0,0,residential,12.038852215648285,251.39950039674693,5632.59,3185.19,5621.18,3181.35,asphalt,,,
-1047614060,9633200558,2518564031,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1047614060.0,0,residential,175.29762431122222,26.097221578056462,3141.41,2724.92,3218.51,2882.32,asphalt,,,
-1075608214,9864637722,9864637723,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1075608214.0,0,residential,51.27141991402235,61.08541410320231,3978.98,2753.27,4023.86,2778.06,,,,
-1075608216#0,1569347297,1569347301,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1075608216.0,0,residential,16.86473413974346,69.98495279751262,3570.35,3404.69,3586.19,3410.46,asphalt,,,
