sumo_id,from,to,priority,type,speed,lanes,allow,disallow,osmid,has_traffic_light,type_clean,length,bearing,start_x,start_y,end_x,end_y,surface,bridge,tunnel,lit
-1002414128,1277280880,1277280708,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1002414128.0,0,unclassified,91.28942824829343,353.8783556995154,7218.2,5766.87,7208.66,5855.82,,,,
-1014451012#0,9724602596,9359279619,3,highway.residential,10.008,1,,tram rail_urban rail rail_electric rail_fast ship,1014451012.0,0,residential,8.18826599470215,53.59192936346318,5808.56,4236.48,5815.15,4241.34,asphalt,,,
-1014451012#1,9359279622,9724602596,3,highway.residential,10.008,1,,tram rail_urban rail rail_electric rail_fast ship,1014451012.0,0,residential,105.57386039314443,82.02243081136567,5728.07,4225.2,5808.56,4236.48,asphalt,,,
-1018473429#0,12301926938,9393882267,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1018473429.0,0,residential,7.020060332739554,180.0,8274.87,5213.08,8274.87,5206.06,,,,
-1018473429#1,12299215079,12301926938,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1018473429.0,0,residential,2.899999999999636,180.0,8274.87,5215.98,8274.87,5213.08,,,,
-1018473429#2,12430929853,12299215079,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1018473429.0,0,residential,97.59068593639057,184.87462398188376,8283.14,5312.95,8274.87,5215.98,,,,
-1018473429#3,9393882265,12430929853,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1018473429.0,0,residential,13.361674677711235,162.62493008295803,8279.26,5325.35,8283.14,5312.95,,,,
-1019237461#0,10109110005,316523248,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1019237461.0,0,residential,26.34387276975399,346.1191890418805,6192.16,1605.95,6185.94,1631.12,,,,
-1019237461#1,450581818,10109110005,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1019237461.0,0,residential,17.36314775609571,340.13530214383024,6198.06,1589.62,6192.16,1605.95,,,,
-1019237461#2,451000772,450581818,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1019237461.0,0,residential,33.37125110031076,343.63952709312997,6207.46,1557.6,6198.06,1589.62,,,,
-1019237461#3,409876092,451000772,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1019237461.0,0,residential,194.68446368851653,326.80588452653456,6313.59,1395.38,6207.46,1557.6,,,,
-1019237462,451000772,451000763,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1019237462.0,0,residential,217.7444784888085,209.5817418365457,6207.46,1557.6,6100.15,1368.56,,,,
-1019237469,409876105,409876101,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1019237469.0,0,residential,92.24347379562123,302.60435702099466,6581.59,1090.76,6504.03,1140.37,,,,
-1019237470,9400856203,9400856204,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1019237470.0,0,residential,28.889998269297397,358.4925642412246,6617.38,1785.28,6616.62,1814.16,,,,
-1019237472,9400856221,9400856223,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1019237472.0,0,residential,67.7729562765041,9.936268018836529,7116.12,1521.49,7127.78,1588.05,,,,
-1019237476,1962940974,1962941127,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1019237476.0,0,residential,31.382975737521082,328.3561260839664,8250.75,1104.51,8235.59,1129.11,,,,
-1019237481,9400856380,9400856381,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1019237481.0,0,unclassified,71.2523810128478,261.50144112050634,7196.22,676.48,7125.75,665.95,,,,
-1019237484,9400856392,9400856393,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1019237484.0,0,residential,30.818093711324874,143.27139868797383,8436.18,1360.83,8454.61,1336.13,,,,
-1019443758,9402538789,1747011494,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1019443758.0,0,residential,54.357014926623464,224.36315670212343,3877.86,2014.74,3840.05,1976.08,,,,
-1019443766,9402538834,9402538841,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1019443766.0,0,residential,78.36914470619237,275.76470746228483,3407.51,2335.49,3337.28,2342.58,,,,
-1019443767,9402538842,534924626,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1019443767.0,0,residential,12.105540054041144,221.61781709521125,3422.49,2415.97,3414.45,2406.92,,,,
-1019443772,9402538866,9402538858,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1019443772.0,0,residential,40.50614891593608,218.27321782936107,3631.05,2716.39,3605.96,2684.59,,,,
-1019443773,9402538867,9402538859,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1019443773.0,0,residential,40.08424253993099,220.21369550084475,3599.67,2742.77,3573.79,2712.16,,,,
-1019443775#0,9402538866,9402538868,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1019443775.0,0,residential,49.44555389516794,129.99547820607768,3631.05,2716.39,3668.93,2684.61,,,,
-1019443775#1,9402538867,9402538866,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1019443775.0,0,residential,40.99522899070101,130.05251870337008,3599.67,2742.77,3631.05,2716.39,,,,
-1019443779,6585253200,6585253201,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,1019443779.0,0,unclassified,47.22239405197451,199.76645503749853,3434.29,2586.47,3418.32,2542.03,,,,
