sumo_id,from,to,priority,type,speed,lanes,allow,disallow,osmid,has_traffic_light,type_clean,length,bearing,start_x,start_y,end_x,end_y,surface,bridge,tunnel,lit
-1000499898#0,9235261207,9235261209,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1000499898.0,0,residential,6.816311319181258,62.57031437872456,4034.95,7334.89,4041.0,7338.03,,,,yes
-1000499898#1,9873201653,9235261207,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1000499898.0,0,residential,23.198793072054077,61.3580028226948,4014.59,7323.77,4034.95,7334.89,,,,yes
-1000499898#2,9873174777,9873201653,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1000499898.0,0,residential,37.61607812462812,60.906930448444825,3981.72,7305.48,4014.59,7323.77,,,,yes
-1000499898#3,9873272299,9873174777,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1000499898.0,0,residential,71.51666636196593,60.17263732359174,3919.68,7269.91,3981.72,7305.48,,,,yes
-1000499898#4,9873272296,9873272299,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1000499898.0,0,residential,10.510742124131555,60.41062964155583,3910.54,7264.72,3919.68,7269.91,,,,yes
-1000499898#5,9873174769,9873272296,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1000499898.0,0,residential,20.84126330926813,63.70725335063531,3891.98,7255.55,3910.54,7264.72,,,,yes
-1000499898#6,9873174771,9873174769,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1000499898.0,0,residential,2.0327321515635317,76.92087621993232,3890.0,7255.09,3891.98,7255.55,,,,yes
-1002806971,9254649657,9254649649,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1002806971.0,0,residential,108.51012691665824,124.4805349948656,4452.02,7003.46,4530.24,6949.74,,,,
-1006837146#0,168807528,248736699,12,highway.primary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1006837146.0,0,primary,32.93093530405741,286.09596008714414,3056.01,3658.07,3024.37,3667.2,asphalt,,,
-1006837146#1,2161230134,168807528,12,highway.primary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1006837146.0,0,primary,1058.9742931196274,299.02401507010603,3981.87,3144.35,3056.01,3658.07,asphalt,,,
