sumo_id,from,to,priority,type,speed,lanes,allow,disallow,osmid,has_traffic_light,type_clean,length,bearing,start_x,start_y,end_x,end_y,surface,bridge,tunnel,lit
-100100940,8364857961,1027206281,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,100100940.0,0,residential,25.03781066881736,285.5580718736793,5737.12,3638.95,5713.63,3645.49,,,,
-100100951#0,1157123407,1157123425,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,100100951.0,0,residential,46.93700565651758,44.059111259007125,6098.51,3452.42,6131.15,3486.15,,,,
-100100951#1,1157123431,1157123407,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,100100951.0,0,residential,67.28318214829014,44.06061165618513,6051.72,3404.07,6098.51,3452.42,,,,
-100100951#2,1157123450,1157123431,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,100100951.0,0,residential,73.49335548197594,42.67854384414767,6001.9,3350.04,6051.72,3404.07,,,,
-100100951#3,1157123415,1157123450,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,100100951.0,0,residential,2.794584047760828,46.8850034925444,5999.86,3348.13,6001.9,3350.04,,,,
-100100951#4,1157123432,1157123415,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,100100951.0,0,residential,68.66115677721558,45.42545588925651,5951.02,3300.01,5999.86,3348.13,,,,
-100100952#0,7389666311,1157123442,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,100100952.0,0,residential,13.16556113502219,245.4984181034754,6072.67,3563.72,6060.69,3558.26,asphalt,,,
-100100952#1,7728712744,7389666311,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,100100952.0,0,residential,119.69487075418103,245.38767668396218,6181.49,3613.57,6072.67,3563.72,asphalt,,,
-100100952#2,5696677721,7728712744,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,100100952.0,0,residential,12.468849185068914,241.81128363830717,6192.48,3619.46,6181.49,3613.57,asphalt,,,
-100100952#3,1157134768,5696677721,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,100100952.0,0,residential,39.72237775966652,246.99057945670222,6228.72,3634.85,6192.48,3619.46,asphalt,,,
