sumo_id,from,to,priority,type,speed,lanes_x,allow,disallow,shape,osmid,has_traffic_light,highway,maxspeed,lanes_y,length
-1024000539#0,1687124785,430921309,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4179.57, 3281.41), (4316.92, 3255.99), (4322.33, 3256.16), (4327.82, 3257.16), (4332.21, 3259.14), (4336.13, 3262.16), (4351.7, 3281.2)]",-1024000539.0,0,,,,185.03542831931532
-1024000539#1,3340881357,1687124785,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,-1024000539.0,0,,,,
-1024000539#2,430920519,3340881357,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4044.43, 3310.28), (4049.95, 3309.25), (4075.27, 3302.09)]",-1024000539.0,0,,,,31.928160390181297
-1024000539#3,3340881368,430920519,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(3998.08, 3319.36), (4038.48, 3311.07), (4044.43, 3310.28)]",-1024000539.0,0,,,,47.24399240726884
-1024000548,423413664,423413660,4,highway.unclassified,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(3238.17, 4078.86), (3217.91, 4068.83), (3199.5, 4059.9), (3063.36, 4002.73), (3058.71, 3997.7)]",1024000548.0,0,unclassified,,,197.57511552867123
-1057740876,9719107989,9719107999,4,highway.unclassified,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(3119.06, 1863.39), (3079.12, 1813.61), (3067.38, 1803.1), (3043.23, 1790.47), (3000.52, 1766.05), (2986.35, 1754.99), (2975.02, 1742.41), (2964.11, 1721.79), (2951.79, 1694.96), (2943.6, 1673.76)]",1057740876.0,0,service,,,266.5149039534316
-1057740877#0,10152611762,9719108001,4,highway.unclassified,8.33,1,,tram rail_urban rail rail_electric rail_fast ship,,-1057740877.0,0,,,,
-1057740877#1,10152611763,10152611762,4,highway.unclassified,8.33,1,,tram rail_urban rail rail_electric rail_fast ship,,-1057740877.0,0,,,,
-1057740877#2,10092616463,10152611763,4,highway.unclassified,8.33,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4633.7, 1609.14), (4638.97, 1609.15), (4642.37, 1609.16)]",-1057740877.0,0,,,,8.670024193508116
-1057740879,9719108001,9719108002,4,highway.unclassified,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,1057740879.0,0,unclassified,30,,
