origins,destinations,path,free_flow_time
-144875560#0,-25329978#4,"-144875560#0,144875502#3,144875502#4,49247553#0,49247553#1,49247553#2,49247553#3,-519902513#3,-519902513#2,-519902513#1,-519902513#0,-1307929469,-1307929468,-1008296838#2,-1008296838#1,-1008296838#0,-1209786786#1,-1209786786#0,-1209786785#0,-560395151#5,-560395151#4,-560395151#3,-560395151#2,-560395151#0,164272030#0,164272030#1,164272030#2,164272030#4,144877432#0,144877432#1,144877437#1,663858315#1,-144912012#2,-144912012#1,-144912012#0,-1207486475#2,-1207486475#1,-1207486475#0,-164272030#7,-164272030#6,-164272030#5,25330399#0,25329887#0,47358710#0,47358710#1,47358710#2,47358647#4,47358647#5,47358647#6,47358647#7,47358647#8,47358684#1,1034989095#0,1034989095#1,1034989095#2,1034989096,26116053#0,26116053#1,26116053#2,551289861#0,551289861#1,-25329978#6,-25329978#5,-25329978#4",3.10097213831537
-144875560#0,-25329978#4,"-144875560#0,144875502#3,144875502#4,49247553#0,49247553#1,49247553#2,49247553#3,-25347116#6,1307929464#0,1307929464#1,1307929464#2,1307929464#3,1307929465#0,-1207486477#0,-1307929468,-1008296838#2,-1008296838#1,-1008296838#0,-1209786786#1,-1209786786#0,-1209786785#0,-27510758#10,-27510758#9,144875556#9,144875556#10,144875556#11,144875556#12,144875556#13,144875556#14,144875556#15,144875556#16,286595890#3,286595890#4,-560395151#2,-560395151#0,164272030#0,164272030#1,164272030#2,49247566,584171505,144877437#0,-144877432#1,-144877432#0,164272030#5,164272030#6,164272030#7,1207486474#0,1207486474#1,1207486474#2,1207486474#3,1207486474#4,25329950#3,25330010#0,147140077#0,147140077#1,-25330010#1,-147140087#1,147139956,-147140091#0,-147140074,147140091#2,25330986#4,25330986#5,25330986#6,25330986#7,25330031#0,25330031#1,25330031#2,25330031#3,25330031#4,25329950#1,-25330006#6,-25330006#5,-25330006#4,-25330006#3,-25330006#2,-25330006#1,-25330006#0,1207476767#0,1207476767#1,1207476767#2,1207476767#3,25266843#0,25266843#1,25266843#2,147140059#0,147140059#1,147140059#2,1207749950#1,1207749950#2,147139977#1,1207476766#0,1207476766#1,1207476766#2,-25266408#3,-25266408#2,-25266408#1,-25266408#0,25329978#0,25329978#1,-47358695#1,-47358695#0,1034989096,26116053#0,26116053#1,26116053#2,26116053#3,26116053#4,26116053#5,663858315#0,663858315#1,-144912012#2,-144912012#1,-144912012#0,-1207486475#2,-1207486475#1,-1207486475#0,-25329978#9,-25329978#8,-25329978#7,-25329978#6,-25329978#5,-25329978#4",5.142988564722645
-144875560#0,-25329978#4,"-144875560#0,144875502#3,144875502#4,49247553#0,49247553#1,49247553#2,49247553#3,-519902513#3,-519902513#2,-519902513#1,-519902513#0,-1307929469,-1307929468,-1008296838#2,-1008296838#1,-1008296838#0,-1209786786#1,-1209786786#0,-1209786785#0,-560395151#5,-560395151#4,-560395151#3,-560395151#2,-560395151#0,164272030#0,164272030#1,164272030#2,164272030#4,164272030#5,164272030#6,164272030#7,-25329978#9,-25329978#8,-25329978#7,-25329978#6,-25329978#5,-25329978#4",1.8765538756899445
-144875560#0,-25329978#4,"-144875560#0,144875502#3,144875502#4,49247553#0,49247553#1,49247553#2,49247553#3,-25347116#6,1307929464#0,1307929464#1,1307929464#2,1307929464#3,1307929465#0,1307929465#1,144875556#0,144875556#1,144875556#2,144875556#3,144875556#4,144875556#5,144875556#6,144875556#7,144875556#8,-27510758#8,-27510758#7,-27510758#6,-27510758#5,-27510758#4,-27510758#3,-27510758#2,-27510758#1,-27510758#0,25329923#3,25329923#4,25329923#5,25329923#6,-1207486475#7,-1207486475#6,-1207486475#5,-1207486475#4,-1207486475#3,-1207486475#2,-1207486475#1,-1207486475#0,-25329978#9,-25329978#8,-25329978#7,-25329978#6,-25329978#5,-25329978#4",1.8190849214511087
-144875560#0,-25329978#4,"-144875560#0,144875502#3,144875502#4,49247553#0,49247553#1,49247553#2,49247553#3,-519902513#3,-519902513#2,-519902513#1,-519902513#0,-1307929469,-1307929468,-1008296838#2,-1008296838#1,-1008296838#0,-1209786786#1,-1209786786#0,-1209786785#0,-560395151#5,-560395151#4,-560395151#3,-560395151#2,-560395151#0,164272030#0,164272030#1,164272030#2,164272030#4,164272030#5,164272030#6,164272030#7,-25329978#9,-25329978#8,-25329978#7,-551289861#1,-551289861#0,26116053#3,26116053#4,26116053#5,663858315#0,663858315#1,144877436#0,144877436#1,584171504#9,144877437#0,-144877432#1,-144877432#0,25330399#0,25330399#1,25330399#2,147139905#0,147139905#1,1034989095#2,47358695#0,47358695#1,25329978#2,25329978#3,25329978#4",3.021087671929823
-144875560#0,-25329978#4,"-144875560#0,144875502#3,144875502#4,49247553#0,49247553#1,49247553#2,49247553#3,-25347116#6,1307929464#0,1307929464#1,1307929464#2,1307929464#3,1307929465#0,1307929465#1,144875556#0,144875556#1,144875556#2,144875556#3,144875556#4,144875556#5,144875556#6,144875556#7,144875556#8,144875556#9,144875556#10,144875556#11,144875556#12,144875556#13,144875556#14,144875556#15,144875556#16,286595890#3,286595890#4,560395151#3,144878273#0,144878273#1,144878273#2,144878273#3,144878273#4,584171504#8,584171504#9,-584171505,286595890#0,286595890#1,286595890#2,144875556#17,144875556#18,144875556#19,164272030#1,164272030#2,164272030#4,164272030#5,164272030#6,164272030#7,-25329978#9,-25329978#8,-25329978#7,-25329978#6,-25329978#5,-25329978#4",2.070566354691625
-144875560#0,-25329978#4,"-144875560#0,144875502#3,144875502#4,49247553#0,49247553#1,49247553#2,49247553#3,-519902513#3,-519902513#2,-519902513#1,-519902513#0,-1307929469,-1307929468,-1008296838#2,-1008296838#1,-1008296838#0,-1209786786#1,-1209786786#0,-1209786785#0,-560395151#5,-560395151#4,-560395151#3,-560395151#2,-560395151#0,-296087333#5,-296087333#4,-296087333#2,-296087333#0,-710871898#5,-710871898#4,-710871898#3,-710871898#1,-710871898#0,-286595747#2,-286595747#1,-286595747#0,286595748#0,286595748#1,1209786782#1,25264701#0,25264701#1,286595757#0,286595757#1,47358684#0,47358684#1,1034989095#0,1034989095#1,1034989095#2,1034989096,26116053#0,26116053#1,26116053#2,551289861#0,551289861#1,-25329978#6,-25329978#5,-25329978#4",2.3642761496247178
-144875560#0,-25329978#4,"-144875560#0,144875502#3,144875502#4,49247553#0,49247553#1,49247553#2,49247553#3,-519902513#3,-519902513#2,-519902513#1,-519902513#0,-1307929469,-1307929468,-1008296838#2,-1008296838#1,-1008296838#0,-1209786786#1,-1209786786#0,-1209786785#0,-560395151#5,-560395151#4,-560395151#3,-560395151#2,-560395151#0,164272030#0,164272030#1,164272030#2,164272030#4,164272030#5,26116053#5,663858315#0,663858315#1,-144912012#2,-144912012#1,-144912012#0,-1207486475#2,-1207486475#1,144911975#0,144911975#1,663858316,-144877432#0,25330399#0,25329887#0,25329887#1,25329887#3,25329887#4,-710871898#5,-710871898#4,-710871898#3,-710871898#1,-710871898#0,-286595747#2,-286595747#1,49247532#0,49247532#1,49247532#2,49247532#3,297704256#1,297704256#2,297704256#3,297704256#4,47358647#0,47358647#1,47358647#2,47358647#3,47358647#4,47358647#5,47358647#6,47358647#7,47358647#8,47358684#1,1034989095#0,1034989095#1,1034989095#2,47358695#0,47358695#1,25329978#2,25329978#3,25329978#4",3.309647444290892
-144875560#0,-25329978#4,"-144875560#0,144875502#3,144875502#4,49247553#0,49247553#1,49247553#2,49247553#3,-519902513#3,-519902513#2,-519902513#1,-519902513#0,-1307929469,-1307929468,-1008296838#2,-1008296838#1,-1008296838#0,-1209786786#1,-1209786786#0,-1209786785#0,-560395151#5,-560395151#4,-560395151#3,-560395151#2,-560395151#0,164272030#0,164272030#1,164272030#2,164272030#4,164272030#5,26116053#5,663858316,-144877432#0,25330399#0,25330399#1,25330399#2,147139905#0,147139905#1,1034989095#2,1034989096,26116053#0,26116053#1,26116053#2,551289861#0,551289861#1,-25329978#6,-25329978#5,-25329978#4",2.6825227571230084
-144875560#0,-25329978#4,"-144875560#0,144875502#3,144875502#4,49247553#0,49247553#1,49247553#2,49247553#3,-25347116#6,1307929464#0,1307929464#1,1307929464#2,1307929464#3,1307929465#0,-1207486477#0,-1307929468,-1008296838#2,-1008296838#1,-1008296838#0,-1209786786#1,-1209786786#0,-1209786785#0,-27510758#10,-27510758#9,144875556#9,144875556#10,144875556#11,144875556#12,144878273#2,144878273#3,144878273#4,584171504#8,584171504#9,144877437#0,144877437#1,663858315#1,-144912012#2,-144912012#1,-144912012#0,-1207486475#2,-1207486475#1,144911975#0,144911975#1,663858316,-144877432#0,25330399#0,25329887#0,47358710#0,47358710#1,47358710#2,47358647#4,47358647#5,47358647#6,47358647#7,47358647#8,47358684#1,1034989095#0,1034989095#1,1034989095#2,47358695#0,47358695#1,25329978#2,47358697#0,47358697#1,26116053#0,26116053#1,26116053#2,26116053#3,26116053#4,164272030#6,164272030#7,-25329978#9,-25329978#8,-25329978#7,-25329978#6,-25329978#5,-25329978#4",3.1434487401872206
