origins,destinations,path,free_flow_time
-152046947#5,-321441903,"-152046947#5,-152046947#4,-152046947#3,-152046947#2,-152046947#1,-152046947#0,152046835,152046800#5,152046800#6,152046800#7,152046800#8,152046800#9,-165625900#1,-609885417#1,-609885417#0,609885416,-198122484#14,-799286665#2,-799286665#1,165625902,799286664#0,799286664#1,-135588176#4,-135588176#3,-135588176#2,-135588176#1,-135588176#0,-618249904#2,-618249904#1,-618249904#0,-618249919#1,-618249919#0,1177888143,609888741,109790567#2,109790567#3,109790567#4,109790567#5,109790567#6,134461617#4,-414212519,-107619772#3,-107619772#2,-107619772#1,-107619772#0,-746415891#2,-746415891#1,-746415891#0,-414212513,-107619769#1,-107619769#0,-39517524#6,-39517524#5,-39517524#4,1101067733,-39517931#4,321441904#0,321441903,-321441903",4.2956315724957825
-152046947#5,-321441903,"-152046947#5,-152046947#4,-152046947#3,-152046947#2,-152046947#1,-152046947#0,152046835,152046800#5,152046800#6,152046800#7,152046800#8,152046800#9,-165625900#1,-609885417#1,-609885417#0,609885416,-198122484#14,-799286665#2,-799286665#1,165625902,799286664#0,799286664#1,-135588176#4,-135588176#3,-135588176#2,-135588176#1,-135588176#0,-618249904#2,-618249904#1,-618249904#0,-618249919#1,-618249919#0,1177888143,609888741,109790567#2,109790567#3,109790567#4,109790567#5,109790567#6,134461617#4,-414212519,-107619772#3,-107619772#2,-107619772#1,-107619772#0,-746415891#2,-746415891#1,-746415891#0,-414212513,-107619769#1,-107619769#0,-39517524#6,-39517524#5,-39517524#4,1101067733,-39517931#4,-39517931#3,39517934#0,-321441903",4.296147531219084
-152046947#5,-321441903,"-152046947#5,-152046947#4,-152046947#3,-152046947#2,-152046947#1,-152046947#0,152046835,152046800#5,152046800#6,152046800#7,152046800#8,152046800#9,-165625900#1,-609885417#1,-609885417#0,609885416,-198122484#14,-799286665#2,-799286665#1,799286665#1,-799286665#1,165625902,799286664#0,799286664#1,-135588176#4,-135588176#3,-135588176#2,-135588176#1,-135588176#0,-618249904#2,-618249904#1,-618249904#0,-618249919#1,-618249919#0,1177888143,609888741,109790567#2,109790567#3,109790567#4,109790567#5,109790567#6,134461617#4,-414212519,-107619772#3,-107619772#2,-107619772#1,-107619772#0,-746415891#2,-746415891#1,-746415891#0,-414212513,-107619769#1,-107619769#0,-39517524#6,-39517524#5,-39517524#4,1101067733,-39517931#4,321441904#0,321441903,-321441903",4.412178248761682
813657610#0,152046790#1,"813657610#0,-39519020#0,-39519019#0,39517931#2,39517931#3,39517931#4,1270697571#0,1270697571#1,-39517524#1,-39517524#0,1004099256#0,1004099256#3,294503495#7,294503495#10,152047011,673556026,930904746,673556025#0,673556025#1,592052488#0,592052488#1,39517420,26388774,152046714#1,152046714#2,39125380#0,39125380#1,39125380#2,39125380#3,618140818,618140817,618140821,618140816,30635184#0,30635184#1,1087443723#0,1087443723#1,30635208#1,30635208#2,930904747#0,930904747#1,930904747#2,930904747#3,424307262,618249898,618249897,152047161#0,152047161#1,152047161#2,152047161#3,152047161#4,152047161#5,479693356#0,479693356#1,138312450#0,138312450#1,138312450#2,152046920#0,152046920#1,-504554747,-152046799,-504554748,-618371693#4,-618371693#3,-618371693#2,-618371693#1,-618371693#0,152046790#0,152046790#1",2.7544363399622895
813657610#0,152046790#1,"813657610#0,813657610#1,813657610#2,-618249937#0,-294503494#5,-294503494#4,-294503494#3,-294503494#2,-294503494#1,-294503494#0,294503493,370259803#3,370259803#4,370259803#5,370259803#6,39517422#0,39517422#1,39517422#2,299015076#0,299015076#1,299015076#2,299015076#3,107619771,-152046733,152046743#0,152046743#1,152046743#2,152047035,-782034463,-929557840,-152209328#1,152209354,-152209393#5,-152209393#4,-152209393#3,-152209393#2,-152209393#1,-152209393#0,-152046773#3,-152046773#2,-152046773#1,-152046773#0,152046782#1,618249898,618249897,152047161#0,152047161#1,152047161#2,152047161#3,152047161#4,152047161#5,479693356#0,479693356#1,138312450#0,138312450#1,138312450#2,152046920#0,152046920#1,-504554747,-152046799,-504554748,-618371693#4,-618371693#3,-618371693#2,-618371693#1,-618371693#0,152046790#0,152046790#1",4.151591359665821
813657610#0,152046790#1,"813657610#0,813657610#1,813657610#2,-618249937#0,-294503494#5,-294503494#4,-294503494#3,39517935,370259792#3,321441891,370259803#1,370259803#2,370259803#3,370259803#4,370259803#5,370259803#6,39517422#0,39517422#1,39517422#2,299015076#0,299015076#1,299015076#2,299015076#3,107619771,-152046733,152046743#0,152046743#1,152046743#2,152047035,-782034463,-929557840,-152209328#1,152209354,-152209393#5,-152209393#4,-152209393#3,-152209393#2,-152209393#1,-152209393#0,-152046773#3,-152046773#2,-152046773#1,-152046773#0,152046782#1,618249898,618249897,152047161#0,152047161#1,152047161#2,152047161#3,152047161#4,152047161#5,479693356#0,479693356#1,138312450#0,138312450#1,138312450#2,152046920#0,152046920#1,-504554747,-152046799,-504554748,-618371693#4,-618371693#3,-618371693#2,-618371693#1,-618371693#0,152046790#0,152046790#1",4.245045883303931
-172343511,-1064567692#1,"-172343511,172343512,1343987051,1343987055#0,1343987055#1,172051399#0,172051399#1,-930904745#2,-930904745#1,-930904745#0,-673556025#1,-673556025#0,-930904746,-673556026,-152047011,108808633,678586582#3,-294503495#4,-294503495#1,299015074,108808641#0,108808641#1,108808641#2,370259803#6,370259803#7,370259803#8,370259803#9,321441894,-370259792#3,-370259792#2,-370259792#1,1064567692#0,1064567692#1,-1064567692#1",0.9073134149268058
-172343511,-1064567692#1,"-172343511,172343512,1343987051,1343987055#0,1343987055#1,172051399#0,172051399#1,-930904745#2,-930904745#1,-930904745#0,-673556025#1,-673556025#0,-930904746,-673556026,-152047011,-294503495#10,-294503495#9,-294503495#6,1004099255#0,1004099255#1,39517524#0,39517524#1,39517524#2,39517524#3,1101067733,-39517931#4,-39517931#3,39517934#0,39517934#1,-294503494#5,39518098,370259792#0,1064567692#0,1064567692#1,-1064567692#1",1.7619330453563713
-172343511,-1064567692#1,"-172343511,172343512,1343987051,1343987055#0,1343987055#1,172051399#0,172051399#1,-930904745#2,-930904745#1,-930904745#0,-673556025#1,-673556025#0,-930904746,-673556026,-152047011,108808633,678586582#3,294503495#5,1004099255#0,1004099255#1,39517524#0,39517524#1,39517524#2,39517524#3,1101067733,-39517931#4,-39517931#3,39517934#0,39517934#1,-294503494#5,39518098,370259792#0,1064567692#0,1064567692#1,-1064567692#1",1.8019498440124788
-107234439#2,39519007#4,"-107234439#2,107234439#2,107234439#3,107234439#4,107234439#5,-39519007#7,-39519007#6,-39519007#5,-39519007#4,39519007#4",0.8223782097432204
-107234439#2,39519007#4,"-107234439#2,107234439#2,608976687,-152209387,107234439#5,-39519007#7,-39519007#6,-39519007#5,-39519007#4,39519007#4",0.8966522678185744
-152047144#1,-107619769#0,"-152047144#1,-152047144#0,-504554746#2,-504554746#1,-504554746#0,-618249956#5,-618249956#4,-618249956#3,-618249956#2,-618249956#1,-618249956#0,152209369#0,152209369#1,618249958,618249957#0,618249957#1,151705611#1,-151705538#2,-151705538#1,-151705538#0,618249955,151705609#0,151705609#2,-223842919,-618249959#3,-618249959#1,-618249959#0,-39519003#3,-39519003#2,-39519003#1,-39519003#0,-782034462,729156156#0,729156156#1,729156156#2,782034464,782034465,39124869#0,39517936#0,39517936#1,39517936#2,618370037,618249921#0,39519000#0,-39518996,39517941#1,39517941#2,370259792#2,-39517935,-294503494#2,-294503494#1,39517933#0,39517933#1,1270697571#0,1270697571#1,39517524#2,39517524#3,39517524#4,39517524#5,39517524#6,107619769#0,-107619769#0",5.501931845452362
-152047144#1,-107619769#0,"-152047144#1,-152047144#0,-504554746#2,-504554746#1,-504554746#0,-618249956#5,-618249956#4,-618249956#3,-618249956#2,-618249956#1,-618249956#0,152209369#0,152209369#1,618249958,618249957#0,618249957#1,151705611#1,-151705538#2,-151705538#1,-151705538#0,618249955,151705609#0,151705609#2,-223842919,-618249959#3,-618249959#1,-618249959#0,-39519003#3,-39519003#2,-39519003#1,-39519003#0,-782034462,729156156#0,729156156#1,729156156#2,782034464,782034465,39124869#0,39517936#0,39517936#1,39517936#2,618370037,618249921#0,39519000#0,39519000#1,-1064567689,39517941#2,370259792#2,-39517935,-294503494#2,-294503494#1,39517933#0,39517933#1,1270697571#0,1270697571#1,39517524#2,39517524#3,39517524#4,39517524#5,39517524#6,107619769#0,-107619769#0",5.513810895128388
-152047144#1,-107619769#0,"-152047144#1,-152047144#0,-504554746#2,-504554746#1,-504554746#0,-618249956#5,-618249956#4,-618249956#3,-618249956#2,-618249956#1,-618249956#0,152209369#0,152209369#1,618249958,618249957#0,618249957#1,151705611#1,-151705538#2,-151705538#1,-151705538#0,618249955,151705609#0,151705609#2,-223842919,-618249959#3,-618249959#1,-618249959#0,-39519003#3,-39519003#2,-39519003#1,-39519003#0,-782034462,729156156#0,729156156#1,729156156#2,782034464,782034465,39124869#0,39124869#1,39124870#0,39124870#1,39124870#2,39124870#3,1004099258,-39517937#1,39517941#0,39517941#1,39517941#2,370259792#2,-39517935,-294503494#2,-294503494#1,39517933#0,39517933#1,1270697571#0,1270697571#1,39517524#2,39517524#3,39517524#4,39517524#5,39517524#6,107619769#0,-107619769#0",5.35373770098392
-168924810#1,-1064567692#0,"-168924810#1,-168924810#0,-39518102#1,-39518102#0,-108773877#1,-108773877#0,108773860#0,108773860#1,108773860#2,-107234423#2,-107234423#1,-107234423#0,370259792#0,1064567692#0,1064567692#1,-1064567692#1,-1064567692#0",1.2178605711543076
-168924810#1,-1064567692#0,"-168924810#1,-168924810#0,-39518102#1,-39518102#0,108773877#2,-108773877#2,-108773877#1,-108773877#0,108773860#0,108773860#1,108773860#2,-107234423#2,-107234423#1,-107234423#0,370259792#0,1064567692#0,1064567692#1,-1064567692#1,-1064567692#0",1.4630369570434365
-168924810#1,-1064567692#0,"-168924810#1,-168924810#0,39518103#2,-456246561#0,-108773877#2,-108773877#1,-108773877#0,108773860#0,108773860#1,108773860#2,-107234423#2,-107234423#1,-107234423#0,370259792#0,1064567692#0,1064567692#1,-1064567692#1,-1064567692#0",1.3786837053035756
-369270965,-618249956#5,"-369270965,-39519007#3,-39519007#2,-39519007#1,-39519007#0,211191203,182438121#0,182438121#1,182438121#2,182438101,1220303669,1220303668,223842964#2,223842964#3,223842964#4,223842964#5,223842964#6,1220303663,504554720#0,504554720#1,618249959#0,618249959#1,618249959#2,223842918,-211185998,-151705609#1,-618249955,151705538#0,151705538#1,151705538#2,151705538#3,-151705611#0,-618249957#0,-618249958,-152209369#1,-152209369#0,618249956#0,618249956#1,618249956#2,618249956#3,618249956#4,618249956#5,-618249956#5",3.8918114921643343
-369270965,-618249956#5,"-369270965,-39519007#3,39519008#0,39519008#1,39519008#2,39519008#3,-182438144#1,-182438144#0,182438139,740785158,182438101,1220303669,1220303668,223842964#2,1220303665,799283568#0,799283568#1,782034462,39519003#0,39519003#1,39519003#2,39519003#3,618249959#0,618249959#1,618249959#2,223842918,-211185998,-151705609#1,-618249955,151705538#0,151705538#1,151705538#2,151705538#3,-151705611#0,-618249957#0,-618249958,-152209369#1,-152209369#0,618249956#0,618249956#1,618249956#2,618249956#3,618249956#4,618249956#5,-618249956#5",4.989122870170384
-369270965,-618249956#5,"-369270965,-39519007#3,-39519007#2,-39519007#1,-39519007#0,-182438097#1,182438097#1,211191203,182438121#0,182438121#1,182438121#2,182438101,1220303669,1220303668,223842964#2,223842964#3,223842964#4,223842964#5,223842964#6,1220303663,504554720#0,504554720#1,618249959#0,618249959#1,618249959#2,223842918,-211185998,-151705609#1,-618249955,151705538#0,151705538#1,151705538#2,151705538#3,-151705611#0,-618249957#0,-618249958,-152209369#1,-152209369#0,618249956#0,618249956#1,618249956#2,618249956#3,618249956#4,618249956#5,-618249956#5",3.9200212353848767
-39517939#2,-152047123#2,"-39517939#2,-39517939#1,-39517939#0,39517939#0,39517939#1,39517939#2,39518100#1,39518100#2,168924810#1,182438103#1,182438139,740785158,182438101,1220303669,1220303668,223842964#2,223842964#3,223842964#4,223842964#5,223842964#6,1220303663,504554720#0,504554720#1,618249959#0,618249959#1,618249959#2,223842918,-211185998,-151705609#1,-618249955,151705538#0,151705538#1,151705538#2,151705538#3,-151705611#0,-618249957#0,-618249958,-152209369#1,-152209369#0,-152047123#4,-152047123#3,-152047123#2",3.9868558886126193
-39517939#2,-152047123#2,"-39517939#2,-39517939#1,-39517939#0,39517939#0,39517939#1,39517939#2,39518100#1,39518100#2,168924810#1,182438103#1,182438139,740785158,182438101,1220303669,1220303668,223842964#2,1220303665,799283568#0,799283568#1,782034462,39519003#0,39519003#1,39519003#2,39519003#3,618249959#0,618249959#1,618249959#2,223842918,-211185998,-151705609#1,-618249955,151705538#0,151705538#1,151705538#2,151705538#3,-151705611#0,-618249957#0,-618249958,-152209369#1,-152209369#0,-152047123#4,-152047123#3,-152047123#2",4.759317254619629
-39517939#2,-152047123#2,"-39517939#2,-39517939#1,-39517939#0,39517939#0,39517939#1,39517939#2,39518100#1,39518100#2,168924810#1,182438103#1,-782034445,782034445,182438139,740785158,182438101,1220303669,1220303668,223842964#2,223842964#3,223842964#4,223842964#5,223842964#6,1220303663,504554720#0,504554720#1,618249959#0,618249959#1,618249959#2,223842918,-211185998,-151705609#1,-618249955,151705538#0,151705538#1,151705538#2,151705538#3,-151705611#0,-618249957#0,-618249958,-152209369#1,-152209369#0,-152047123#4,-152047123#3,-152047123#2",4.545483198427832
742115159#0,-609153405#1,"742115159#0,742115159#1,742115159#2,742115159#3,108773866,107619768#1,107619761,799286661#1,799286661#2,152046752#1,-782034463,-929557840,-152209328#1,-152209328#0,-152209349,-729156156#1,782034466,39519001,746413073,782034444,782034445,182438144#0,182438129,-107234406#2,-107234406#1,-107234406#0,370259801#1,618140798,107619764,370259788,-609153405#2,-609153405#1",3.209299256059515
742115159#0,-609153405#1,"742115159#0,742115159#1,742115159#2,742115159#3,108773866,107619768#1,107619761,799286661#1,799286661#2,152046752#1,-782034463,-929557840,-152209328#1,-152209328#0,-152209349,-729156156#1,-729156156#0,729156156#0,782034466,39519001,746413073,782034444,782034445,182438144#0,182438129,-107234406#2,-107234406#1,-107234406#0,370259801#1,618140798,107619764,370259788,-609153405#2,-609153405#1",3.5513378929685624
742115159#0,-609153405#1,"742115159#0,742115159#1,742115159#2,742115159#3,108773866,107619768#1,107619761,799286661#1,799286661#2,152046752#1,-782034463,-929557840,-152209328#1,-152209328#0,-152209349,-729156156#1,782034466,39519001,746413073,782034444,782034445,182438144#0,182438129,-107234406#2,-504554774#1,-504554774#0,-107234406#0,370259801#1,618140798,107619764,370259788,-609153405#2,-609153405#1",3.241144708423326
370259807#1,-609157577,"370259807#1,-370259804,107234437,370259801#0,370259801#1,-609157580#1,-609157580#0,-618140797,-609157577",0.47764578833693294
-39519003#2,618140830#0,"-39519003#2,-39519003#1,-39519003#0,-782034462,729156156#0,729156156#1,152209349,152209328#0,152209328#1,929557840,782034463,-152046752#2,-152046752#0,-799286661#1,-799286661#0,799286660#0,799286660#1,204820307#1,204820307#2,39124873#0,204820353#0,204820353#1,152046758#1,299015084#0,299015084#1,299015084#2,26388815#0,26388815#1,618140830#0",2.5139641879954726
