origins,destinations,path,free_flow_time
-70118560#4,18824167#4,"-70118560#4,70118560#4,18893592#3,18893867,704356867#0,704356867#1,-18825607#1,-18825607#0,18824127#0,18824127#1,18824127#2,18824167#8,18824167#1,18824167#2,18824167#3,18824167#4",0.9397213363017596
-70118560#4,18824167#4,"-70118560#4,-18956068#1,18956081,-18893592#1,18893881,704356867#1,-18825607#1,-18825607#0,18824127#0,18824127#1,18824127#2,18824167#8,18824167#1,18824167#2,18824167#3,18824167#4",0.9250063172836591
-70118560#4,18824167#4,"-70118560#4,-18956068#1,18956081,-18893592#1,-18893592#0,675895700#0,675895700#1,-18825607#1,-18825607#0,18824127#0,18824127#1,18824127#2,18824167#8,18824167#1,18824167#2,18824167#3,18824167#4",0.8748064322843601
18824167#4,-70118560#4,"18824167#4,18824167#5,18824167#6,18824093#0,18824093#1,18825607#0,18825607#1,-704356867#1,-18893881,18893592#1,18893592#2,-70118560#4",0.8532595475094636
18824167#4,-70118560#4,"18824167#4,18824167#5,18824167#6,18824093#0,18824093#1,18825607#0,18825607#1,-704356867#1,-704356867#0,-18893867,-18893592#3,-70118560#4",0.8689855855560328
18824167#4,-70118560#4,"18824167#4,18824167#5,18824167#6,18824093#0,18824093#1,18825607#0,18825607#1,-675895700#1,-675895700#0,18893592#0,18893592#1,18893592#2,-70118560#4",0.8030221587597894
-599926460#0,236168488,"-599926460#0,50002785#2,50002785#3,50002785#1,599926460#0,599926460#1,599926460#2,599926460#3,599926460#4,236168484#0,236168488",0.7320614350851932
-599926460#0,236168488,"-599926460#0,50002785#2,-597120970#3,-597120970#2,-597120970#1,128801091#0,128801091#1,727154406,599926460#4,236168484#0,236168488",1.0319054475641949
-704356867#1,18958868,"-704356867#1,-704356867#0,-896219410,-18893845,18893592#5,18893592#6,18893592#7,18951224#0,-23390720#2,-18954519#5,-18954519#4,18954544#1,18954451#2,18954451#3,18955358#0,18955438,31057087#1,31057087#2,18958868",1.4547843428655882
-704356867#1,18958868,"-704356867#1,-704356867#0,-18893867,18893592#4,18893592#5,18893592#6,18893592#7,18951224#0,-23390720#2,-23390720#1,-23390720#0,18954451#1,18954451#2,18954451#3,18955358#0,18955438,31057087#1,31057087#2,18958868",1.3234254926300295
-704356867#1,18958868,"-704356867#1,-704356867#0,-18893867,18893592#4,18893592#5,18893592#6,18893592#7,18951224#0,-23390720#2,-18954519#5,-18954519#4,-18954519#3,-23352073#0,1039612353#1,18954476#1,1039612347,31057086#1,-1011280619#1,18958868",1.3775432952586402
-70118545#1,1060293640#0,"-70118545#1,-70118545#0,-914445783#2,-914445783#1,-914445783#0,-19092540#14,-19092540#13,19092540#13,19092540#14,914445783#0,914445783#1,914445783#2,70118545#0,70118545#1,70118545#2,140599483,19092999#0,19092999#1,19092999#2,19092999#3,19092999#4,-19092777#4,-19092777#3,-19092777#2,-19092777#1,-19092777#0,18953043#1,1052829130#0,1052829130#1,1052829130#2,1052829130#3,1078998908,1060293640#0",1.310524784092005
-70118545#1,1060293640#0,"-70118545#1,-70118545#0,-914445783#2,-914445783#1,-914445783#0,-19092540#14,-19092540#13,19107691,-19107691,19092540#13,19092540#14,914445783#0,914445783#1,914445783#2,70118545#0,70118545#1,70118545#2,140599483,19092999#0,19092999#1,19092999#2,19092999#3,19092999#4,-19092777#4,-19092777#3,-19092777#2,-19092777#1,-19092777#0,18953043#1,1052829130#0,1052829130#1,1052829130#2,1052829130#3,1078998908,1060293640#0",1.7210839393595834
1060293640#0,70118553,"1060293640#0,1060293640#1,-19092777#2,-19092777#1,-19092777#0,18953043#1,18953043#2,18953043#3,1039918445#0,1039918445#1,1039918445#2,1039918445#3,18953185,1039918444,-70118553,70118553",0.510191186822913
1060293640#0,70118553,"1060293640#0,1060293640#1,-19092777#2,-19092777#1,-19092777#0,18953043#1,18953043#2,18953043#3,1039918445#0,1039918445#1,1039918445#2,1039918445#3,18953185,23199226,18953418#3,70118553",0.5272298237319601
1060293640#0,70118553,"1060293640#0,1060293640#1,-19092777#2,-19092777#1,-19092777#0,18953043#1,18953043#2,18953043#3,1039918445#0,1039918445#1,1039918445#2,1039918445#3,18953418#0,18953418#1,18953418#2,18953418#3,70118553",0.5428045777516386
31407537#0,-50003367#4,"31407537#0,-31407537#0,31407523,926783706#0,926783706#1,31407312#0,31407312#1,926802929,-31407286#1,-31407286#0,31406948#0,31406948#1,926802931,221475176#1,221475176#2,221475176#3,221475176#4,326376537#0,326376537#1,31024706#4,925336851#0,925336851#1,122743180,925336849,122743179#3,122743179#4,122743179#5,925336848,-925336846,-957534652,87174585#0,87174585#1,835478638#0,50003740,-945696033#0,-50003745#1,-50003745#0,-50003744#2,-50003744#1,-1265737254,-1353804568#3,-1353804568#2,-1353804568#0,-597120972#6,-597120972#5,-597120972#4,-597120972#3,-597120972#2,-597120972#1,-597120972#0,293535503,50003367#0,50003367#1,50003367#2,50003367#3,50003367#4,-50003367#4",4.992221129080557
31407537#0,-50003367#4,"31407537#0,-31407537#0,31407523,926783706#0,926783706#1,31407312#0,31407312#1,926802929,-31407286#1,-31407286#0,31406948#0,31406948#1,926802931,221475176#1,221475176#2,221475176#3,221475176#4,326376537#0,326376537#1,31024706#4,925336851#0,925336851#1,122743180,925336849,122743179#3,122743179#4,122743179#5,925336848,-925336846,-957534652,87174585#0,87174586,-50003737#3,-50003737#2,-50003737#1,-50003737#0,31409305#3,-31409309#3,-31409309#2,-31409309#1,166533234#0,166533234#1,166533234#2,-597120972#6,-597120972#5,-597120972#4,-597120972#3,-597120972#2,-597120972#1,-597120972#0,293535503,50003367#0,50003367#1,50003367#2,50003367#3,50003367#4,-50003367#4",4.764798266486994
31407537#0,-50003367#4,"31407537#0,-31407537#0,31407523,926783706#0,926783706#1,31407312#0,31407312#1,926802929,-31407286#1,-31407286#0,31406948#0,31406948#1,926802931,221475176#1,221475176#2,221475176#3,221475176#4,326376537#0,326376537#1,31024706#4,925336851#0,925336851#1,122743180,925336849,122743179#3,122743179#4,122743179#5,925336848,-925336846,-957534652,87174585#0,87174586,-50003737#3,50003739,-945696033#1,-945696033#0,-50003745#1,-50003745#0,-50003744#2,-50003744#1,-1265737254,-1353804568#3,-1353804568#2,-1353804568#0,-597120972#6,-597120972#5,-597120972#4,-597120972#3,-597120972#2,-597120972#1,-597120972#0,293535503,50003367#0,50003367#1,50003367#2,50003367#3,50003367#4,-50003367#4",5.043829000450847
-536493311#1,-1258718294#2,"-536493311#1,536493311#1,1015402481,424915379,424742247,424742248#1,424742248#2,51415169#0,51415169#1,51415169#2,51415169#3,-424742249#0,-702475481,33434253,51189787#0,51189787#1,19610000#0,19610000#1,19610000#2,51429826#0,51429826#1,19610004#1,19610004#2,19610004#3,1078998889#0,1078998889#1,1111818687,1078998888#0,1078998888#1,18824227#0,18824227#1,18824227#2,18955879,18955915#0,18955915#1,-18958492#3,-18958492#2,-18958492#1,405079619#0,405079619#1,405079619#2,405079621#0,405079621#1,405079621#2,405079618,881200742,-18958339,18954451#6,18954451#1,18954451#2,1039612354,1039612352,-18954519#2,-18954519#1,18954595#1,18951224#7,18893751#0,18893751#1,-18642137#0,-1258718294#4,-1258718294#3,-1258718294#2",4.39891972049525
-536493311#1,-1258718294#2,"-536493311#1,536493311#1,1015402481,424915379,424742247,424742248#1,424742248#2,51415169#0,51415169#1,51415169#2,51415169#3,-424742249#0,424916055,51414600,51189787#0,51189787#1,19610000#0,19610000#1,19610000#2,51429826#0,51429826#1,19610004#1,19610004#2,19610004#3,1078998889#0,1078998889#1,1111818687,1078998888#0,1078998888#1,18824227#0,18824227#1,18824227#2,18955879,18955915#0,-18955934,70101229#4,18955950,18955915#3,18958492#0,405079619#0,405079619#1,405079619#2,405079621#0,1007133850#0,1007133850#1,18955842#5,18955842#6,881200742,-18958339,18954451#6,23390720#0,23390720#1,-18954519#5,18954558,18951224#3,18951224#4,18893777#0,18893777#1,-18642137#2,-18642137#1,-18642137#0,-1258718294#4,-1258718294#3,-1258718294#2",4.574393216859483
-536493311#1,-1258718294#2,"-536493311#1,536493311#1,1015402481,424915379,424742247,424742248#1,424742248#2,51415169#0,51415169#1,51415169#2,51415169#3,-424742249#0,-702475481,33434253,51189787#0,51189787#1,19610000#0,19610000#1,19610000#2,51429826#0,51429826#1,19610004#1,19610004#2,19610004#3,1078998889#0,1078998889#1,1111818687,1078998888#0,1078998888#1,18824227#0,18824227#1,18824227#2,18955879,18955915#0,18955915#1,-18958492#3,-18958492#2,-18958492#1,405079619#0,405079619#1,405079619#2,405079621#0,405079621#1,405079621#2,405079618,881200742,-18958339,18954451#6,18954451#1,18954451#2,1039612354,1039612352,23352073#1,18893777#0,18893777#1,-18642137#2,-18642137#1,-18642137#0,-1258718294#4,-1258718294#3,-1258718294#2",4.290682984294633
31407537#0,-341049505#0,"31407537#0,31407537#1,1095702632#0,1095702632#1,51421552#1,51421552#2,51421552#3,51421552#4,51421552#5,51421552#6,927254641,31408530#3,927254640,-31408598,31408859#0,31408859#1,31408859#2,31408859#3,31408859#4,31408859#5,-341049505#8,-341049505#7,233919813#0,233919813#1,233919813#2,-341049505#1,-341049505#0",2.8496824202228144
31407537#0,-341049505#0,"31407537#0,31407537#1,1095702632#0,1095702632#1,51421552#1,51421552#2,51421552#3,51421552#4,51421552#5,51421552#6,927254641,31408530#3,927254640,-31408598,31408859#0,31408859#1,31408859#2,31408859#3,31408859#4,31408859#5,-341049505#8,-341049505#7,233919813#0,-233919788#1,-233919788#0,-341049505#3,-341049505#2,-341049505#1,-341049505#0",2.364108190530938
-927208000#3,50004004#1,"-927208000#3,-927208000#2,-927208000#1,927208000#1,927208000#2,927208000#3,927208000#4,808799859,808799860#0,808799860#1,988074650,-31409268,1265737253#1,1265737253#2,1265737253#3,1353804570#0,1353804570#2,1265737254,50004004#0,50004004#1",0.6986617685231039
