origins,destinations,path,free_flow_time
105142737#1,-59089517#1,"105142737#1,105142737#2,-105142736,-104290296#2,-105142734#2,-105142734#1,-105142734#0,104290285#0,104290285#1,104290285#2,59097747,-59089579#0,-59089517#1",1.2400368210639188
105142737#1,-59089517#1,"105142737#1,105142737#2,-105142736,-104290296#2,-104290296#1,104290296#1,-105142734#2,-105142734#1,-105142734#0,104290285#0,104290285#1,104290285#2,59097747,-59089579#0,-59089517#1",1.2510012068182206
105142737#1,-59089517#1,"105142737#1,105142737#2,-105142736,-104290296#2,-104290296#1,-104290296#0,104290265#1,-104290279#2,104290291#0,104290291#1,-560457880,-59089523,59089517#1,-59089517#1",2.152597568905172
-51422982#3,-47977032#2,"-51422982#3,51422982#3,51422982#4,51422982#5,51422989#3,51422989#4,51422989#1,-51422981,51420437#4,51420437#5,-47977032#5,-47977032#4,-47977032#3,-47977032#2",0.537847435590507
106887254,926871549#1,"106887254,785592245#1,785592245#2,106887256#2,106887256#3,106887256#4,106887256#5,116803454#0,116803454#1,116803454#2,116803454#3,116803455,106887222#1,106887222#2,926871549#0,926871549#1",1.4500023911652493
-45451369#0,-45451329#0,"-45451369#0,45451371#0,45451371#1,45451334,-790793792#5,-790793792#4,-790793792#3,-790793792#2,790793793,790793784#0,45451364#0,45451337#0,45451329#0,-45451329#0",1.4581411542882148
-59301982#3,-220393191#2,"-59301982#3,-59301982#2,1153995060,-59301977,45581712#5,-45581710,45579330#1,-560405279,-45579370#1,507057657#0,507057657#1,45579354#0,45579354#1,-220393191#3,-220393191#2",1.9407472996397983
-59301982#3,-220393191#2,"-59301982#3,-59301982#2,-59301982#1,-59301982#0,-45581712#6,-45581710,45579330#1,-560405279,-45579370#1,507057657#0,507057657#1,45579354#0,45579354#1,-220393191#3,-220393191#2",1.847010798559885
-59301982#3,-220393191#2,"-59301982#3,-59301982#2,-59301982#1,-59301982#0,-45581712#6,-45581710,-45579330#0,1073075905#0,1073075905#1,-45579340#5,-45579340#4,45579354#0,45579354#1,-220393191#3,-220393191#2",0.91227501799856
118221875#8,-59089536#1,"118221875#8,118221875#9,118221875#11,1164554874,1164554872,30887723#0,30890426#0,30890426#1,30890426#2,30890426#3,30890426#4,30890426#5,30890426#6,30890473#0,-30890424#0,-30890428#4,-30890428#3,-30890428#2,-59089507#3,-59089507#2,-59089507#0,1135752184,1154386243,1154386309,1154386242,1135752187,59089582#0,59089582#1,59089582#2,1342718690#0,1342718690#1,1154386332#0,1154386332#1,1154386331,59089519#0,59089519#1,59089553,59089580#1,59089580#2,59089580#3,1154386286,59097412#0,59097412#1,1154386281,59089535#0,59089535#1,59089535#2,59089535#3,59089535#4,-59089575#6,59089538#6,59089538#7,59089540#1,1154386260#1,1217037172,1217037170,931776793,931776794#0,931776794#1,931776794#2,-107107403#1,-107107403#0,-59089536#2,-59089536#1",3.436412512896629
118221875#8,-59089536#1,"118221875#8,118221875#9,118221875#11,1164554874,1164554872,30887723#0,30890426#0,30890426#1,30890426#2,30890426#3,30890426#4,30890426#5,30890426#6,30890473#0,-30890424#0,-30890428#4,-30890428#3,-30890428#2,-59089507#3,-59089507#2,-59089507#0,1135752184,1154386243,1154386309,1154386242,1135752187,59089582#0,59089582#1,59089582#2,1342718690#0,1342718690#1,1154386332#0,1154386332#1,1154386331,59089519#0,59089519#1,59089553,59089580#1,59089580#2,59089580#3,1154386286,1154386283,59089546#0,59089546#1,59089546#2,59089533#0,59089533#1,59089533#2,59089533#3,-59089549#3,-59089549#2,59089538#7,59089540#1,1154386260#1,1217037172,1217037170,931776793,931776794#0,931776794#1,931776794#2,-107107403#1,-107107403#0,-59089536#2,-59089536#1",3.624365422658448
118221875#8,-59089536#1,"118221875#8,118221875#9,118221875#11,1164554874,1164554872,30887723#0,30890426#0,30890426#1,30890426#2,30890426#3,30890426#4,30890426#5,30890426#6,30890473#0,-30890424#0,-30890428#4,-30890428#3,-30890428#2,-59089507#3,-59089507#2,-59089507#0,1135752184,1154386243,1154386309,1154386242,1135752187,59089582#0,59089582#1,59089582#2,1342718690#0,1342718690#1,1154386332#0,1154386332#1,1154386331,59089519#0,59089519#1,59089553,59089580#1,59089580#2,59089580#3,1154386286,1154386283,59089546#0,59089546#1,59089546#2,59089533#0,59089533#1,59089533#2,59089533#3,-59089549#3,59089535#6,59089540#0,59089540#1,1154386260#1,1217037172,1217037170,931776793,931776794#0,931776794#1,931776794#2,-107107403#1,-107107403#0,-59089536#2,-59089536#1",3.6591626388811505
