origins,destinations,path,free_flow_time
80733788#0,-42190730,"80733788#0,-80733788#0,197922721,252857979#0,252857979#1,252857979#2,986733130,101789127#0,101789127#1,698085348#4,698085348#5,197922720#0,197922720#1,813070235,-352043735#0,-103422838#9,-103422838#8,-103422838#7,-103422838#6,-103422838#5,-103422838#4,-103422838#3,-103422838#2,-103422861,964083525#2,103424641#0,103424641#1,-103422889#2,-103422889#1,-103422889#0,-103422876#1,-103422876#0,-272554973#2,-272554973#1,-272554973#0,-38785911#2,-38785911#1,-38785911#0,103422881#0,103422881#1,42190730,-42190730",4.067043443005208
80733788#0,-42190730,"80733788#0,-80733788#0,-101789058#4,-101789058#3,101789117#0,101789117#1,986733130,101789127#0,101789127#1,698085348#4,698085348#5,197922720#0,197922720#1,813070235,-352043735#0,-103422838#9,-103422838#8,-103422838#7,-103422838#6,-103422838#5,-103422838#4,-103422838#3,-103422838#2,-103422861,964083525#2,103424641#0,103424641#1,-103422889#2,-103422889#1,-103422889#0,-103422876#1,-103422876#0,-272554973#2,-272554973#1,-272554973#0,-38785911#2,-38785911#1,-38785911#0,103422881#0,103422881#1,42190730,-42190730",4.1277825838739375
80733788#0,-42190730,"80733788#0,-80733788#0,197922721,252857979#0,252857979#1,252857979#2,986733130,101789127#0,101789127#1,698085348#4,698085348#5,197922720#0,197922720#1,813070235,-352043735#0,-103422838#9,-103422838#8,-103422838#7,-103422838#6,-103422838#5,-103422838#4,-103422838#3,-103422838#2,-103422861,964083525#2,103424641#0,103424641#1,-103422889#2,-103422889#1,-103422889#0,-103422876#1,-103422876#0,-272554973#2,272554973#2,-272554973#2,-272554973#1,-272554973#0,-38785911#2,-38785911#1,-38785911#0,103422881#0,103422881#1,42190730,-42190730",4.077341972858193
80733788#0,-101789069#3,"80733788#0,-80733788#0,-101789058#4,-101789058#3,-101789058#2,-101789058#1,-101789058#0,943798929#0,943798929#1,943798929#2,101791115#0,-168022243#2,-168022243#1,-168022243#0,-101791149#2,-101791149#1,-101791149#0,-221452293#5,-221452293#4,-221452293#3,-221452293#2,-221452293#1,-221452293#0,101789139#0,101789139#1,101789139#2,101789139#3,101789139#4,101789139#5,101789139#6,101789139#7,101789030,-101789069#6,-101789069#5,-101789069#4,-101789069#3",1.8232204314035152
80733788#0,-101789069#3,"80733788#0,-80733788#0,-101789058#4,-101789058#3,-101789058#2,-101789058#1,-101789058#0,943798929#0,943798929#1,943798929#2,101791115#0,-168022243#2,-168022243#1,-168022243#0,-101791149#2,-101791149#1,-101791149#0,-221452293#5,-221452293#4,101791155,-949298418#0,-101791154,-101791162#1,-101791147,101791147,-101791147,101791138#2,101789139#1,101789139#2,101789139#3,101789139#4,101789139#5,101789139#6,101789139#7,101789030,-101789069#6,-101789069#5,-101789069#4,-101789069#3",2.3413147300342416
80733788#0,-101789069#3,"80733788#0,-80733788#0,-101789058#4,-101789058#3,-101789058#2,-101789058#1,-101789058#0,943798929#0,943798929#1,943798929#2,101791115#0,-168022243#2,-168022243#1,-168022243#0,-101791149#2,-101791149#1,-101791149#0,-221452293#5,-221452293#4,101791155,-949298418#0,-101791154,-101791162#1,-101791147,101791138#2,101789139#1,101789139#2,101789139#3,101789139#4,101789139#5,101789139#6,101789139#7,101789030,-101789069#6,-101789069#5,-101789069#4,-101789069#3",2.1808755651674314
-168022243#1,-103422878#2,"-168022243#1,-168022243#0,168022243#0,168022243#1,168022243#2,101791115#1,101791115#2,101791115#3,101791123,101789058#1,101789058#2,101789117#0,101789117#1,986733130,101789127#0,101789127#1,698085348#4,698085348#5,197922720#0,197922720#1,813070235,-352043735#0,-103422838#9,-103422838#8,-103422838#7,-103422838#6,-103422838#5,-103422838#4,-103422838#3,-103422838#2,-103422838#1,-103422838#0,208311530#0,208311530#1,208311530#2,208312010,625541249#2,103422868,-103422878#2",3.4085527713524213
-168022243#1,-103422878#2,"-168022243#1,-168022243#0,168022243#0,168022243#1,168022243#2,101791115#1,101791115#2,101791115#3,101791123,101789058#1,101789058#2,101789117#0,101789117#1,986733130,101789127#0,101789127#1,698085348#4,698085348#5,197922720#0,197922720#1,813070235,-352043735#0,-103422838#9,-103422838#8,-103422838#7,-103422838#6,-103422838#5,-103422838#4,-103422838#3,-103422838#2,-103422838#1,-103422838#0,208311530#0,103422847,103422854#2,625541249#1,625541249#2,103422868,-103422878#2",3.405235063771728
-168022243#1,-103422878#2,"-168022243#1,-168022243#0,168022243#0,168022243#1,168022243#2,101791115#1,101791115#2,101791115#3,101791123,101789058#1,-101789058#1,101789058#1,101789058#2,101789117#0,101789117#1,986733130,101789127#0,101789127#1,698085348#4,698085348#5,197922720#0,197922720#1,813070235,-352043735#0,-103422838#9,-103422838#8,-103422838#7,-103422838#6,-103422838#5,-103422838#4,-103422838#3,-103422838#2,-103422838#1,-103422838#0,208311530#0,103422847,103422854#2,625541249#1,625541249#2,103422868,-103422878#2",3.5140063620678643
-95974191#0,-101791149#2,"-95974191#0,83053807#3,83053807#0,83053807#1,83053807#2,95974191#0,95974191#1,95974191#2,95974191#3,95974191#4,95974191#5,95974191#6,103422838#0,103422838#1,103422838#2,103422838#3,103422838#4,103422838#5,103422838#6,103422838#7,103422838#8,103422838#9,103422838#10,352043735#1,-197922720#1,-197922720#0,-698085348#5,-698085348#4,-698085348#3,-698085348#2,-698085348#1,-698085348#0,813070237,101806643#0,101806643#1,101806643#2,943798929#1,943798929#2,101791115#0,-168022243#2,-168022243#1,-168022243#0,-101791149#2",3.1510910158206404
