origins,destinations,path,free_flow_time
-49359674,626293485#3,"-49359674,49359674,-49359661#3,-49359661#2,-49359661#1,-49359661#0,-22723922#1,-22723922#0,-709383635,-172984581#0,1244940367#1,1244940367#2,1244940367#3,1244940367#4,1244940367#5,1244940367#6,1108126458#0,1108126458#1,1108126458#1-AddedOffRampEdge,22616508#0,22616508#1-AddedOnRampEdge,22616508#1,620117482#0,620117482#2,22616488#7,-172984590#5,-172984590#4,-172984590#2,-172984590#1,-172984590#0,1370737395,1370737396,1370737397#0,1370737397#1,-22616470#7,-22616470#6,-22616470#5,-22616470#4,-22616470#3,-22616470#2,173832776#0,173832776#1,173832776#2,173832776#3,173832786#3,173832786#4,173832773#0,173832773#1,173832773#2,22698734#2,22698734#3,22698734#4,-202970121#0,202970121#0,-202970121#0,22689847#0,22689847#1,509025425,530531179#1,68452486#0,68452486#1,68452486#2,509025427,509025426#0,-45187657#2,-45189474,22689897#1,22689897#2,-173102960#2,-173102960#1,-173102960#0,173102964#1,1327079325,173102956#1,-345700254,1326299209#0,1326299209#1,1326299209#1-AddedOffRampEdge,1326299209#2,693736127,551115046,286175273,23025890#1,423206850,8085523,8085524#0,8085524#1,709383636,696913299,8085540#0,8085540#1,8085540#2,8085540#3,8085540#4,8085540#5,31631233#0,31631233#1,31631229,626293485#0,626293485#1,626293485#2,626293485#3",4.9909693219703755
-49359674,626293485#3,"-49359674,49359674,-49359661#3,-49359661#2,-49359661#1,-49359661#0,-22723922#1,-22723922#0,-709383635,-172984581#0,1244940367#1,1244940367#2,1244940367#3,1244940367#4,1244940367#5,1244940367#6,1108126458#0,1108126458#1,1108126458#1-AddedOffRampEdge,22616508#0,22616508#1-AddedOnRampEdge,22616508#1,620117482#0,620117482#2,22616488#7,-172984590#5,-172984590#4,-172984590#2,-172984590#1,-172984590#0,1370737395,1370737396,1370737397#0,1370737397#1,-22616470#7,-22616470#6,-22616470#5,-22616470#4,-22616470#3,-22616470#2,173832776#0,173832776#1,-173832777,173832776#3,173832786#3,173832786#4,173832786#1,22698734#0,22698734#1,22698734#2,22698734#3,22698734#4,-202970121#0,22689847#0,22689847#1,509025425,530531179#1,68452486#0,68452486#1,68452486#2,509025427,509025426#0,-45187657#2,-45189474,22689897#1,22689897#2,-173102960#2,-173102960#1,-173102960#0,173102964#1,1327079325,173102956#1,-345700254,1326299209#0,1326299209#1,1326299209#1-AddedOffRampEdge,1326299209#2,693736127,551115046,286175273,23025890#1,423206850,8085523,8085524#0,8085524#1,709383636,696913299,8085540#0,8085540#1,8085540#2,8085540#3,8085540#4,8085540#5,8085540#6,8085540#7,626293485#0,626293485#1,626293485#2,626293485#3",5.018678032366253
-49359674,626293485#3,"-49359674,49359674,-49359661#3,-49359661#2,-49359661#1,-49359661#0,-22723922#1,-22723922#0,-709383635,-172984581#0,1244940367#1,1244940367#2,1244940367#3,1244940367#4,1244940367#5,1244940367#6,1108126458#0,1108126458#1,1108126458#1-AddedOffRampEdge,22616508#0,22616508#1-AddedOnRampEdge,22616508#1,620117482#0,620117482#2,22616488#7,-172984590#5,-172984590#4,-172984590#2,-172984590#1,-172984590#0,1370737395,1370737396,1370737397#0,1370737397#1,-22616470#7,-22616470#6,-22616470#5,-22616470#4,-22616470#3,-22616470#2,173832776#0,173832776#1,173832776#2,173832776#3,173832786#3,173832786#4,173832773#0,173832773#1,173832773#2,22698734#2,22698734#3,22698734#4,-202970121#0,22689847#0,22689847#1,509025425,530531179#1,68452486#0,68452486#1,68452486#2,509025427,509025426#0,-45187657#2,-45189474,22689897#1,22689897#2,-173102960#2,-173102960#1,-173102960#0,173102964#1,1327079325,173102956#1,-345700254,345700254,-345700254,1326299209#0,1326299209#1,1326299209#1-AddedOffRampEdge,1326299209#2,693736127,551115046,286175273,23025890#1,423206850,8085523,8085524#0,8085524#1,709383636,696913299,8085540#0,8085540#1,8085540#2,8085540#3,8085540#4,8085540#5,8085540#6,8085540#7,626293485#0,626293485#1,626293485#2,626293485#3",4.977509325862774
163287986,-509264957#4,"163287986,585869644#0,585869644#1,-22675381#11,-22675381#10,-22675381#9,-22675381#8,-22675381#7,-22675381#6,-22675381#5,-22675381#4,-22675381#3,-22675381#2,-22675381#1,-22675381#0,1370737449,-173256360#2,-173256360#1,-173256360#0,173256364#0,173256364#1,173256364#2,173256364#3,-509264957#5,-509264957#4",0.4730722640298586
163287986,-509264957#4,"163287986,585869644#0,585869644#1,-22675381#11,-22675381#10,-22675381#9,-22675381#8,-22675381#7,173537026#0,173537026#1,173537026#2,173537026#3,173537026#4,173537026#5,173537026#6,173537026#7,173537013#2,173537013#3,-173537040#3,-173537040#2,-173537040#1,-173537040#0,173256364#3,-509264957#5,-509264957#4",0.4278981748721569
163287986,-509264957#4,"163287986,585869644#0,585869644#1,-22675381#11,-22675381#10,-22675381#9,-22675381#8,-22675381#7,173537026#0,173537026#1,173537026#2,173537026#3,173537026#4,173537026#5,173537026#6,173537026#7,-173537013#1,-173537013#0,-173537013#4,-173537040#3,-173537040#2,-173537040#1,-173537040#0,173256364#3,-509264957#5,-509264957#4",0.46105143617667876
-22605745#14,-30044106#3,"-22605745#14,-22605745#13,22605745#13,22605745#14,22605745#15,22605745#16,22605745#17,22605745#18,22605745#19,22605745#20,1013554545#3,1013554545#0,1013554545#1,-174183381#2,-174183381#0,22605008#0,22605008#1,22605008#2,22605008#3,30044106#0,30044106#1,30044106#2,30044106#3,30044106#4,-30044106#4,-30044106#3",0.8955363570914328
-22605745#14,-30044106#3,"-22605745#14,-22605745#13,22605745#13,22605745#14,22605745#15,22650520,-22650520,22605745#16,22605745#17,22605745#18,22605745#19,22605745#20,1013554545#3,1013554545#0,1013554545#1,-174183381#2,-174183381#0,22605008#0,22605008#1,22605008#2,22605008#3,30044106#0,30044106#1,30044106#2,30044106#3,30044106#4,-30044106#4,-30044106#3",1.0284137269018478
174183371#0,-22674191#9,"174183371#0,174183371#1,174183373#3,174183373#4,-22650517#3,-22650517#2,-22650517#1,-22650517#0,22605017#6,22605017#7,88409434#0,88409434#2,22568393#4,22568393#5,22568393#6,22568393#7,1088412610,88409441,-22568414#4,-22568414#3,-22568414#2,-22568414#1,-22568414#0,22568110#2,22674191#0,22674191#1,22674191#2,22674191#3,22674191#4,22674191#5,22674191#6,22674191#7,22674191#8,22674191#9,-22674191#9",1.649559207202227
174183371#0,-22674191#9,"174183371#0,174183371#1,-174183371#1,-174183371#0,-114133017#2,-114133017#1,-22650517#2,-22650517#1,-22650517#0,22605017#6,22605017#7,88409434#0,88409434#2,22568393#4,22568393#5,22568393#6,22568393#7,1088412610,88409441,-22568414#4,-22568414#3,-22568414#2,-22568414#1,-22568414#0,22568110#2,22674191#0,22674191#1,22674191#2,22674191#3,22674191#4,22674191#5,22674191#6,22674191#7,22674191#8,22674191#9,-22674191#9",1.6585927414222503
174183371#0,-22674191#9,"174183371#0,174183371#1,174183373#3,174183373#4,-22650517#3,-22650517#2,-22650517#1,-22650517#0,22650517#0,-22650517#0,22605017#6,22605017#7,88409434#0,88409434#2,22568393#4,22568393#5,22568393#6,22568393#7,1088412610,88409441,-22568414#4,-22568414#3,-22568414#2,-22568414#1,-22568414#0,22568110#2,22674191#0,22674191#1,22674191#2,22674191#3,22674191#4,22674191#5,22674191#6,22674191#7,22674191#8,22674191#9,-22674191#9",1.8458977426163923
-22675305#2,-172984589#3,"-22675305#2,-22675305#1,-22675305#0,22616480#6,22616480#1,22616480#2,22616480#3,49449152#0,49449152#1,628549042#0,628549042#1,628549042#2,628549042#3,628549042#4,525662203,22698905#0,22698905#1,-172984589#3",0.41119867386306663
-172984589#2,-163238135#2,"-172984589#2,-172984589#1,-172984589#0,172984590#3,172984590#5,22616488#8,22616488#9,22616488#11,22616488#1,172984588#0,172984588#1,172984586#0,172984586#1,50005210#0,50005210#1,50005210#2,50005210#3,50005210#4,50005210#5,163238135#0,163238135#1,163238135#2,-163238135#2",0.8506959443244538
-172984589#2,-163238135#2,"-172984589#2,-172984589#1,-172984589#0,172984590#3,172984590#5,22616488#8,22616488#9,22616488#11,22616488#1,172984588#0,172984588#1,172984586#0,172984586#1,50005210#0,50005209#0,50005209#1,50005209#2,50005209#3,50005210#4,50005210#5,163238135#0,163238135#1,163238135#2,-163238135#2",1.1830453563714902
-172984589#2,-163238135#2,"-172984589#2,-172984589#1,-172984589#0,172984590#3,172984590#5,22616488#8,22616488#9,22616488#11,22616488#1,172984588#0,172984588#1,172984586#0,172984586#1,50005210#0,50005210#1,50017930,-50017930,50005210#2,50005210#3,50005210#4,50005210#5,163238135#0,163238135#1,163238135#2,-163238135#2",0.8925245980321573
-173832739#4,-22605037#1,"-173832739#4,-173832739#3,-173832739#2,134889175#3,1279973442,202971312,22708358#0,22708358#1,22708358#2,22708358#3,22708358#4,173832756#0,173832756#2,1244940367#6,1108126458#0,1108126458#1,1108126458#1-AddedOffRampEdge,22616508#0,22616508#1-AddedOnRampEdge,22616508#1,620117482#0,620117482#2,22616488#7,22616488#8,22616489#0,22616489#1,22616489#2,22616489#3,22616489#4,698066555#0,698066555#1,698066554#1,22587837#0,22587837#1,88409433,541366922#0,541366922#2,22568393#7,22568393#8,22568393#9,22568393#10,22568393#1,22568393#2,88409452#0,88409452#1,-22605017#7,-22605017#6,-22605017#5,-22605017#4,-22605017#3,-22605017#2,-22605017#1,1013554545#0,1013554545#1,-174183381#2,-174183381#0,22605008#0,22605008#1,22605037#0,22605037#1,-22605037#1",3.5461548816486244
