origins,destinations,path,free_flow_time
-1113710350,-49795828#1,"-1113710350,-49747166#5,49747166#5,1113710351,49929647#0,-49929647#0,-1113710350,-49747166#5,-49747166#4,-49747166#3,-49747166#2,49747164#10,49747164#11,49747164#14,953901971,953901977#0,953901977#1,953901975,953901966,49747276,560475249,49795828#0,49795828#1,49795828#2,-49795828#2,-49795828#1",1.9273338132949365
-1113710350,-49795828#1,"-1113710350,1113710351,-1113710350,1113710351,-1113710350,-49747166#5,49747166#5,1113710351,-1113710350,-49747166#5,-49747166#4,-49747166#3,-49747166#2,49747164#10,49747164#11,49747164#14,953901971,953901977#0,953901977#1,953901975,953901966,49747276,560475249,49795828#0,-49795817#5,-49795817#4,-49795817#3,-49795817#2,-49795817#1,-49795817#0,49795825,49795817#1,49795817#2,49795817#3,49795817#4,49795817#5,-49795828#0,49795828#0,-49795828#0,49795828#0,-49795828#0,49795828#0,-49795828#0,49795828#0,49795828#1,49795828#2,-49795828#2,-49795828#1",4.543031352209711
-1113710350,-49795828#1,"-1113710350,1113710351,49929647#0,-49929647#0,49929647#0,-49929647#0,-1113710350,-49747166#5,49929642#0,49929642#1,49929642#2,-49929642#2,-49929642#1,-49929642#0,-49747166#4,49747166#4,-49747166#4,-49747166#3,-49747166#2,49747164#10,49747164#11,49747164#14,953901971,953901977#0,953901977#1,953901975,953901966,49747276,560475249,49795828#0,49795828#1,49795828#2,-49795828#2,-49795828#1",2.3976241900647945
-1113710350,-49795828#1,"-1113710350,-49747166#5,49747166#5,49747166#6,49929680#0,49929680#1,-49929680#1,-49929680#0,-49747166#6,-49747166#5,-49747166#4,-49747166#3,-49747166#2,49747164#10,49747164#11,49747164#14,953901971,953901977#0,953901977#1,953901975,953901966,49747276,560475249,49795828#0,49795828#1,49795828#2,-49795828#2,-49795828#1",3.358293612621434
-1113710350,-49795828#1,"-1113710350,1113710351,49929643#0,49929643#1,49929643#2,-49929643#2,-49929643#1,-49929643#0,-1113710350,49747166#6,-49747166#6,-49747166#5,49747166#5,49747166#6,-49747166#6,1113710351,49929643#0,49929643#1,-49929643#1,-49929643#0,-1113710350,49747166#6,-49747166#6,-49747166#5,-49747166#4,-49747166#3,-49747166#2,49747164#10,49747164#11,49747164#14,953901971,953901977#0,953901977#1,953901975,953901966,49747276,560475249,49795828#0,49795828#1,49795828#2,-49795828#2,-49795828#1",5.331041516678667
-1113710350,-49795828#1,"-1113710350,-49747166#5,49747166#5,-49747166#5,-49747166#4,-49747166#3,-49747166#2,49747164#10,49747164#11,49747164#14,953901971,953901977#0,953901977#1,953901975,953901966,49747276,560475249,49795828#0,49795828#1,49795828#2,49795818#0,-49795818#0,49795818#0,911964355,-911964355,911964355,-911964355,911964355,-49795818#1,-49795818#0,-49795828#2,-49795828#1",2.8039716822654186
-1113710350,-49795828#1,"-1113710350,-49747166#5,-49747166#4,-49747166#3,-49747166#2,49747164#10,49747164#11,49747164#14,953901971,953901977#0,953901977#1,953901975,953901966,49747276,560475249,49795828#0,-49795828#0,49795828#0,49795828#1,49795828#2,49795818#0,-49795818#0,49795818#0,49795818#1,-49795818#1,-49795818#0,49795818#0,-49795818#0,49795818#0,49795818#1,-911964355,-49795818#0,-49795828#2,-49795828#1",2.4692104631629466
-1113710350,-49795828#1,"-1113710350,-49747166#5,-49747166#4,-49747166#3,-49747166#2,49747166#0,-49747166#2,49747164#10,49747164#11,49747164#14,953901971,953901977#0,953901977#1,953901975,953901966,49747276,560475249,49795828#0,49795828#1,49795828#2,-49795828#2,-49795828#1",1.3903767698584113
-1113710350,-49795828#1,"-1113710350,-49747166#5,-49747166#4,49929670#0,-49929670#0,49929670#0,-49929670#0,-49747166#3,49747166#3,-49747166#3,-49747166#2,49747164#10,49747164#11,49747164#14,953901971,953901977#0,953901977#1,953901975,953901966,49747276,560475249,49795828#0,-49795828#0,49795828#0,49795828#1,49795828#2,-49795828#2,-49795828#1",1.8034557235421165
-1113710350,-49795828#1,"-1113710350,-49747166#5,-49747166#4,49929670#0,49929667#0,49929677,-49929668#0,-49747166#2,49747164#10,49747164#11,49747164#14,953901971,953901977#0,953901977#1,953901975,953901966,49747276,560475249,49795828#0,-49795828#0,49795828#0,49795828#1,49795828#2,-49795828#2,-49795828#1",1.7018364581253667
-1113710350,-49795828#1,"-1113710350,-49747166#5,49747166#5,49747166#6,-49747166#6,-49747166#5,-49747166#4,-49747166#3,-49747166#2,49747164#10,49747164#11,49747164#14,953901971,953901977#0,953901977#1,953901975,953901966,49747276,560475249,49795828#0,49795828#1,49795828#2,-49795828#2,-49795828#1",1.753551715862731
-1113710350,-49795828#1,"-1113710350,-49747166#5,49747166#5,1113710351,-1113710350,1113710351,-1113710350,-49747166#5,-49747166#4,49747166#4,-49747166#4,-49747166#3,-49747166#2,49747164#10,49747164#11,49747164#14,953901971,953901977#0,953901977#1,953901975,953901966,49747276,560475249,49795828#0,49795828#1,49795828#2,-49795828#2,-49795828#1",2.1117110631149507
-1113710350,-49795828#1,"-1113710350,1113710351,-1113710350,1113710351,49929647#0,-49929647#0,-1113710350,-49747166#5,-49747166#4,-49747166#3,49929668#0,49929668#1,-560475250#0,-49929668#0,49747166#3,49747166#4,-49747166#4,-49747166#3,-49747166#2,49747166#0,-49747166#2,49747166#0,-49747166#2,49747166#0,-49747166#2,49747164#10,49747164#11,49747164#14,953901971,953901977#0,953901977#1,953901975,953901966,49747276,560475249,49795828#0,-49795828#0,49795828#0,49795828#1,49795828#2,-49795828#2,-49795828#1",3.729889608831293
-1113710350,-49795828#1,"-1113710350,-49747166#5,-49747166#4,49929670#0,-49929670#0,-49747166#3,49929668#0,49929668#1,560475250#1,-560475250#1,49929669,-49929669,560475250#1,-560475250#1,49929669,-49929669,-560475250#0,-49929668#0,-49747166#2,49747166#0,-49747166#2,49747164#10,49747164#11,49747164#14,953901971,953901977#0,953901977#1,953901975,953901966,49747276,560475249,49795828#0,-49795828#0,49795828#0,49795828#1,49795828#2,-49795828#2,-49795828#1",5.286561075113992
