origins,destinations,path,free_flow_time
-37262347#8,-38250445#2,"-37262347#8,-37262347#7,37262347#7,37262347#8,37262347#9,29347640#0,29347640#1,29347640#2,29347640#3,29347640#4,1332936426,1332936425,-1332936425,427974169#2,427974169#3,427974169#4,29348374#0,29348374#1,-29348495#2,-29348495#1,-29348495#0,-18934349#3,-18934349#2,-18934349#1,-18934349#0,-440557653#1,-440557653#0,-345585228,-32538630,-598732995,-701009078,-345585229,32538638#0,440557657#0,396759845#0,396759845#1,29260650#1,-933175747#1,-933175747#0,-701009076#2,-701009076#1,-701009076#0,-287878573,-315149525#1,-38250446,-38250445#8,-38250445#7,-38250445#6,-38250445#5,-38250445#4,-38250445#3,-38250445#2",2.8172606191504683
-37262347#8,-38250445#2,"-37262347#8,-37262347#7,37262347#7,37262347#8,37262347#9,37262347#10,37262347#11,37262347#12,37262347#13,37262347#14,-32318897#1,-32318897#0,68543249,1238964974,18898487,29348374#0,29348374#1,-29348495#2,-29348495#1,-29348495#0,-18934349#3,-18934349#2,-18934349#1,-18934349#0,-440557653#1,-440557653#0,-345585228,-32538630,-598732995,-701009078,-345585229,32538638#0,440557657#0,396759845#0,396759845#1,29260650#1,-933175747#1,-933175747#0,-701009076#2,-701009076#1,-701009076#0,-287878573,-315149525#1,-38250446,-38250445#8,-38250445#7,-38250445#6,-38250445#5,-38250445#4,-38250445#3,-38250445#2",2.822796051465943
-37262347#8,-38250445#2,"-37262347#8,-37262347#7,37262347#7,37262347#8,37262347#9,29347640#0,29347640#1,29347640#2,29347640#3,29347640#4,1332936426,427974169#2,427974169#3,427974169#4,29348374#0,29348374#1,-29348495#2,-29348495#1,-29348495#0,-18934349#3,-18934349#2,-18934349#1,-18934349#0,-440557653#1,-440557653#0,-345585228,-32538630,-598732995,-701009078,-345585229,32538638#0,440557657#0,396759845#0,396759845#1,29260650#1,-933175747#1,-933175747#0,-701009076#2,-701009076#1,-701009076#0,-287878573,-315149525#1,-38250446,-38250445#8,-38250445#7,-38250445#6,-38250445#5,-38250445#4,-38250445#3,-38250445#2",2.712796976241901
-427195066,37262367#2,"-427195066,-754113933,203098147#0,203098147#1,203098147#2,203098147#3,203098147#4,243344676#0,243344676#1,243344676#2,243344676#3,243344676#4,243344676#5,-137957786#1,-137957786#0,-1321667099#5,-1321667099#4,-1321667099#3,-1321667099#2,-1321667099#1,-1321667099#0,1321667097,137957777#3,137957777#4,1052637143,-971300307#1,-971300307#0,-36785282#3,-36785282#2,-36785282#1,-36785282#0,459251295,29348821#1,29348821#2,29348821#3,36944586,-36944585,-151204953,-151204912#2,-151204912#1,-151204912#0,151204873#1,151204873#2,-36785531#2,-36785531#1,-36785531#0,28900527#2,36785429#0,37853866,18913058#4,18913059,-28900547,-28884639,18913060#0,18913060#1,28884541#8,28884541#9,28884541#10,28884541#1,28884541#2,300908085#0,300908085#1,-37995837,-18931823#4,-18931823#3,-38250589,-18898492#0,18932845#0,18932845#1,37262367#2",5.003435973667971
-427195066,37262367#2,"-427195066,-754113933,203098147#0,203098147#1,203098147#2,203098147#3,203098147#4,243344676#0,243344676#1,243344676#2,243344676#3,243344676#4,243344676#5,-137957786#1,-137957786#0,-1321667099#5,-1321667099#4,-1321667099#3,-1321667099#2,-1321667099#1,-1321667099#0,1321667097,137957777#3,137957777#4,1052637143,-971300307#1,-971300307#0,-36785282#3,-36785282#2,-36785282#1,-36785282#0,459251295,29348821#1,29348821#2,29348821#3,36944586,-36944585,-151204953,-151204912#2,-151204912#1,-151204912#0,151204873#1,151204873#2,-36785531#2,-36785531#1,-36785531#0,28900527#2,36785429#0,37853866,18913058#4,18913059,-28900547,-28884639,18913060#0,18913060#1,28884541#8,28884541#9,28884541#10,28884541#1,28884541#2,300908085#0,300908085#1,-37995837,-18931823#4,-18931823#3,-18931823#2,-18931823#1,-18931823#0,-137390626,18932845#0,18932845#1,37262367#2",5.0379576441072045
-427195066,37262367#2,"-427195066,-754113933,203098147#0,203098147#1,203098147#2,203098147#3,203098147#4,243344676#0,243344676#1,243344676#2,243344676#3,243344676#4,243344676#5,-137957786#1,-137957786#0,-1321667099#5,-1321667099#4,-1321667099#3,-1321667099#2,1321667099#2,-1321667099#2,-1321667099#1,-1321667099#0,1321667097,137957777#3,137957777#4,1052637143,-971300307#1,-971300307#0,-36785282#3,-36785282#2,-36785282#1,-36785282#0,459251295,29348821#1,29348821#2,29348821#3,36944586,-36944585,-151204953,-151204912#2,-151204912#1,-151204912#0,151204873#1,151204873#2,-36785531#2,-36785531#1,-36785531#0,28900527#2,36785429#0,37853866,18913058#4,18913059,-28900547,-28884639,18913060#0,18913060#1,28884541#8,28884541#9,28884541#10,28884541#1,28884541#2,300908085#0,300908085#1,-37995837,-18931823#4,-18931823#3,-38250589,-18898492#0,18932845#0,18932845#1,37262367#2",5.134249054976101
-427195178,137390626,"-427195178,-137971479#2,-137971479#1,-137971479#0,240380503,137971497#4,137971497#5,137971497#6,1124801915,137971476#0,137971476#1,-1057963241,-137971508#0,-427195125#2,137971489,-203098161#0,137971466#1,-29260616#3,-29260616#2,-29260616#0,29411353,1374074868,172682163#0,-427195175#3,-427195175#1,-427195175#0,-172682225#1,-172682225#0,38250445#8,38250446,315149525#1,287878573,701009076#0,701009076#1,701009076#2,933175747#0,933175747#1,396759848#0,-32538638#1,345585229,701009078,598732995,38250447,172682158#0,172682158#1,38319636,38319643#0,38319643#1,-36785429#1,37853866,18913058#4,18913059,-28900547,-28884639,18913060#0,18913060#1,28884541#8,28884541#9,28884541#10,28884541#1,28884541#2,300908085#0,300908085#1,-37995837,-18931823#4,-18931823#3,-38250589,-18898492#0,137390626",6.224505130099624
-427195178,137390626,"-427195178,-137971479#2,-137971479#1,137971471,203503145#0,203503145#1,-754113936#0,-1238964976#0,410104741,203098167#5,203098167#6,203098167#1,203098171#0,203098171#1,203098171#2,203098171#3,203098171#4,203098154#0,-202944382#2,-202944382#1,-202944382#0,-172682233#2,-172682233#0,-427195175#3,-427195175#1,-427195175#0,-172682225#1,-172682225#0,38250445#8,38250446,315149525#1,287878573,701009076#0,701009076#1,701009076#2,933175747#0,933175747#1,396759848#0,-32538638#1,345585229,701009078,598732995,38250447,172682158#0,172682158#1,38319636,38319643#0,38319643#1,-36785429#1,37853866,18913058#4,18913059,-28900547,-28884639,18913060#0,18913060#1,28884541#8,28884541#9,28884541#10,28884541#1,28884541#2,300908085#0,300908085#1,-37995837,-18931823#4,-18931823#3,-38250589,-18898492#0,137390626",5.505742608219114
-427195178,137390626,"-427195178,-137971479#2,-137971479#1,-137971479#0,240380503,137971497#4,137971497#5,137971497#6,1124801915,137971476#0,137971476#1,-1057963241,-137971508#0,-427195125#2,137971489,-203098161#0,137971466#1,-29260616#3,-29260616#2,-29260616#0,29411353,1374074868,172682163#0,-427195175#3,-427195175#1,-427195175#0,-172682225#1,-172682225#0,38250445#8,38250446,315149525#1,287878573,701009076#0,701009076#1,701009076#2,933175747#0,933175747#1,396759848#0,-32538638#1,345585229,701009078,598732995,32538630,345585228,440557653#0,440557653#1,18934349#0,18934349#1,18934349#2,18934349#3,29348495#0,29348495#1,29348495#2,13966483#0,18898486,18898487,-427974169#4,-427974169#3,-427974169#2,-1332936426,-29347640#4,-29347640#3,-29347640#2,-29347640#1,-29347640#0,-18932845#2,-18932845#1,-18932845#0,137390626",5.449549265824468
1124801956#0,-37853864,"1124801956#0,1124801956#1,137971488#0,137971488#1,137971488#2,137971488#3,137971488#4,137971488#5,-137971493#5,203098165#0,203098165#1,203098165#2,203098165#3,-203098166#0,-29260616#4,-29260616#3,-29260616#2,-29260616#0,29411353,1374074868,172682163#0,-427195175#3,-427195175#1,-427195175#0,-172682225#1,-172682225#0,38250445#8,38250446,315149525#1,287878573,701009076#0,701009076#1,701009076#2,933175747#0,933175747#1,396759848#0,-32538638#1,345585229,701009078,598732995,38250447,172682158#0,-38319644,-38319635#0,-38319637#1,-38250449#1,-38250449#0,-37853864",3.071451727086129
