origins,destinations,path,free_flow_time
-177794961#0,-177794965#3,"-177794961#0,-177790389#1,177790387#0,177790387#1,-657072317#0,177794940#0,177794940#1,177794940#2,177794940#3,177794940#4,-177794965#5,-177794965#4,-177794965#3",1.3370855037479354
-177794961#0,-177794965#3,"-177794961#0,-177790389#1,177790387#0,319353041#0,-319353041#0,177790387#1,-657072317#0,177794940#0,177794940#1,177794940#2,177794940#3,177794940#4,-177794965#5,-177794965#4,-177794965#3",1.5174790722624543
-177794957#0,-458640440#3,"-177794957#0,-177794961#6,-177794961#5,-177794961#4,177794955#0,177794955#1,177794955#2,177794955#3,-177794947#2,-177794947#1,-177794947#0,-177790381#3,-177790381#2,-177790381#1,-177790381#0,-177790392#1,-177790392#0,1160463770#0,-51822257#3,-51822257#2,-51822257#1,-51822257#0,-281725041,281725040,82893179#3,24941080,82893183,605930022#0,605930022#1,605930021#0,605930021#1,605930021#2,449836592#0,449836592#1,449836593,650619931#0,650619931#1,24941098#0,24941098#1,24941077#7,1239834273,-458640440#12,-458640440#11,-458640440#10,-458640440#9,-458640440#8,-458640440#7,-458640440#6,-458640440#5,-458640440#4,-458640440#3",3.6234099435861506
-177794957#0,-458640440#3,"-177794957#0,177794957#0,177794957#1,177794957#2,177794957#3,319899426#1,319899426#2,319899426#3,-177790381#6,-177790381#5,-177790381#4,-177790381#3,-177790381#2,-177790381#1,-177790381#0,-177790392#1,-177790392#0,1160463770#0,-51822257#3,-51822257#2,-51822257#1,-51822257#0,-281725041,281725040,82893179#3,24941080,82893183,605930022#0,605930022#1,605930021#0,605930021#1,605930021#2,449836592#0,449836592#1,449836593,650619931#0,650619931#1,24941098#0,24941098#1,24941077#7,1239834273,-458640440#12,-458640440#11,-458640440#10,-458640440#9,-458640440#8,-458640440#7,-458640440#6,-458640440#5,-458640440#4,-458640440#3",3.5503597875986297
-177794957#0,-458640440#3,"-177794957#0,177794961#7,-254331069#13,-254331069#12,-254331069#11,-177790381#9,-177790381#8,-177790381#7,-177790381#6,-177790381#5,-177790381#4,-177790381#3,-177790381#2,-177790381#1,-177790381#0,-177790392#1,-177790392#0,1160463770#0,-51822257#3,-51822257#2,-51822257#1,-51822257#0,-281725041,281725040,82893179#3,24941080,82893183,605930022#0,605930022#1,605930021#0,605930021#1,605930021#2,449836592#0,449836592#1,449836593,650619931#0,650619931#1,24941098#0,24941098#1,24941077#7,1239834273,-458640440#12,-458640440#11,-458640440#10,-458640440#9,-458640440#8,-458640440#7,-458640440#6,-458640440#5,-458640440#4,-458640440#3",3.8746338456739835
-177794942#1,319353042,"-177794942#1,-177794962#0,-177794961#7,-177794961#6,-177794961#5,-177794961#4,-177794961#3,-177794961#2,-177794961#1,-177794961#0,-177790389#1,177790387#0,319353041#0,319353042",1.5410367170626351
-177794942#1,319353042,"-177794942#1,-177794962#0,177794962#0,-177794962#0,-177794961#7,-177794961#6,-177794961#5,-177794961#4,-177794961#3,-177794961#2,-177794961#1,-177794961#0,-177790389#1,177790387#0,319353041#0,319353042",1.9399448044156467
-351928965,-740812193,"-351928965,-875769252,-287676269#0,-140901839#1,-140901839#0,142613417#3,142613417#4,142613417#5,142613417#1,168323306#0,168323306#1,737031026#3,-168323334#2,-168323334#1,-168323334#0,-836747626,-740812193",1.4064374850011998
-351928965,-740812193,"-351928965,737356439,-737356439,-875769252,-287676269#0,-140901839#1,-140901839#0,142613417#3,142613417#4,142613417#5,142613417#1,168323306#0,168323306#1,737031026#3,-168323334#2,-168323334#1,-168323334#0,-836747626,-740812193",1.6042056635469162
-351928965,-740812193,"-351928965,-875769252,-287676269#0,-140901839#1,-140901839#0,142613417#3,142613417#4,142613417#5,142613417#1,168323306#0,168323306#1,737031026#3,-168323334#2,-168323334#1,-168323334#0,-168323303#2,168323303#2,-836747626,-740812193",1.5579253659707222
