origins,destinations,path,free_flow_time
-164532855#1,-129428779#4,"-164532855#1,164532855#1,38748039#4,38748039#5,38748039#6,220878870,468462759#1,38748249#4,38748249#5,38747979,292437773#0,292437773#1,38747983#0,38747983#1,217009089#0,217009089#1,376070044,-102309663#5,392167059,-38748951,-38747976#0,-102309663#1,-102309663#0,-161688660#3,-161688660#2,129428779#0,-129428779#5,-129428779#4",2.77763512892558
-164532855#1,-129428779#4,"-164532855#1,164532855#1,38748039#4,38748039#5,38748039#6,220878870,468462759#1,38748249#4,38748249#5,38747979,292437773#0,292437773#1,38747983#0,38747983#1,217009089#0,217009089#1,376070044,-102309663#5,-102309663#4,-102309663#3,-102309663#2,-102309663#1,-102309663#0,-161688660#3,-161688660#2,129428779#0,-129428779#5,-129428779#4",2.61158041330283
-164532855#1,-129428779#4,"-164532855#1,164532855#1,38748039#4,38748039#5,38748039#6,220878870,468462759#1,38748249#4,38748249#5,38747979,292437773#0,292437773#1,38747983#0,38747983#1,217009089#0,217009089#1,376070044,-102309663#5,392167059,-38748951,38748951,-38748951,-38747976#0,-102309663#1,-102309663#0,-161688660#3,-161688660#2,129428779#0,-129428779#5,-129428779#4",2.976867190360665
-38750267#0,-229641209,"-38750267#0,38750288#1,38750288#2,38750288#3,320544229#0,320544229#1,-123245606,-229641209",0.46731108570137914
76213255#2,-28744036,"76213255#2,38748040#2,38748291#4,38748291#1,38748292#0,38763845#0,38763845#1,38763845#2,229565427,38764856#3,38764856#4,38766905,38771754,386967480#2,386967480#3,-28744087,105514000#2,24809238#5,24809238#6,28744040#3,-28744034#2,-28744034#1,-28744034#0,28743988#3,-28744036",1.9552560981195932
76213255#2,-28744036,"76213255#2,38748040#2,38748291#4,38748291#1,38748292#0,38763845#0,38763845#1,38763845#2,229565427,38764856#3,38764856#4,38766905,38771754,386967480#2,386967480#3,-28744087,105514000#2,24809238#5,24809238#6,28744040#3,-28744034#2,-28744034#1,-28744034#0,-28744032,28744032,28743988#3,-28744036",2.2932930551630295
76213255#2,-28744036,"76213255#2,38748040#2,38748291#4,38748291#1,38748292#0,38763845#0,38763845#1,38763845#2,229565427,38764856#3,38764856#4,38766905,38771754,386967480#2,386967480#3,-28744087,105514000#2,24809238#5,24809238#6,28744040#3,-28744034#2,28744003,28743988#1,28744203,-28744034#0,28743988#3,-28744036",2.322402726389331
694306270#0,-160515035#2,"694306270#0,694306270#1,38748249#3,38748249#4,38748249#5,38747979,292437773#0,292437773#1,930646905,38748290#0,38748290#1,635162172#5,635162172#0,635162172#1,635162172#2,-160515035#6,-160515035#5,-160515035#4,-160515035#3,-160515035#2",1.0880698139587008
694306270#0,-160515035#2,"694306270#0,694306270#1,38748249#3,38748249#4,38748249#5,38747979,292437773#0,292437773#1,930646905,38748290#0,38748290#1,635162172#5,376539413,635162168,635162172#1,635162172#2,-160515035#6,-160515035#5,-160515035#4,-160515035#3,-160515035#2",1.0884699740227264
-125088086#0,-461937240#2,"-125088086#0,125088086#0,125088086#1,-125088059#0,468565711#4,251951112#1,-125088069#1,-125088069#0,215030984,461937240#2,-461937240#2",1.0343937575030013
-38764857,38750051,"-38764857,38764857,351374502,38764850,38764581#1,38764869#6,38764869#1,38764869#2,-38764856#5,-38764856#4,38763961,38764534#2,38764534#3,-38750056,38748418#0,38748418#1,38748418#2,38748417,38766819#3,38766819#1,38749647,38750051",1.8027357811375089
-38764857,38750051,"-38764857,38764857,351374502,-351413691,-38764994,38772153#3,38772153#4,38772153#5,-209195991#1,-38766905,-38764856#4,38763961,38764534#2,38764534#3,-38750056,38748418#0,38748418#1,38748418#2,38748417,38766819#3,38766819#1,38749647,38750051",1.9175425965922723
-38764857,38750051,"-38764857,38764857,351374502,38764850,38764581#1,38764869#6,38764869#1,38764869#2,-38764856#5,-38764856#4,-38764856#3,-229565427,160606239#1,38764534#3,-38750056,38748418#0,38748418#1,38748418#2,38748417,38766819#3,38766819#1,38749647,38750051",1.8916006719462437
-164532855#1,-28744719#0,"-164532855#1,164532855#1,38748039#4,38748039#5,38748039#6,-27568893#13,-27568893#12,-27568893#11,-27568893#10,-27568893#9,-27568893#8,-27568893#7,-27568893#6,-27568893#5,-27568893#4,-27568893#3,-28744719#1,-28744719#0",1.9336895593370538
-164532855#1,-28744719#0,"-164532855#1,164532855#1,38748039#4,38748039#5,38748039#6,-27568893#13,-27568893#12,-27568968#3,-27568968#2,-27568968#1,-27568968#0,-27568893#8,-27568893#7,-27568893#6,-27568893#5,-27568893#4,-27568893#3,-28744719#1,-28744719#0",2.3156223324462974
-164532855#1,-28744719#0,"-164532855#1,164532855#1,38748039#4,38748039#5,38748039#6,-27568893#13,-27568893#12,-27568893#11,-27568893#10,38939674,372406212#3,372406212#4,-27568893#6,-27568893#5,-27568893#4,-27568893#3,-28744719#1,-28744719#0",2.689391840249419
-24809166#0,-160515035#2,"-24809166#0,24809166#0,24809166#1,-24809167#0,-24809238#0,38772707#4,-38771772#1,-38771772#0,38772153#4,38772153#5,-209195991#1,-38766905,-38764856#4,38763961,38764534#2,38764534#3,-38750056,38748418#0,38748418#1,38748418#2,38748417,38766819#3,38749645,38749769#8,38749769#9,38749769#10,38749769#11,38749769#12,38749769#13,38749769#14,-635162169#6,-635162169#5,-635162169#4,-635162169#3,-635162169#2,-635162169#1,-635162169#0,-38749021,635162172#2,-160515035#6,-160515035#5,-160515035#4,-160515035#3,-160515035#2",3.4240750151752564
-24809166#0,-160515035#2,"-24809166#0,-28744167#0,-28744157,38772880#2,-24809238#3,491526227,-24809194,38772183#3,38772183#4,219749444,38772153#5,-209195991#1,-38766905,-38764856#4,38763961,38764534#2,38764534#3,-38750056,38748418#0,38748418#1,38748418#2,38748417,38766819#3,38749645,38749769#8,38749769#9,38749769#10,38749769#11,38749769#12,38749769#13,38749769#14,-635162169#6,-635162169#5,-635162169#4,-635162169#3,-635162169#2,-635162169#1,-635162169#0,-38749021,635162172#2,-160515035#6,-160515035#5,-160515035#4,-160515035#3,-160515035#2",3.2375139400612656
-24809166#0,-160515035#2,"-24809166#0,24809166#0,24809166#1,-24809167#0,-24809238#0,38772707#4,-38771772#1,-38771772#0,38772153#4,38772153#5,-209195991#1,-38766905,-38764856#4,-38764856#3,-229565427,160606239#1,38764534#3,-38750056,38748418#0,38748418#1,38748418#2,38748417,38766819#3,38749645,38749769#8,38749769#9,38749769#10,38749769#11,38749769#12,38749769#13,38749769#14,-635162169#6,-635162169#5,-635162169#4,-635162169#3,-635162169#2,-635162169#1,-635162169#0,-38749021,635162172#2,-160515035#6,-160515035#5,-160515035#4,-160515035#3,-160515035#2",3.512939905983991
