origins,destinations,path,free_flow_time
-1196379298#2,-46481922#3,"-1196379298#2,-1196379298#1,-1196379298#0,-301514274#1,-301514274#0,-781344710,-342814174#6,-342814174#5,-342814174#4,-342814174#3,-342814174#2,-342814174#1,-342814174#0,30762981#0,30762981#1,30762981#2,30762981#3,30762986#0,30762986#1,30762986#2,30762986#3,11985118,30762984,35591644,35591645#1,174967797,174967799#1,174967799#2,174967799#3,174967799#4,352834214,781070142,46429660#0,46429660#1,46430848#0,46430848#1,46430848#2,809581646,-467253549#1,-467253549#0,-46620844#8,-46620844#7,-46620844#6,46483057,-46482829#1,-46482829#0,-46620844#1,-46620844#0,46481922#1,46481922#2,46481922#3,-46481922#3",5.431647468202543
-1196379298#2,-46481922#3,"-1196379298#2,-1196379298#1,-1196379298#0,-301514274#1,-301514274#0,-781344710,-342814174#6,-342814174#5,-342814174#4,-342814174#3,-342814174#2,-342814174#1,-342814174#0,30762981#0,30762981#1,30762981#2,30762981#3,30762986#0,30762986#1,30762986#2,30762986#3,11985118,30762984,35591644,35591645#1,174967797,174967799#1,174967799#2,174967799#3,174967799#4,352834214,781070142,46429660#0,46429660#1,46430848#0,46430848#1,46430848#2,809581646,-467253549#1,-467253549#0,-46620844#8,-46620844#7,-46620844#6,46483057,-46482829#1,-46482829#0,-46620844#1,-767342840,46481922#0,46481922#1,46481922#2,46481922#3,-46481922#3",5.44075473962083
-1196379298#2,-46481922#3,"-1196379298#2,-1196379298#1,-1196379298#0,-301514274#1,-301514274#0,-781344710,-342814174#6,-342814174#5,-342814174#4,-342814174#3,-342814174#2,-342814174#1,-342814174#0,30762981#0,30762981#1,30762981#2,30762981#3,30762986#0,30762986#1,30762986#2,30762986#3,11985118,30762984,35591644,35591645#1,174967797,174967799#1,174967799#2,174967799#3,174967799#4,352834214,781070142,46429660#0,46429660#1,46430848#0,46430848#1,46430848#2,809581646,-467253549#1,-467253549#0,-46620844#8,-46620844#7,-46620844#6,46483057,-46482829#1,-46482829#0,-46620844#1,-46620844#0,46620844#0,-46620844#0,46481922#1,46481922#2,46481922#3,-46481922#3",5.440358771298296
-46728588#12,407171671#3,"-46728588#12,-46728588#11,-46728588#10,46728588#10,46728588#11,46728588#12,46728588#13,46728590#0,46728590#1,1196379296#0,1196379296#1,1196379296#2,1196379296#3,1196379296#4,46729408#0,46729408#1,33755974,343025657#0,343025657#1,781346306#1,781346306#2,781346309#1,781346309#2,781346309#3,781346309#4,781346309#5,407171671#0,407171671#1,407171671#2,407171671#3",3.04447030071928
30762986#2,24049259#7,"30762986#2,30762986#3,1196379294#0,1196379294#1,1196379294#2,1196379294#3,1196379294#4,1196379294#5,1196379294#6,1196379294#7,1196379294#8,1196379294#9,46727647#0,46727647#1,46727647#2,46727647#3,46727647#4,46727647#5,46727647#6,46727647#7,46727647#8,46727647#9,46727647#10,46727647#11,1122667069#0,1122667069#1,46728588#0,46728588#2,46728588#4,46728588#5,46728588#6,46728588#7,46728588#8,46728588#9,46728588#10,46728588#11,46728588#12,46728588#13,46728590#0,46728590#1,1196379296#0,1196379296#1,1196379296#2,46728592#0,46728592#1,46728587#0,46728587#1,46728587#2,46728587#3,46728587#4,52243599,26370403#4,26370403#5,26370403#6,26370403#7,24049259#0,24049259#1,24049259#2,24049259#3,24049259#4,24049259#5,24049259#6,24049259#7",3.2884863840522374
30762986#2,24049259#7,"30762986#2,30762986#3,1196379294#0,1196379294#1,1196379294#2,1196379294#3,1196379294#4,1196379294#5,1196379294#6,1196379294#7,1196379294#8,1196379294#9,46727647#0,46727086#0,46727086#1,46727086#2,46727086#3,46727086#4,46727086#5,46727086#6,46727086#7,46727086#8,46727086#9,46727086#10,46727086#11,46727086#12,46728588#0,46728588#2,46728588#4,46728588#5,46728588#6,46728588#7,46728588#8,46728588#9,46728588#10,46728588#11,46728588#12,46728588#13,46728590#0,46728590#1,1196379296#0,1196379296#1,1196379296#2,46728592#0,46728592#1,46728587#0,46728587#1,46728587#2,46728587#3,46728587#4,52243599,26370403#4,26370403#5,26370403#6,26370403#7,24049259#0,24049259#1,24049259#2,24049259#3,24049259#4,24049259#5,24049259#6,24049259#7",2.9968857121059935
30762986#2,24049259#7,"30762986#2,30762986#3,11985118,342814182,781070145#0,781070145#1,781070145#2,781070145#3,781070145#4,781070145#5,1196385044#0,1196385044#1,1196385044#2,1196385044#3,342814174#0,342814174#1,342814174#2,342814174#3,342814174#4,342814174#5,342814174#6,781344710,301514274#0,301514274#1,1196379298#0,1196379298#1,1196379298#2,781344707#0,781344707#1,781344707#2,781344707#3,781344707#4,781344707#5,781344707#6,781344707#7,781344707#8,781344706,781344709#1,781344709#2,781344704#0,781344704#1,781344708,175774787#0,175774787#1,1196379296#2,46728592#0,46728592#1,46728587#0,46728587#1,46728587#2,46728587#3,46728587#4,52243599,26370403#4,26370403#5,26370403#6,26370403#7,24049259#0,24049259#1,24049259#2,24049259#3,24049259#4,24049259#5,24049259#6,24049259#7",3.598724114853702
46737499,407171671#3,"46737499,303201019#1,303201019#2,1196379293#0,1196379293#1,781344709#1,781344709#2,781344704#0,781344704#1,781344708,175774787#0,175774787#1,1196379296#2,1196379296#3,1196379296#4,46729408#0,46729408#1,33755974,343025657#0,343025657#1,781346306#1,781346306#2,781346309#1,781346309#2,781346309#3,781346309#4,781346309#5,407171671#0,407171671#1,407171671#2,407171671#3",3.7153112648947273
46737499,407171671#3,"46737499,-303201019#0,301514301#2,303201019#1,303201019#2,1196379293#0,1196379293#1,781344709#1,781344709#2,781344704#0,781344704#1,781344708,175774787#0,175774787#1,1196379296#2,1196379296#3,1196379296#4,46729408#0,46729408#1,33755974,343025657#0,343025657#1,781346306#1,781346306#2,781346309#1,781346309#2,781346309#3,781346309#4,781346309#5,407171671#0,407171671#1,407171671#2,407171671#3",3.9680110489120057
46737499,407171671#3,"46737499,303201019#1,303201019#2,1196379293#0,1196379293#1,781344709#1,781344709#2,781344704#0,781344704#1,781344708,175774787#0,175774787#1,1196379296#2,1196379296#3,1196379296#4,46729408#0,46729408#1,33755974,343025657#0,343025657#1,781346306#1,781346306#2,781346309#1,781346309#2,781346309#3,781346309#4,781346309#5,-781346309#5,781346309#5,407171671#0,407171671#1,407171671#2,407171671#3",4.164630992785884
