origins,destinations,path,free_flow_time
-234996558#0,107880259,"-234996558#0,234996558#0,234996558#1,234996558#2,867797811,93128850,1107140857#0,1107140857#1,107880259",0.5960584233693478
-234996558#0,107880259,"-234996558#0,234996558#0,234996558#1,234996558#2,867797811,93128850,180410151,624160541,1107140857#1,107880259",0.5964585834333734
-216544758#0,770638614,"-216544758#0,216544763#6,216544778#1,216544778#2,-161601610,93128841#5,93128841#6,93128841#1,93128841#2,93128841#3,93128845#0,93128845#1,770638618,577805449#0,-216544772#6,-216544772#5,-216544772#4,-216544772#3,-216544772#2,-216544772#1,770638614",0.8197623613880398
-216544758#0,770638614,"-216544758#0,216544763#6,-216544763#6,216544763#6,216544778#1,216544778#2,-161601610,93128841#5,93128841#6,93128841#1,93128841#2,93128841#3,93128845#0,93128845#1,770638618,577805449#0,-216544772#6,-216544772#5,-216544772#4,-216544772#3,-216544772#2,-216544772#1,770638614",0.8971561698833602
-216544758#0,770638614,"-216544758#0,216544758#0,216544758#1,-333327683#0,-216544778#3,-161601610,93128841#5,93128841#6,93128841#1,93128841#2,93128841#3,93128845#0,93128845#1,770638618,577805449#0,-216544772#6,-216544772#5,-216544772#4,-216544772#3,-216544772#2,-216544772#1,770638614",0.9143962264531444
1114963456,-425404294#6,"1114963456,577696157#0,42757282#1,867799065,1245579800,1245579801,1245579799,-146232360#4,-146232360#3,-146232360#2,488027570,488027573#0,577806740,145459664,867797811,93128850,180410151,624160542#0,624160542#1,93128844,571065534#1,571065534#2,571065534#3,1244962434,487948334#0,487948334#1,144310691,453411683,1244962415,128454087#0,128454087#1,128454087#2,128454087#3,128454087#4,128454087#5,376388506#1,-74865339#3,-74865339#2,-74865339#1,-74865339#0,-76593063#2,-76593063#1,-488027543#5,-488027543#3,-488027543#2,-488027543#1,-488027543#0,-867796076#2,-867796076#1,265453583#0,265453583#1,265453583#2,265453583#3,-432435403,425404294#6,-425404294#6",6.462447181896515
1114963456,-425404294#6,"1114963456,577696157#0,42757282#1,867799065,1245579800,1245579801,1245579799,-146232360#4,-146232360#3,-146232360#2,488027570,488027573#0,577806740,145459664,867797811,93128850,180410151,624160542#0,624160542#1,93128844,-571065534#0,571065534#0,571065534#1,571065534#2,571065534#3,1244962434,487948334#0,487948334#1,144310691,453411683,1244962415,128454087#0,128454087#1,128454087#2,128454087#3,128454087#4,128454087#5,376388506#1,-74865339#3,-74865339#2,-74865339#1,-74865339#0,-76593063#2,-76593063#1,-488027543#5,-488027543#3,-488027543#2,-488027543#1,-488027543#0,-867796076#2,-867796076#1,265453583#0,265453583#1,265453583#2,265453583#3,-432435403,425404294#6,-425404294#6",6.66080652563401
1114963456,-425404294#6,"1114963456,577696157#0,42757282#1,867799065,1245579800,1245579801,1245579799,-146232360#4,-146232360#3,-146232360#2,488027570,488027573#0,577806740,145459664,867797811,93128850,180410151,624160542#0,624160542#1,93128844,571065534#1,571065534#2,571065534#3,1244962434,487948334#0,487948334#1,144310691,453411683,1244962415,128454087#0,128454087#1,128454087#2,128454087#3,128454087#4,128454087#5,376388506#1,-74865339#3,-74865339#2,-74865339#1,-74865339#0,-76593063#2,-76593063#1,-488027543#5,-488027543#3,-488027543#2,-488027543#1,-488027543#0,-867796076#2,-867796076#1,265280980,-265280980,265453583#0,-265453582,265453585#1,265453585#2,265453583#5,1360310741,-425409211#1,-425404294#6",6.431306158172411
-216544761,-216544800#3,"-216544761,216544761,623864709#0,623864709#1,623864709#2,623864709#3,623864709#4,571066080#0,571066080#1,-486349405#1,144310693,-624160542#0,624160540,-1107140856,-162276589#1,-145459664,-577806740,24388151#0,24388151#1,695621342,488027571,740517330#0,740517330#1,740517327#0,1107140821,216544747#0,216544747#1,216544747#2,1359160809#0,1359160805,1359160808,-1014903996#1,-23027915#4,216544800#0,216544800#1,216544800#3,-216544800#3",2.4828331332533002
-216544761,-216544800#3,"-216544761,216544761,623864709#0,623864709#1,623864709#2,623864709#3,623864709#4,571066080#0,571066080#1,-486349405#1,-486349405#0,-180410155#1,-180410155#0,-1107140856,-162276589#1,-145459664,-577806740,24388151#0,24388151#1,695621342,488027571,740517330#0,740517330#1,740517327#0,1107140821,216544747#0,216544747#1,216544747#2,1359160809#0,1359160805,1359160808,-1014903996#1,-23027915#4,216544800#0,216544800#1,216544800#3,-216544800#3",2.2505202080832327
-216544761,-216544800#3,"-216544761,216544761,623864709#0,623864709#1,623864709#2,623864709#3,517051841,-517051841,623864709#4,-623864709#4,623864709#4,571066080#0,571066080#1,-486349405#1,144310693,-624160542#0,624160540,-1107140856,-162276589#1,-145459664,-577806740,24388151#0,24388151#1,695621342,488027571,740517330#0,740517330#1,740517327#0,1107140821,216544747#0,216544747#1,216544747#2,1359160809#0,1359160805,1359160808,-1014903996#1,-23027915#4,216544800#0,216544800#1,216544800#3,-216544800#3",3.196738695478191
-300748685#2,92913458#1,"-300748685#2,-300748685#1,300748685#1,300748685#2,707546954,92913459#1,92913458#0,92913458#1",0.5825730292116846
92913458#1,-333325851#1,"92913458#1,-92913458#1,-92913458#0,92913459#2,92913459#0,-707546954,-300748685#2,-300748685#1,333325851#0,333325851#1,333325851#2,333325851#3,333325851#4,333325851#5,-333325851#5,-333325851#4,-333325851#3,-333325851#2,-333325851#1",1.796798719487795
92913458#1,-333325851#1,"92913458#1,-92913458#1,92913458#1,-92913458#1,-92913458#0,92913459#2,92913459#0,-707546954,-300748685#2,-300748685#1,333325851#0,333325851#1,333325851#2,333325851#3,333325851#4,333325851#5,-333325851#5,-333325851#4,-333325851#3,-333325851#2,-333325851#1",2.2101440576230496
112279747,517051849#0,"112279747,29480541#0,29480541#1,42757284#0,42757284#1,216544752,867799064,42757282#0,42757282#1,867799065,1245579800,1245579801,-23023646,145459649,1372204538#0,1372204538#1,1371184959,180410154,1371184580#2,405380667,672953525#0,672953525#1,672953525#2,517051849#0",2.768574319576642
-370400652,-333325851#1,"-370400652,1018315145#1,488027555#0,488027555#1,488027555#2,74705878,488027553,488027552,23841069#0,23841118,370400983,282569510#0,1022246903,-591647905#2,-591647905#1,-591647905#0,1117343611,1117343612#0,1117343612#1,24388163#0,-92913457#2,92913459#0,-707546954,-300748685#2,-300748685#1,333325851#0,333325851#1,333325851#2,333325851#3,333325851#4,333325851#5,-333325851#5,-333325851#4,-333325851#3,-333325851#2,-333325851#1",3.932677235673598
-370400652,-333325851#1,"-370400652,1018315145#1,488027555#0,488027555#1,488027555#2,74705878,488027553,488027552,23841069#0,23841118,370400983,282569510#0,282569510#1,-591647905#3,-591647905#2,-591647905#1,-591647905#0,1117343611,1117343612#0,1117343612#1,24388163#0,-92913457#2,92913459#0,-707546954,-300748685#2,-300748685#1,333325851#0,333325851#1,333325851#2,333325851#3,333325851#4,333325851#5,-333325851#5,-333325851#4,-333325851#3,-333325851#2,-333325851#1",3.9382652944794785
