origins,destinations,path,free_flow_time
-42762428#0,-100468681#2,"-42762428#0,-697042776#1,623959719,-282689984#1,-282689984#0,-134065887,100475363,282479151#1,100475362,-659278038#3,-659278038#2,-659278038#1,-659278038#0,-100525438#2,-100525438#1,-101601553#1,-101601553#0,101600741#4,-100468681#2",1.8275350024819144
-42762428#0,-100468681#2,"-42762428#0,-697042776#1,623959719,619185406,619184994,1164659927#1,1164659928,1164659929,120512822,-133906979,-133906980,-282479126,-100468681#8,-100468681#7,-100468681#6,-100468681#5,-100468681#4,-100468681#3,-100468681#2",1.4968433737785967
-42762428#0,-100468681#2,"-42762428#0,697042776#2,42762428#1,42762428#4,1197063689,282479127#0,101611060,-372606529#7,-372606529#6,-372606529#5,-372606529#4,-372606529#3,-372606529#2,-372606529#1,-372606529#0,-101607965,101607964#1,101607969#0,101607969#1,-100468681#3,-100468681#2",2.235474665027998
-42762428#0,-100468681#2,"-42762428#0,697042776#2,42762428#1,42762428#4,1197063689,1164653914,1164659927#1,1164659926,120512822,-133906979,-133906980,-282479126,-100468681#8,-100468681#7,100525438#0,-101601553#1,-101601553#0,101600741#4,-100468681#2",1.8149885584183278
-42762428#0,-100468681#2,"-42762428#0,697042776#2,42762428#1,42762428#4,1197063689,1164653914,1164659927#1,1164659926,120512822,-133906979,-133906980,-282479126,-100468681#8,-100468681#7,-100468681#6,-100468681#5,-100468681#4,-100468681#3,-100468681#2",1.3283359708174125
-42762428#0,-100468681#2,"-42762428#0,697042776#2,42762428#1,42762428#4,1197063689,1164653914,1164659927#1,1164659928,1164659929,120512822,-133906979,-133906980,-282479126,-100468681#8,-100468681#7,-100468681#6,-100468681#5,-100468681#4,-100468681#3,-100468681#2",1.3396605006293372
-42762428#0,-100468681#2,"-42762428#0,697042776#2,42762428#1,42762428#4,1197063689,1164653914,1164659927#1,1164659928,1164659929,120512822,-133906979,-133906980,-282479126,-100468681#8,-100468681#7,100525438#0,-101601553#1,-101601553#0,101600741#4,-100468681#2",1.8263130882302525
-42762428#0,-100468681#2,"-42762428#0,-697042776#1,623959719,619185406,619184994,1164659927#1,1164659928,1164659929,120512822,-133906979,-133906980,-282479126,-100468681#8,-100468681#7,100525438#0,-101601553#1,-101601553#0,101600741#4,-100468681#2",1.983495961379512
-42762428#0,-100468681#2,"-42762428#0,-697042776#1,623959719,619185406,619184994,1164659927#1,1164659926,120512822,-133906979,-133906980,-282479126,-100468681#8,-100468681#7,100525438#0,-101601553#1,-101601553#0,101600741#4,-100468681#2",1.9721714315675873
-42762428#0,-100468681#2,"-42762428#0,697042776#2,42762428#1,42762428#4,1197063689,282479127#0,101611060,372606529#8,1164659929,120512822,-133906979,-133906980,-282479126,-100468681#8,-100468681#7,100525438#0,-101601553#1,-101601553#0,101600741#4,-100468681#2",2.260286677666026
-42762428#0,-100468681#2,"-42762428#0,697042776#2,42762428#1,42762428#4,1197063689,282479127#0,101611060,372606529#8,1164659929,120512822,-133906979,-133906980,-282479126,-100468681#8,-100468681#7,-100468681#6,-100468681#5,-100468681#4,-100468681#3,-100468681#2",1.7736340900651113
-42762428#0,-100468681#2,"-42762428#0,-697042776#1,623959719,619185406,619184994,1164659927#1,1164659926,120512822,-133906979,-133906980,-282479126,-100468681#8,-100468681#7,-100468681#6,-100468681#5,-100468681#4,-100468681#3,-100468681#2",1.485518843966672
-1323419247,464265154,"-1323419247,1323419246,-416373452,101418587,464265154",0.5096039711781041
71324347#2,416373452,"71324347#2,71324347#3,71324347#4,71324347#5,47374666,659281081#0,659281081#1,100525445,-416373452,416373452",1.3160584901227974
-100525445,101606547#1,"-100525445,100525445,-416373452,-101418584#4,-101418584#3,-101418584#2,-101418592,-100488715#3,101605951#0,101605951#1,-101606546,101606547#1",1.1885443738330466
-100525445,101606547#1,"-100525445,100525445,184568063,76867740,1323419243,-162276533#2,100488715#0,100488715#1,100488715#2,101605951#0,101605951#1,-101606546,101606547#1",2.4360866736903546
-282689981#0,-352797377,"-282689981#0,101411570,282689981#1,352797377,-352797377",1.331294043895456
-101607967#0,-100468681#0,"-101607967#0,101607962,-101607966#1,-101607966#0,101607969#1,-100468681#3,-100468681#2,-100468681#1,-100468681#0",1.0731723358889993
-101607967#0,-100468681#0,"-101607967#0,101607962,101607963,-659279347,101607969#0,101607969#1,-100468681#3,-100468681#2,-100468681#1,-100468681#0",1.1523395679366057
-101594809#0,-101787493,"-101594809#0,-101594836#0,372606529#2,372606529#3,372606529#4,372606529#5,372606529#6,372606529#7,372606529#8,1164659929,120512822,282479125#0,282479125#1,120511930,-42762428#0,-697042776#1,42762429,1323419246,184568063,1323419245,16648700,1323419243,120511145,283490977#1,-173532317#3,-101786553#2,-101786553#1,-101786553#0,-101786554#3,-101786554#2,-101786554#1,-101787493",4.527877198395557
-101594809#0,-101787493,"-101594809#0,-101594836#0,372606529#2,372606529#3,372606529#4,372606529#5,372606529#6,372606529#7,372606529#8,1164659929,120512822,282479125#0,282479125#1,120511930,-42762428#0,-697042776#1,42762429,1323419246,184568063,76867740,1323419243,120511145,283490977#1,-173532317#3,-173532317#2,-173532317#1,-101765339#6,-101765339#5,-101765339#4,-101765339#3,101786554#0,-101787493",4.6225652247940205
-101594809#0,-101787493,"-101594809#0,-101594836#0,372606529#2,372606529#3,372606529#4,372606529#5,372606529#6,372606529#7,372606529#8,1164659929,120512822,282479125#0,282479125#1,120511930,-42762428#0,-697042776#1,42762429,1323419246,184568063,76867740,1323419243,120511145,283490977#1,-173532317#3,-101786553#2,-101786553#1,-101786553#0,-101786554#3,-101786554#2,-101786554#1,-101787493",4.56107047570648
-101594809#0,-101787493,"-101594809#0,-101594836#0,372606529#2,372606529#3,372606529#4,372606529#5,372606529#6,372606529#7,372606529#8,1164659929,120512822,282479125#0,282479125#1,120511930,-42762428#0,-697042776#1,42762429,1323419246,184568063,1323419245,16648700,1323419243,120511145,283490977#1,-173532317#3,-173532317#2,-173532317#1,-101765339#6,416382004,-101754276#0,101765339#2,101786554#0,-101787493",4.72313636757799
-101594809#0,-101787493,"-101594809#0,-101594836#0,372606529#2,372606529#3,372606529#4,372606529#5,372606529#6,372606529#7,372606529#8,1164659929,120512822,282479125#0,282479125#1,120511930,-42762428#0,-697042776#1,42762429,1323419246,184568063,76867740,1323419243,120511145,283490977#1,-173532317#3,-101786553#2,-101786553#1,-101786553#0,-101786554#3,-101787491#1,-101787491#0,-101786554#1,-101787493",4.568200498341884
-101594809#0,-101787493,"-101594809#0,101594836#1,101594812#3,101594812#0,101594843,101594815#0,-659283000#5,-659283000#3,-659283000#2,-659283000#1,-659283000#0,-282479127#2,1164653914,-619184994,120511930,-42762428#0,-697042776#1,42762429,1323419246,184568063,1323419245,16648700,1323419243,120511145,283490977#1,-173532317#3,-101786553#2,-101786553#1,-101786553#0,-101786554#3,-101787491#1,-101787491#0,-101786554#1,-101787493",4.610244112043666
-101594809#0,-101787493,"-101594809#0,101594836#1,101594812#3,101594812#0,101594843,101594815#0,-659283000#5,-659283000#3,-659283000#2,-659283000#1,-659283000#0,-282479127#2,1164653914,-619184994,120511930,-42762428#0,-697042776#1,42762429,1323419246,184568063,76867740,1323419243,120511145,283490977#1,-173532317#3,-101786553#2,-101786553#1,-101786553#0,-101786554#3,-101786554#2,-101786554#1,-101787493",4.636307366719185
-101594809#0,-101787493,"-101594809#0,-101594836#0,372606529#2,372606529#3,372606529#4,372606529#5,372606529#6,372606529#7,372606529#8,1164659929,120512822,282479125#0,282479125#1,120511930,-42762428#0,-697042776#1,42762429,1323419246,184568063,1323419245,16648700,1323419243,120511145,283490977#1,-173532317#3,-173532317#2,-173532317#1,-101765339#6,-101765339#5,-101765339#4,-101765339#3,101786554#0,-101787493",4.589371947483097
-101594809#0,-101787493,"-101594809#0,101594836#1,101594812#3,101594812#0,101594843,101594815#0,-659283000#5,-659283000#3,-659283000#2,-659283000#1,-659283000#0,-282479127#2,-1197063689,-42762428#4,-42762428#3,-42762428#0,-697042776#1,42762429,1323419246,184568063,76867740,1323419243,120511145,283490977#1,-173532317#3,-101786553#2,-101786553#1,-101786553#0,-101786554#3,-101786554#2,-101786554#1,-101787493",4.348712328703979
-101594809#0,-101787493,"-101594809#0,-101594836#0,372606529#2,372606529#3,372606529#4,372606529#5,372606529#6,372606529#7,372606529#8,1164659929,120512822,282479125#0,282479125#1,120511930,-42762428#0,-697042776#1,42762429,1323419246,184568063,76867740,1323419243,120511145,283490977#1,-173532317#3,-173532317#2,-173532317#1,-101765339#6,416382004,-101754276#0,101765339#2,101786554#0,-101787493",4.756329644888913
