origins,destinations,path,free_flow_time
-477950736,-168175063#1,"-477950736,-168175042#4,-168175042#3,-168175042#2,168175059#0,168175059#1,168175059#2,168175059#3,-127089287#0,-168175027#7,-168175027#6,-168175027#5,-168175027#4,-168175027#3,-168175048,-168175033,-168175063#1",2.8340985468533297
-477950736,-168175063#1,"-477950736,-168175042#4,-168175042#3,-168175042#2,-168175042#1,-168175042#0,-127089287#1,-127089287#0,-168175027#7,-168175027#6,-168175027#5,-168175027#4,-168175027#3,-168175048,-168175033,-168175063#1",2.7267631210861305
-477950736,-168175063#1,"-477950736,-36347278,949348444,-168175042#4,-168175042#3,-168175042#2,-168175042#1,-168175042#0,-127089287#1,-127089287#0,-168175027#7,-168175027#6,-168175027#5,-168175027#4,-168175027#3,-168175048,-168175033,-168175063#1",2.8023181765916814
-478135935,-292258955#2,"-478135935,-478135930#3,-478135930#2,478135930#2,478135930#3,478135935,478135939#0,412738055#0,478135931#0,478135931#1,478135937#0,478135937#1,413581700#0,413581700#1,413581700#4,292637050,752862532,477951176,740505409,477951175#0,477951175#1,477951175#2,477950727,-36347278,-374266773#1,-374266773#0,-374266774,-36350512#0,-949348448#3,-292258955#2",2.2010611266310214
-478135935,-292258955#2,"-478135935,-478135930#3,-478135930#2,478135930#2,478135930#3,478135935,478135939#0,412738055#0,478135931#0,478135931#1,478135937#0,478135937#1,413581700#0,413581700#1,413581700#4,292637042,292637045,1371353095,1371353093,256660265,740505409,477951175#0,477951175#1,477951175#2,477950727,-36347278,-374266773#1,-374266773#0,-374266774,-36350512#0,-949348448#3,-292258955#2",2.2139840927937287
-478135935,-292258955#2,"-478135935,-478135930#3,-478135930#2,478135930#2,478135930#3,478135935,478135939#0,412738055#0,478135931#0,478135931#1,478135937#0,478135937#1,-127089287#7,-127089287#6,-127089287#5,-127089287#4,-127089287#3,-127089287#2,168175042#0,168175042#1,168175042#2,168175042#3,168175042#4,-36347278,-374266773#1,-374266773#0,-374266774,-36350512#0,-949348448#3,-292258955#2",2.2128307593178325
-932881430,-319143204#6,"-932881430,932881430,383406540#2,383406540#3,383406510#0,383406510#1,168175063#1,168175033,168175048,-168175027#2,-168175027#1,-168175027#0,168175017,-1134813071#2,-1134813071#1,-1134813071#0,-173335640,-211984196#3,-211984196#2,383406544#0,383406544#1,197589050#0,197589050#1,197589050#2,1168473333,1168473345,1168473343,1168473346,1168473341,1168473347,1168473337,-319143204#6",5.092102547751761
-932881430,-319143204#6,"-932881430,932881430,383406540#2,383406540#3,383406510#0,383406510#1,168175063#1,168175033,168175048,168175027#3,168175027#4,168175027#5,168175027#6,168175027#7,-556205773#1,-556205773#0,556205778#0,556205778#1,556205774#0,556205774#1,556205774#2,556205781,-383255211#3,-383255211#2,-383255211#1,-383255211#0,-166220361#0,1168473340,1168473346,1168473341,1168473347,1168473337,-319143204#6",5.038510704665034
-932881430,-319143204#6,"-932881430,932881430,383406540#2,383406540#3,383406510#0,383406510#1,168175063#1,168175033,168175048,-168175027#2,-168175027#1,168175027#1,-168175027#1,-168175027#0,168175017,-1134813071#2,-1134813071#1,-1134813071#0,-173335640,-211984196#3,-211984196#2,383406544#0,383406544#1,197589050#0,197589050#1,197589050#2,1168473333,1168473345,1168473343,1168473346,1168473341,1168473347,1168473337,-319143204#6",5.529377457715747
-197589050#0,-168175063#1,"-197589050#0,-383406544#1,-383406544#0,211984196#2,211984196#3,211984196#4,1134813071#0,1134813071#1,1134813071#2,-168175017,168175027#0,168175027#1,168175027#2,-168175048,-168175033,-168175063#1",2.0025736712942552
-197589050#0,-168175063#1,"-197589050#0,383406513,-383406507,-383406544#0,211984196#2,211984196#3,211984196#4,1134813071#0,1134813071#1,1134813071#2,-168175017,168175027#0,168175027#1,168175027#2,-168175048,-168175033,-168175063#1",2.11969630148384
